Salut les yéyés,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
16,"Et moi, et moi, et moi",4XSRqScl0RWxFjOQID8QCW,Jacques Dutronc,3ayds6VIVBx3CU5NSNCDbq,"Et moi, et moi, et moi",3UPrsSEE9KIjy0Hln8Swkn,46,https://p.scdn.co/mp3-preview/06e0d8cdde6ee1dc038d5416ff461a655bbd9f7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,"Poupée de cire, poupée de son",7i4WaTC7Xp6SY49aCdcVia,France Gall,22HVxZPA6UhBp8wahxDA6I,Best Of,4jEkUenMPRi7yNLqyRhF0u,52,not available
18,Daniela (de quoi te mêles-tu Daniela),3ViDEvv6PgjE0yiYDmJjrA,Les Chaussettes Noires,6KXdUNa8QT8Sty4k5G2LqK,Long Box 3 CD,7pfowC0bQ1sp5KV4uIXcVj,0,not available
19,Vous permettez Monsieur,7ooXNiHvxOaVJ8Bfb4hnic,Salvatore Adamo,37r3ZUhErh0QPJENMsAPBG,Les N°1,1LL8Bpuu24eNeOyxqAUFSd,37,not available
20,J'entends siffler le train,0nxE1Ed9fbfLw6oVHR6N3N,Richard Anthony,6fhXbgrtC1AffxqI32lPwz,Nouvelle Vague,3RD8OwrRIVqE37lTzqD0XD,33,https://p.scdn.co/mp3-preview/bfb93412ab1eeaabf24a0448cac7720f914514b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Comme un garçon,7lhFTUreHC51OsFHTGdy6c,Sylvie Vartan,3Zi9cVUyWeAFjxEHn3bCqZ,Comme Un Garçon,65XVPzsge42MC6cOVXqo1q,35,https://p.scdn.co/mp3-preview/e95195879fffcc95e0de21e878a99e2c72aaa5a7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Mirza,6ra8H4uQsTWKmSyovSRcK5,Nino Ferrer,3THqHCN7gq2Z9hLleof9uv,Nino Ferrer,7EXl1EDhQ8z50gJpYfC9jB,1,not available
23,L'école est finie - Version stéréo,4Kgq5PpWPsqMLOId5CvoYF,Sheila,5fhRcv2KU96vbXqNE2FEdu,Sheila (Compilation 2006),6ixot8kh9JC9usgdNBKkZB,39,https://p.scdn.co/mp3-preview/0524557faaecb93ef2421fc4da4cd3a62b0c43fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Céline,1dhwnKg62ljkHarJ883N7Z,Hugues Aufray,6TOGbRYHQizlf3adIyugol,Santiano,3MgwUwjuUgVEaT628l3kJB,3,not available
25,Ces bottes sont faites pour marcher,3YagVqK6nD7lz7T6knjKVy,Eileen,2AocfyglsHV2wP3IobPCyH,Salut les copains,53zZVigzEiUdLMAQQhs5Zj,38,not available
26,Comic Strip,5bfKQTXw30LJ7mR7onUQHb,Serge Gainsbourg,01C9OoXDvCKkGcf735Tcfo,Double Best Of - Comme Un Boomerang,3ikheuf2MSfLP17Gd3wjfu,1,not available
