Encore,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4248,spotify_france
1,Suspirium,5Vdrq1akDDxNMEybDvmBDa,Thom Yorke,4CvTDPKA6W06DRfBnZKrau,Suspirium,43HodOeeZiXKRzetGbQ7HC,7,not available
2,Walk,2gK9S9qbyiEz33qfKi905w,Girls In Hawaii,1HRqqu7DoKzpIBvdU7Jjib,Nocturne,6vsE4lyDFLZHD3p4etKZkL,41,https://p.scdn.co/mp3-preview/664fdd899715f7cbd78414c5e0ac1b795b48043e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sit Next to Me,4BdGO1CaObRD4La9l5Zanz,Foster The People,7gP3bB2nilZXLfPHJhMdvc,Sacred Hearts Club,5lFvZh6pCTJzr9UStebyCF,75,https://p.scdn.co/mp3-preview/30818d41ad44b2b951bd28a404c38cdf5094b64d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Jungle,6t1ahr2f1t9iSjjNFwFb4C,Tash Sultana,6zVFRTB0Y1whWyH7ZNmywf,Notion,7JV505O1I9Sc3uHtFEFtkf,69,https://p.scdn.co/mp3-preview/ca84c3001da472c3440f56b3057a31569511bf01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Woodstock,4VzzEviJGYUtAeSsJlI9QB,81,https://p.scdn.co/mp3-preview/c32d9479367a99fcf5f881e23e1381e6f87214e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,In and Out,21Ca8qgNqwQoMQ9pJHfDyo,Beth Ditto,7y8lzaGqtadGmtAtg2SGv4,Fake Sugar,38DxMxQTI6yNKjNNrPIi0E,37,https://p.scdn.co/mp3-preview/affb90682eba8ef74d829277d3c8c5d599ec43a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Blouson Noir,5XBKKIItkpLohQFF7r7Ah5,AaRON,6q8cNe6Wif1WvM97vcFD8O,We Cut the Night,5nNp0110T3Fuhqov7PtHZl,43,https://p.scdn.co/mp3-preview/94b5b1e166abd64eaf081fed6a15b6c97567069d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Maryland,2VXhNd2IzaR9ZtndCUq7hu,Elephanz,2CD8tl357w6zYA3XYuOJPO,Elephanz,2hjg6fnfe3QLx2RMxNZmEB,57,https://p.scdn.co/mp3-preview/073a63006711a9b51aff38b526df11dc7874ac0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Sweet,2T6SuvI5GJXbJOCM1jweuW,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Cigarettes After Sex,5OVcAB06ttNop0LKRUUKKD,65,https://p.scdn.co/mp3-preview/44f742879890eb7d4e2dcf5f324ec615b4272f3e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
