Pop Rock Shot,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Blur (feat. Foster The People),653SgdD6rQ9YPtsqRgQVzm,MØ,0bdfiayQAKewqEvaU6rXCv,Blur (feat. Foster The People),4HllYKJ6UAchXK6qLPtPYP,64,https://p.scdn.co/mp3-preview/ab1731097ad1e46355e802ca926b5937172bc582?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Down in the River - Radio Edit,0L2qqaT3rO7DjuBThrPShC,Telegraph,6jPQ9UDEbratb1Sys0sovL,Down in the River (Radio Edit),0Su3r8fTgYhrhXIO0Yadyk,35,https://p.scdn.co/mp3-preview/fe760c50431483360d762b1ecff14fdd6c9c7c03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Lonely,1MF23oT6lg5q47LnZ91UPy,82,https://p.scdn.co/mp3-preview/3fa1dc5fe5068d6c7189d3871cb1fd1615330b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,I Think I'm OKAY (with YUNGBLUD & Travis Barker),2gTdDMpNxIRFSiu7HutMCg,Machine Gun Kelly,6TIYQ3jFPwQSRmorSezPxX,Hotel Diablo,0bJIHF1Or1YBLFBMwv53K2,81,not available
30,Dear Future Self (Hands Up) [feat. Wyclef Jean],3Fm4KEBiLmj4e3x4Qqv7W0,Fall Out Boy,4UXqAaa6dQYAk18Lv7PEgX,Dear Future Self (Hands Up),7u4VcQQ0tr36gfYmwdtF9K,72,not available
31,Lonely Generation,5PrQz1g8EEEEVmRGP5GQ8G,Echosmith,1PbBg2aYjWLKRk84zJK15x,Lonely Generation,6ERJpL0XKvLvMZaX2oDu6O,53,https://p.scdn.co/mp3-preview/cae87169da4810116ec4a277e8863fb8e9a5c544?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Chlorine - Alternative Mix,3ZQgFtjJtmvUZZ8K5OBqIN,Twenty One Pilots,3YQKmKGau1PzlVlkL1iodx,Chlorine (Alternative Mix),5gPTivcCK6JfPNZqoAzP2O,60,https://p.scdn.co/mp3-preview/98abf72619065b2917b323d9e179ec34829568fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,OCD,0qBiXX7EJHTajPG3lJX73x,Fitz and The Tantrums,4AcHt3JxKy59IX7JNNlZn4,All The Feels,73hQB56aBFJTHE9vshSCLg,59,https://p.scdn.co/mp3-preview/0e0e2ef8448a55c442dd45382059ad622513e84a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Brother,65gLJGey4u4KFFqoC5fzFJ,Kodaline,4BxCuXFJrSWGi1KHcVqaU4,Politics of Living,1ITjhViDumL9llxAJYdKiC,64,https://p.scdn.co/mp3-preview/e4be7bddc51d40f8c56230725d7f77ca7f34ab57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Kill My Mind,44zoniDjX4tfoAeYrnA5XX,Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,Kill My Mind,3Sl0P2mflTP5e2oQUj2fBp,73,https://p.scdn.co/mp3-preview/4c2c8cbbab2913b01344ba4d4c6a7eab1399ea7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
