The Sound of Franz Ferdinand,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,24826,spotifyusa
1,Take Me Out,20I8RduZC2PWMWTDCZuuAN,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,0vi5ePiEHrGZJF7QhnDW2z,71,https://p.scdn.co/mp3-preview/399c401370438be449c2aebff816ba8c62559871?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,The Dark Of The Matinée,6gaWfLDoeG1eoiDAVBN4i8,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,0vi5ePiEHrGZJF7QhnDW2z,51,https://p.scdn.co/mp3-preview/689c7d9c0dcff25b84889859fb90c031c939c3cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Feel The Love Go,1Ze0nMoP6PY90k4VjInW4T,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Always Ascending,5mGnBhRKFyZ3hcqNJLl08W,42,https://p.scdn.co/mp3-preview/09b5d66eb692195cf705258c1c9f69316784d29f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Love Illumination,06Qha323s06okpZ4LmMX7P,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,"Right Thoughts, Right Words, Right Action (Deluxe Edition)",5W7631WJASasWPAFFzDpzi,59,https://p.scdn.co/mp3-preview/934c0aa9134d9f14faa684706497c3558fcbc2db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Darts Of Pleasure,7h0jDykw4RpWFqUhZQuElW,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,0vi5ePiEHrGZJF7QhnDW2z,40,https://p.scdn.co/mp3-preview/66a6df9d62d7ad76f1a01e3dd4c641a64992341b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Michael,5NQQyIX2DVsiBKwRBBUfNW,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Franz Ferdinand,0vi5ePiEHrGZJF7QhnDW2z,41,https://p.scdn.co/mp3-preview/d36cf9d145885def71e5044f62bdefb7f9745f75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,No You Girls,4VP8QiCeaZq8BeTIUrMQOG,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Tonight,6ppF24fU5pqbPrPuK5zVnS,55,https://p.scdn.co/mp3-preview/432218cfb066d06966c42d538e0ec50cf5940e63?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Always Ascending,1by2yZWXqeTs4SRlBDsGov,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Always Ascending,5mGnBhRKFyZ3hcqNJLl08W,49,https://p.scdn.co/mp3-preview/cad6848953b2a87b70f8a2cc9f4748ac4c35da28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Do You Want To,6WrnSlcN0dzTO80mVVbBto,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,You Could Have It So Much Better,3GNG4NPXfTeIGYjZ2FpS6P,57,https://p.scdn.co/mp3-preview/92ef6c0d3ef5890925baeb0dc65e685b419413d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Right Action,6hADH7b57N5666cGv624vg,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,"Right Thoughts, Right Words, Right Action (Deluxe Edition)",5W7631WJASasWPAFFzDpzi,47,https://p.scdn.co/mp3-preview/12d6d9854ede043f4effe5349294270bc3628658?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Lazy Boy,7zE4YHQa4c2XqcKfBKvQgD,Franz Ferdinand,0XNa1vTidXlvJ2gHSsRi4A,Always Ascending,5mGnBhRKFyZ3hcqNJLl08W,45,https://p.scdn.co/mp3-preview/b9f263ee76b04f03152c93bbb9cf012e79b00c3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
