"Happy #QueenBday, Beyoncé!",Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,483,spotifyusa
1,Crazy In Love - Remix,2f4IuijXLxYOeBncS60GUD,Beyoncé,6vWDO969PvNqNYHIOW5v0m,Crazy In Love (Remix),1JSCfr9YFx7SAP8sAYS5vx,68,https://p.scdn.co/mp3-preview/ac99e5740a6cfdd06be16fbaefbd29a026965e48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Don't Stop 'Til You Get Enough - Single Version,46eu3SBuFCXWsPT39Yg3tJ,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Off the Wall,2ZytN2cY4Zjrr9ukb2rqTP,74,https://p.scdn.co/mp3-preview/bcbf2c53e033e4df303f4a9c90c4eada0a70216f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,XO,40xhyfAPDoMtv494MfPevP,Beyoncé,6vWDO969PvNqNYHIOW5v0m,BEYONCÉ [Platinum Edition],2UJwKSBUz6rtW4QLK74kQu,65,https://p.scdn.co/mp3-preview/df9b5efc4577e9ef65491b5a3f74f3cf428297d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,I'm Every Woman,2M55R2A9IAhLdsCGFj8r8k,Chaka Khan,6mQfAAqZGBzIfrmlZCeaYT,"Epiphany: The Best Of Chaka Khan, Vol. 1",3qeheeurjW0lNtf9d7hJLe,61,https://p.scdn.co/mp3-preview/4e7ba67fbaac1b593bf5a70fffd57f0bd1673fa7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Best Thing I Never Had,3lBRNqXjPp2j3JMTCXDTNO,Beyoncé,6vWDO969PvNqNYHIOW5v0m,4,1gIC63gC3B7o7FfpPACZQJ,72,https://p.scdn.co/mp3-preview/86466c6e8a9c56977255b4ed91f22a335ed5467e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,I'm Coming Out,3SnGymj6ijE2iuUfWxLo1q,Diana Ross,3MdG05syQeRYPPcClLaUGl,Diana,3zgDLoVcpVGfFbDZJf3uHI,64,not available
7,Countdown,3axkNosdVQLZiq1HakuGhc,Beyoncé,6vWDO969PvNqNYHIOW5v0m,4,1gIC63gC3B7o7FfpPACZQJ,69,https://p.scdn.co/mp3-preview/ad046f8b135785f005bf84b63d657299cd6010ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,September,5nNmj1cLH3r4aA4XDJ2bgY,"Earth, Wind & Fire",4QQgXkCYTt3BlENzhyNETg,The Eternal Dance,6UixeNUSjrBnxeYV0ZuGHR,29,not available
9,Love On Top,1z6WtY7X4HQJvzxC4UgkSf,Beyoncé,6vWDO969PvNqNYHIOW5v0m,4,1gIC63gC3B7o7FfpPACZQJ,75,https://p.scdn.co/mp3-preview/9a7675cc7f71c524af1397cf1675b61a8fbc74ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
