Shopping 2016,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Setting Fires,0B8B8cVRFIG1yznoQe7c9s,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Setting Fires,5BJeN4SVEKe204y2SiszOe,54,https://p.scdn.co/mp3-preview/93051b9a6fceca569196828e7d72836517872de4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Papa's Got A Brand New Bag,6v4gV9s0pnwKbmF1yk5knO,James Brown,7GaxyUddsPok8BuhxN6OUW,20 All-Time Greatest Hits!,6MjOv3BeIjmht2ymtRih3s,55,not available
12,Pumped Up Kicks,7w87IxuO7BDcJ3YUqCyMTT,Foster The People,7gP3bB2nilZXLfPHJhMdvc,Torches,7Kmmw7Z5D2UD5MVwdm10sT,84,https://p.scdn.co/mp3-preview/db83e69f4ef8a49f5b77e367f7031cc3bcc41b1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Ch-Ching,3Aavvmvuc36w25vxNG4VE7,Chairlift,7hAolICGSgXJuM6DUpK5rp,Ch-Ching,51Ts2xENxl08dYII8sWgkM,29,https://p.scdn.co/mp3-preview/6502126678396a103936b978d1b8c0b84522104c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Starboy,2IY7eOUDjw2ArKYxKa2jXc,The Weeknd,1Xyo4u8uXC1ZmMpatF05PJ,Starboy,0X96HlegVXzQfJVIBWCRp6,10,not available
15,"Big Spender - from ""Sweet Charity""",5zq5yeEdGV6xmbZievcRtW,Bette Midler,13y0kncDD4J9wxCyfKr10W,Bette Midler Sings The Peggy Lee Songbook,0GJBYWx1ptK8L7L7bqYsRh,15,https://p.scdn.co/mp3-preview/fd6c1161392cd81de2a26d71b389dc837db971f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Side To Side,1pKeFVVUOPjFsOABub0OaV,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Dangerous Woman,3OZgEywV4krCZ814pTJWr7,81,not available
17,Love Me Now,6hdkw1wzhIRYPlYDUtCY5m,John Legend,5y2Xq6xcjJb2jVM54GHK3t,Love Me Now,6vXl3I6ZEja5hOpiygJt89,61,https://p.scdn.co/mp3-preview/1a295a0337cad3cf227d5b6d5007b6feec9c70fd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,One Dance,12VWzyPDBCc8fqeWCAfNwR,Drake,3TVXtAsR1Inumwj472S9r4,Views,0G1ffjfFuTUTVjDrVdLimH,67,not available
19,We Don't Talk Anymore,37FXw5QGFN7uwwsLy8uAc0,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Nine Track Mind,3kndSWeE2IYOrZEToZrHEV,71,https://p.scdn.co/mp3-preview/9c497e095198c3f26f98c244de8219935a908b81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Rescue Me,1UE2mIj6uy9Tip2cvQx5xu,Fontella Bass,6k3YMXJ1MJLgUEAlSPC6hA,The New Look,31ULkwBgiCeaQZhuWh1htZ,21,not available
