Top NYE Tracks USA,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,40,spotifyusa
1,Auld Lang Syne,0VBVUY6V7BfAazBjkv4Oxo,Susan Boyle,1qAuetfG6mhtDgsVIffWQc,Christmas Hits,6Mtye5lhYh1JtHenUkIsH6,0,not available
2,Sorry,09CtPGIpYB4BrO8qb1RGsF,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,80,not available
3,Hotline Bling,6nmz4imkDcmtwMjocAzFSx,Drake,3TVXtAsR1Inumwj472S9r4,Hotline Bling,19YQ10twgD5djBaBDUpH7o,10,not available
4,Jumpman,27GmP9AWRs744SzKcpJsTZ,Drake,3TVXtAsR1Inumwj472S9r4,What A Time To Be Alive,1ozpmkWcCHwsQ4QTnxOOdT,75,not available
5,What Do You Mean?,4B0JvthVoAAuygILe3n4Bs,Justin Bieber,1uNFoZAHBGtllmzznpCI3s,Purpose (Deluxe),6Fr2rQkZ383FcMqFyT7yPr,78,not available
