The Scene,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,328478,spotify
1,She's A God,2RSWXsgLoiGfuHHJk5ykxr,Neck Deep,2TM0qnbJH4QPhGMCdPt7fH,She's A God,4xxdLKcI0SaURrkrqt5LAu,62,https://p.scdn.co/mp3-preview/fdce2e2f0c2712de729a25fa22acc34337e2ee01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Strange Love,1y9AS8gXPuF8sn3K6Awbyb,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Strange Love,1j6QSpMFpwtR9SEZvGgR4L,58,https://p.scdn.co/mp3-preview/9d92c67124e76594dea39e77d2b1740fe4f0463c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Break Me Down,19zeIKIKfqwONdb9v6l80j,Out Cold,19YZoaNwpqy1vPn69ofnIC,Break Me Down,3WXJhBqkjbR88bVH1RMe6n,19,https://p.scdn.co/mp3-preview/95a9a222e42aa334868b1aa3fa683bcff6a5b373?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,I Really Wish I Hated You,6KWcq5p0wsz97N3eoRUSH6,blink-182,6FBDaR13swtiWwGhX1WQsP,NINE,4gARZz9eV7zbGbtOjhVTPF,73,https://p.scdn.co/mp3-preview/f876886c32a48c1646a532591e4c17e5d684642b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Clair,7hPogwNcXHMPrasiZ5Q9x3,Have Mercy,2UvzehEVGcYTPKNwJSZ2kM,Clair,2StVchzr8RK5EEYwd1tn0n,38,https://p.scdn.co/mp3-preview/4f5667f1b2d3734126974038b43702f1ee8239b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Alone with You,3jLj7HQNl4LXc9vNuwcFyw,In Her Own Words,3NBHNlkwYabSLvnisILPSI,Steady Glow,7xXGabh3KEE6qt7pk9iro3,50,https://p.scdn.co/mp3-preview/4a50be3081d68d44e5da019efb4938309ec49bbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Adrenaline,5vxX2POnp7NBbaCAIVQix7,Simple Creatures,4svozL97Y6aqWeZNJPqvsL,Strange Love,1j6QSpMFpwtR9SEZvGgR4L,57,https://p.scdn.co/mp3-preview/0f803f1f2499ae464c6f20d2e2c3e8d6e7dff1be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,In Violet,3L1n27XI8WzYZJIcXvsw5Z,Grayscale,6Xq9CIMYWK4RCrMVtfEOM0,Nella Vita,5j86yI68MjgZLKaYsL6Sd7,53,not available
9,"If You Were a Robot You'd Tell Me, Right?",2AWnzpien4nUUrxch08Pmw,The Seafloor Cinema,39a4hGdTS669oJBra6j9Ru,"If You Were a Robot You'd Tell Me, Right?",42Av3KvAXas7PQMDe8Fbr5,22,https://p.scdn.co/mp3-preview/4d076e3b0a0c3dca5036fada3456c104baaa3cdc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
