Get Turnt,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Cut Up (feat. Tory Lanez) - Remix,5VLHz9vAcU4xq5VKODueYX,Blac Youngsta,41klVmDluQZmGGqoidNfbe,Cut Up (feat. Tory Lanez) [Remix],1fF2G7cQgaQvm9vHW8QVtj,63,https://p.scdn.co/mp3-preview/43858e1cf800b9cf191b0285161a696653d3b6f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,JT First Day Out,0Otdui0avqjOxuCAzC7Jfc,City Girls,37hAfseJWi0G3Scife12Il,JT First Day Out,4kqU7ojcMMAGEmEuJjfghx,65,not available
27,BIG,7cyeGclH71MayOuQ7qtLFl,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,72,https://p.scdn.co/mp3-preview/c3d71296a50ec9c1da21722ad00ea671008721e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Mood Swings,2xE16muNCmhZwSOv3i1d1H,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Mood Swings,0ewO3paYhoJwMGX1Yjyebw,82,https://p.scdn.co/mp3-preview/6624c5f2bd5d29d8ed40b4b65ec97ffc178480f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Bats Fly (feat. Rory Fresco),7r3xg3tAlypy25eTXiIHog,Kid Ink,6KZDXtSj0SzGOV705nNeh3,Bats Fly (feat. Rory Fresco),1DTw6acfMW7bF8WTY3bswT,28,https://p.scdn.co/mp3-preview/13fcf7bb4bd35c7953a3e9c7ac840b63fd673a98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,not available,not available,not available,not available,not available,not available,0,not available
31,Shotta Flow (Feat. Blueface) [Remix],67XyC1GdSkKb9sbRRkUDXS,NLE Choppa,0ErzCpIMyLcjPiwT4elrtZ,Shotta Flow (Feat. Blueface) [Remix],0lDRXaECpMSYYCsTYRDulh,86,https://p.scdn.co/mp3-preview/d2c7eadbe6a669d19ee61ed31e27cd1eba007ce4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Twisted (feat. Logic & A$AP Rocky),5xEWiG0ug0rOymOjlzSGzx,French Montana,6vXTefBL93Dj5IqAWq6OTv,Twisted (feat. Logic & A$AP Rocky),7rmnGDfffE9OoCScZ4pjjU,38,https://p.scdn.co/mp3-preview/2f7e185f49682ce653a78546e40667a69b3f8d5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Hit Yo Dance,5x5sLaZGX6BeecyfCYF5Qm,Rubi Rose,1DGAqC29aw0FpJCejAehVk,Hit Yo Dance,3AITVZVyoN7udmmg63hjAL,5,https://p.scdn.co/mp3-preview/ce4a0e34cbbe68ea92bd67a7f7c5346c1596b134?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Pose (feat. Lil Uzi Vert),6e9biVAugkOfydEN8OiJpi,Yo Gotti,6Ha4aES39QiVjR0L2lwuwq,Pose (feat. Lil Uzi Vert),6nIe8wxpDcAzUJVj4v2v5r,77,https://p.scdn.co/mp3-preview/a4552ae3bf2deee5fe177fa4c63529ffd037a35c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,"Thot Box (feat. Meek Mill, 2 Chainz, YBN Nahmir, A Boogie Wit da Hoodie & Tyga)",7BpRvsDdzfsma8382uO55A,Hitmaka,1VeOsE6gNwoBsIAinCAb3l,"Thot Box (feat. Meek Mill, 2 Chainz, YBN Nahmir, A Boogie Wit da Hoodie & Tyga)",0uQOZ7tBmOqoMLT4Z4tO5v,73,https://p.scdn.co/mp3-preview/e99b137035350019d226ae0ccac7fc09261a69e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Choosy (feat. Jeremih & Davido),4gWAcvkVLzqnzFOcrYBut7,Fabolous,0YWxKQj2Go9CGHCp77UOyy,Choosy,6TcKWIXJvIVJHXerQtc81l,65,not available
37,"Costa Rica (feat. Bas, JID, Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)",1MJYFJ2igOWZpTo2kDcolx,Dreamville,1iNqsUDUraNWrj00bqssQG,ROTD3.COM,7kjet2qXvz9tstmtQBiNYx,40,not available
38,B*tch From Da Souf,6tLWt7gkvvTSjS6OfJjiyJ,Mulatto,3MdXrJWsbVzdn6fe5JYkSQ,B*tch From Da Souf,5Ux8ZuXz6ojbqiSf2y9iHw,66,https://p.scdn.co/mp3-preview/b1c1118ab64ac1469014a88331847fdf7cdf6651?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Cash Shit (feat. DaBaby),2rMAtCaTj16NptyVfEIeAC,Megan Thee Stallion,181bsRPaVXVlUKXrxwZfHK,Fever,5WLquTz7nUnsHCj80b6wci,82,https://p.scdn.co/mp3-preview/887df8fd3f1a55e6b707e48ac3760d6e8c118184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Suge,2gwkD6igEhQbDQegRCcdoB,DaBaby,4r63FhuTkUYltbVAg5TQnk,Baby On Baby,0O1PJ0t69iTO5yWrIeIga0,89,not available
41,Baby Keem,6Hmc5Afutf4hcrjnBYNidS,Baby Keem,5SXuuuRpukkTvsLuUknva1,The Sound of Bad Habit,5lxdY4GQkCJMcvScmwRgCx,44,https://p.scdn.co/mp3-preview/76c3cdca4fb24dc630d799bd119f09564752023c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Tap (feat. Meek Mill),5rU6kDNXZLXIinFezpbWbO,NAV,7rkW85dBwwrJtlHRDkJDAC,Bad Habits (Deluxe),31lHUoHC3P6BRFzKYLyRJO,83,not available
43,Fendi (feat. Nicki Minaj & Murda Beatz),7H1591r6SfmZZh6BUE7Gue,PnB Rock,21WS9wngs9AqFckK7yYJPM,Fendi (feat. Nicki Minaj & Murda Beatz),00M4ecLNv6pzPmr5lheMPr,74,https://p.scdn.co/mp3-preview/34fc6de54a6cba8e37ed9cccf6e2706205887159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,She Like I'm Like,2W2txJXyjPO61rD7xAxwAp,Young M.A,7LvoDJUNGnOrPdGRzVtOJ9,Herstory in the Making,1F1JJHhqMo5DETJkesqGpG,71,https://p.scdn.co/mp3-preview/b4f48f04f607f95eac95ab30e6b208c1ffde5e0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Suicide Doors (feat. Gunna),1rmpmDrnCR7fFZSmghtXmY,French Montana,6vXTefBL93Dj5IqAWq6OTv,Suicide Doors (feat. Gunna),5mgQnRLJIgrgduG2zWWiL3,71,https://p.scdn.co/mp3-preview/31544ca0ed90fac1b515fdbf2a761cacb244e68f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Shoot It Out (feat. Worl & Hott LockedN),0TZbar0k0XFt5KsrYQCESe,T.R.U.,7uwQPQsBYgrSd63xgeMyuM,Shoot It Out (feat. Worl & Hott LockedN),1rNiB73X56HmIrodDXDJIO,62,https://p.scdn.co/mp3-preview/b7a649b3d98feff2809106760d8e49aec56d45c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
