New Noise,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,321939,spotify
1,High Definition,2Pi7PgyV0CsV2E7uAfx7gY,Waterparks,3QaxveoTiMetZCMp1sftiu,High Definition,3fuEDlz9xcPzsVIBAlVSOQ,58,https://p.scdn.co/mp3-preview/1a444df3d56ebe9e00fda076db8ffe12357da57c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Is This Thing on?,1dHeMsz9nqqiR4OqJ7prVd,Pulled Apart By Horses,0AUkXuvc92Zd0E9qKbkfsy,Is This Thing on?,4F7kaZwhLYr9kYtZjLH3f3,9,not available
3,Tear It Down,2nrfQsRZEIkUUPGNZQgS3c,Mammoth Mammoth,0SinbcXhPwNHsfAUstKY9h,Tear It Down,3MzHv1bXT2KR73iWcVuB8Q,1,https://p.scdn.co/mp3-preview/d702e070a5d684d937f22658e8318570eb88121b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Serpentine,5BLYD1U9ZvVCrQxM9RfxQj,Sights & Sounds,0XWX7Mq0OUjQZtPxREERBJ,No Virtue,1HdFtgblxuXp07Zy0K2wWp,2,https://p.scdn.co/mp3-preview/f4aec83afae58f277505f1e334e43a3108fb4d1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dirty Shoes,5GcNVde7Nk2KK2n2g37Q7A,Authentic Pines,4PzxIDMBGmwfzdh4YKj0By,Dirty Shoes,4ty2n0F228LRY9EdLKtgq8,17,https://p.scdn.co/mp3-preview/5fa734b5ed3bc17cf0db0ad610984b7d87c49217?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,You Dig Yours,3tGvyYRqaxM5CVnAUQQ0cC,Starcrawler,0ZhtrY2Lt1s9klwm03lu8i,Devour You,5uPMb6JzczfxacRspRA1RG,6,https://p.scdn.co/mp3-preview/b41321429a4351c2b64ba509a07f80720c851c6f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Mundungus,3URJetfBGp2F6YanI0RTCL,Psychedelic Porn Crumpets,7GRrLcUxwtQLvOpO7OHO80,Mundungus,30GP0tWgFPYXHtre8RwA3u,27,https://p.scdn.co/mp3-preview/1a7282e75c3e3cf3debcd1ff337e1b183db04267?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Golden Age,3KPh2mki04GJvozNyd4zQg,Dan Luke and the Raid,0rbDnVqVc7mv9A6MNyu4lD,Out Of The Blue,5xoY0uPX8D7IMUXljhsjSK,0,https://p.scdn.co/mp3-preview/e71f35fd61f1a6c7a3d5ce3d0569384a61e77ff5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Shakin' Off The Rust,0Aergaee1PD3zbWcjxcUJl,The Blue Stones,5VPCIIfZPK8KPsgz4jmOEC,Shakin' Off The Rust,1QJSy2Unc4j50ibbiO2DXQ,8,https://p.scdn.co/mp3-preview/7a9e4465136fd5f5bf6186dd39612807d6c6761a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Mundane,6bHowZwEPIQ7sBPkvg04tV,Hardcastle,6L95H90mXRQPcFar4Q7tAm,Mundane,4jBtKZtAdIboAJqvx9xiX1,28,https://p.scdn.co/mp3-preview/8773271a1ab15e7d3ec929af5bbeaed0ad310c65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I Want It Real,1FtDrgSaObTqJGQbEPF9P6,The Almost,5X09SRt3qx77eh0XRreLjr,I Want It Real,5wEPlgaKtVRNv8BIJsMCw6,6,not available
12,Loser,0HIQTdxeEgAim6XGO31tGl,Moby Rich,5cVeSOiS002MF1uiUFOPV5,Loser,12SkuNMHLY4fxHUZBtmkTN,5,not available
13,All Out,4ZSuODy4xcQevETPu9vEbF,Locket,6h0cRpTv4GFq0zYbCbsDXy,All Out (The Singles),27lOeZ0KOk22hKxvF8d54F,13,not available
