Éxitos España,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2041449,spotify_espa%C3%B1a
1,Te Quemaste,4fj7e6Tc48Bmomwyz2Z2XC,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,ADN,0CUMVFalkFhZM6Xo0ErxLi,87,https://p.scdn.co/mp3-preview/b7d05f507f8a8b91a2956655b186eed835ca9555?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Adicto (with Anuel AA & Ozuna),3jbT1Y5MoPwEIpZndDDwVq,Tainy,0GM7qgcRCORpGnfcN2tCiB,Adicto (with Anuel AA & Ozuna),7nqA49hzXJWPH4cnM8nk6x,93,not available
3,Prendío,05UMNfz5U261JvPI4GPkZI,Rvfv,2CCgb0KApjfQDuTppovpf8,Prendío,07mx8D37pAYPCRDsRPzDhP,60,not available
4,Easy,7fTsw0IKbbPDN19keS32tF,Jhay Cortez,0EFisYRi20PTADoJrifHrz,Famouz,1V9QpD8kjA2iHCElhFGvlo,79,not available
5,Fantasias,6mAN61JH0dzyZpWslS11jy,Rauw Alejandro,1mcTU81TzQhprhouKaTkpq,Fantasias,1Flcx9eDuv7pTGM9nJBmGL,87,https://p.scdn.co/mp3-preview/930d66f49d44245621349c6b495e61c7eedff9b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Goteo,1EoEU4HY57qaITp06TkC6B,Duki,1bAftSH8umNcGZ0uyV7LMg,Goteo,6lfI4LBcu46SL3TzSw3rWg,88,https://p.scdn.co/mp3-preview/8f1da5b1d357a186e0daae756f00dbf27d3ce2e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,"Yo x Ti, Tu x Mi",7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,7ltDVBr6mKbRvohxheJ9h1,"Yo x Ti, Tu x Mi",3844bY26oeSkqd06th4EYp,93,https://p.scdn.co/mp3-preview/f8d270e551ebd663edbb22a6f2fb58a3f5d73edd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Apriétala,1hKjevdsabrnoc1GZXmcDT,Rvfv,2CCgb0KApjfQDuTppovpf8,Apriétala,1UBI7rQhKTUtTDPlp7tQ3T,61,not available
9,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix",1ndyl3wJCFs872XZ3ztPk6,Justin Quiles,14zUHaJZo1mnYtn6IBRaRP,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) [Remix]",71uU1JDWZ61OMDtW8h1Kp8,86,https://p.scdn.co/mp3-preview/662fa6450a8b90db980d3cdd27c9e3411da2c44e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,China,2ksOAxtIxY8yElEWw8RhgK,Anuel AA,2R21vXR83lH98kGeO99Y66,China,1PTTAq0OxggVgqP5WTYWDh,98,https://p.scdn.co/mp3-preview/a2486b829160d65e2bf30038bb3a5f76df3393b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,No Te Debí Besar,1KdwnsWOvhM53vezy5ROuf,C. Tangana,5TYxZTjIPqKM8K8NuP9woO,No Te Debí Besar,1VIVJSQidZ6nddSJoEEYt7,85,https://p.scdn.co/mp3-preview/4b86f6bd7a234d31407838ac05d2f5d7a9fa5b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,La Rubia - Remix 2,7KKTnv81z6DmfPIGsZWjOW,La Nueva Escuela,7mcJN2bWqCv7jvykgHp4KN,La Rubia,6NUJ7KPZh3l3QZemQoVa0a,79,https://p.scdn.co/mp3-preview/9a481f6b38b186455d40e024525c641758aa94bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Si Te Vas,6Y4PDQv4XjYjHLeLmvyOt0,Sech,77ziqFxp5gaInVrF2lj4ht,Si Te Vas,2S6p0g6YzG3609Ty45i5Cq,86,https://p.scdn.co/mp3-preview/5cb4ad4d3ffe549979c79007dd7437211affb89b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
