Directo a Clase,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",5600nq7TiBraBX2jobyJ3l,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,"Swan Song (From the Motion Picture ""Alita: Battle Angel"")",11u8ZjrMHunQFg7l3nfDaX,71,https://p.scdn.co/mp3-preview/7831c93a13a52b26319278f2f483a8703e9939b4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,ME! (feat. Brendon Urie of Panic! At The Disco),4Sib57MmYGJzSvkW84jTwh,Taylor Swift,06HL4z0CvFAxyc27GXpf02,ME!,0WGakTFs8cnggcYsHjIhgy,46,not available
26,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,94,not available
27,Small Talk,4NmE2ytXI8S2svTRSmEdpO,Katy Perry,6jJ0s89eD6GaHleKKya26X,Small Talk,5FOy9CM3AZs86TIK7fsJTV,82,not available
28,In My Blood,79jX8RM5CgPqDKdGEKNW9K,Shawn Mendes,7n2wHs1TKAczGzO7Dd2rGr,In My Blood,0OrcP3iH5AnzeEmvlpunlN,21,not available
29,Solo (feat. Demi Lovato),6kPJZM97LwdG9QIsT7khp6,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Solo (feat. Demi Lovato),1q7a5wZeti0neU2jDn8Dz3,82,https://p.scdn.co/mp3-preview/ccfd1b80223079c120eeec6e83c7771eb74ca27d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,i'm so tired...,7COXchtUOMd6uIT6HvmRaI,Lauv,5JZ7CnR6gTvEMKX4g70Amv,i'm so tired...,13yMsBNa2femeWzhcDOqFw,87,https://p.scdn.co/mp3-preview/c066ee13f04cb53b3b5033079f06200a44b18cf1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
32,Stay (Don't Go Away) [feat. Raye],4YhN72dRYL2Z3MsaKyT7rS,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,Stay (Don't Go Away) [feat. Raye],581MrXg5n979mmvZaC6AOE,79,https://p.scdn.co/mp3-preview/e861389ed2b773dc0aa5f5b96aa2bc0eed9bd09d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,No New Friends,3Y7a0typ6ik1KscmebXd6D,Sia,5WUlDfRSoLAfcVSX1WnrxN,No New Friends,53xHggSRIfHec0bA1oyReb,31,not available
34,Perfect Strangers,1CUVN2kn7mW5FjkqXTR2W1,Jonas Blue,1HBjj22wzbscIZ9sEb5dyf,Perfect Strangers,163nFrWkhj8FwiwJ11Gu93,24,not available
35,Easier,4tNXntkAzQ5A2dfYRYGIIQ,5 Seconds of Summer,5Rl15oVamLq7FbSb0NNBNy,Easier,0puSqXoH0dMgimvyi5slCt,85,not available
36,God is a woman,7gkWXbAxIYuvtOpcN3p9GJ,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,God is a woman,3qowbCeEsKLpcHDgZiPMad,17,not available
37,Anywhere,7EI6Iki24tBHAMxtb4xQN2,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Anywhere,3syh4e0H2YnXmzGzP5Rd3G,75,https://p.scdn.co/mp3-preview/ec024df926734cd185ae9fde8d081cc4d451c4d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Thunderclouds,5a8RPWgKSmcGBGcffmIrUi,Sia,5WUlDfRSoLAfcVSX1WnrxN,Thunderclouds,6LK12zrllpjwB43YA4QX8d,24,not available
39,Lover,1dGr1c8CrMLDpV6mPbImSI,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,1NAmidJlEaVgA3MpcPFYGq,92,not available
40,Shape of You,0FE9t6xYkqWXU2ahLh6D8X,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Shape of You,7oJa8bPFKVbq4c7NswXHw8,77,https://p.scdn.co/mp3-preview/84462d8e1e4d0f9e5ccd06f0da390f65843774a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Wolves,0tBbt8CrmxbjRP0pueQkyU,Selena Gomez,0C8ZW7ezQVs4URX5aX7Kqx,Wolves,5gQZvWM1o8NkQndueJtZcP,83,not available
42,Happy Now,14sOS5L36385FJ3OL8hew4,Kygo,23fqKkggKUBHNkbKtXEls4,Happy Now,6nAjd2MlBY1f1mNu6BsWLO,83,https://p.scdn.co/mp3-preview/a2c9677593d52774f89c7d2dd2e810ba4faac01c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Back to You (feat. Bebe Rexha & Digital Farm Animals),7F9vK8hNFMml4GtHsaXui6,Louis Tomlinson,57WHJIHrjOE3iAxpihhMnp,Back to You (feat. Bebe Rexha & Digital Farm Animals),4sBgGazGb7S9ZUQJu2Y0qa,76,https://p.scdn.co/mp3-preview/7f538f37efa5e099ba7ad81f71aef10648c2da20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,In My Mind,0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,3v6Ji4uoWtKRkhuDUaxi9n,In My Mind,1c79SozES9Eb3Lzf9KVaIa,86,https://p.scdn.co/mp3-preview/93c16bb3fc2389f39db64a559ddac0d84bb15e4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Nothing Breaks Like a Heart (feat. Miley Cyrus),27rdGxbavYJeBphck5MZAF,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Nothing Breaks Like a Heart (feat. Miley Cyrus),2hBfao8GWZwHlUGDB8HVQO,82,https://p.scdn.co/mp3-preview/d77c0f82619faf3fa4d6a34a35938820b3389ae9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Anxiety (with Selena Gomez),1XJ93XskwJf7PCyIVLbNBt,Julia Michaels,0ZED1XzwlLHW4ZaG4lOT6m,Inner Monologue Part 1,1xJ7jIK1tT0aVoJw1fPE6r,73,not available
47,Not Ok,6aoGtdWXBkYQ2O2wnyIz2x,Kygo,23fqKkggKUBHNkbKtXEls4,Not Ok,3GTuto6NDtZegL6idSk183,77,https://p.scdn.co/mp3-preview/b8abf7d0a5e3beabeaa6757d93599ce578e05854?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,All Falls Down (feat. Juliander),5yFSF6qQA1rcLsQRnBsZgb,Alan Walker,7vk5e3vY1uw9plTHJAMwjN,All Falls Down (feat. Juliander),4hlAdqONoJhkjf8u9XMjQr,75,https://p.scdn.co/mp3-preview/ad3f48f868d4ada8786b162ce539a801d85a88d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Fix Somebody,2uP9mRXLfOePl6m2tGefEE,New Rules,75ois9nn8xMuOgVk2oCN1C,Fix Somebody,3hxAwhsFRhE8vryYxRmwKD,49,https://p.scdn.co/mp3-preview/3e8c154109a4a18e069f13962de51c5a2c9b72b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,In My Feelings,2G7V7zsVDxg1yRsu7Ew9RJ,Drake,3TVXtAsR1Inumwj472S9r4,Scorpion,1ATL5GLyefJaxhQzSPVrLX,84,not available
51,Symphony (feat. Zara Larsson),4SPLWgCPoKwULz2UTM8TKg,Clean Bandit,6MDME20pz9RveH9rEXvrOM,So Good,5YLRVHDVRw3QqWbeTGpC5B,20,not available
52,You Need To Calm Down,29fRTIKsJhLUJoldM89GZS,Taylor Swift,06HL4z0CvFAxyc27GXpf02,You Need To Calm Down,21dd5QyItuoqvPkViQXlKf,79,not available
53,Cheap Thrills,27SdWb2rFzO6GWiYDBTD9j,Sia,5WUlDfRSoLAfcVSX1WnrxN,This Is Acting,77jAfTh3KH9K2reMOmTgOh,77,https://p.scdn.co/mp3-preview/88816b2040a092aa99d5b0e42945d79dc5027c1a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Natural,4zIO3ilp5HvTeK3HJHxhMP,Imagine Dragons,53XhwfbYqKCa1cC15pYq2q,Natural,3rar7GKCodqR9GIIiNe75H,24,not available
55,Lonely (with Jonas Brothers),4fwo6czG5nvOQMzhOto1ya,Diplo,5fMUXHkw8R8eOP2RNVYEZX,Lonely,1MF23oT6lg5q47LnZ91UPy,85,https://p.scdn.co/mp3-preview/3fa1dc5fe5068d6c7189d3871cb1fd1615330b39?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),7Feaw9WAEREY0DUOSXJLOM,Martin Garrix,60d24wfXkVzDSfLS6hyCjZ,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),0xbuJLlb5afBcmCpdOaszR,88,https://p.scdn.co/mp3-preview/2c529a40d846a04151fed237da99736e1a372e1c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,I.F.L.Y.,4R9ATNRRl1uth17i5qDCc0,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,I.F.L.Y.,5Q4g8NWSgDf0AEE0Vy7bz9,66,not available
58,Don't Call Me Up,5WHTFyqSii0lmT9R21abT8,Mabel,1MIVXf74SZHmTIp4V4paH4,Ivy To Roses (Mixtape),0syM7OUAhV7S6XmOa4nLUZ,87,not available
59,Something Just Like This,6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Memories...Do Not Open,4JPguzRps3kuWDD5GS6oXr,83,https://p.scdn.co/mp3-preview/cb1ae1f9e2f874dd2d19e4c29edb552777eb1e7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Sweet but Psycho,25sgk305KZfyuqVBQIahim,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Sweet but Psycho,7CdLU3GgPy1PH5FVsrPlyA,89,https://p.scdn.co/mp3-preview/9772598a67666a9b7184926c59fe15b9574c7e46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,Motivation,0rIAC4PXANcKmitJfoqmVm,Normani,2cWZOOzeOm4WmBJRnD5R7I,Motivation,2r6BEK0wzXbL8JHyCkeJkG,91,https://p.scdn.co/mp3-preview/f6877dfe11a1c9ea4731947219a956cd18c6a7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Rockabye (feat. Sean Paul & Anne-Marie),5knuzwU65gJK7IF5yJsuaW,Clean Bandit,6MDME20pz9RveH9rEXvrOM,Rockabye (feat. Sean Paul & Anne-Marie),3meZFplbMmji648oWUNEfQ,79,https://p.scdn.co/mp3-preview/3c126ba33517e26c879ac10e3099df15c7b2aec0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Mine,6tHWl8ows5JOZq9Yfaqn3M,Bazzi,4GvEc3ANtPPjt1ZJllr5Zl,Mine,5TR37lsXlmSmzFuIcXn5Dp,17,not available
64,This Feeling (feat. Kelsea Ballerini),15kQGEy89K8deJcZVFEn0N,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,Sick Boy...This Feeling,1KQiX6KfutAN1UEzZ4BK5Q,26,not available
65,Insomnia,7hzlzoOwCZ4D3Ow5YZK4kj,Daya,6Dd3NScHWwnW6obMFbl1BH,Insomnia,673e3sPgdJWrPAIBvaKysa,78,not available
66,I Like Me Better,1wjzFQodRWrPcQ0AnYnvQ9,Lauv,5JZ7CnR6gTvEMKX4g70Amv,I Like Me Better,7l6fTSFvlumnPFpOSrbnDV,85,https://p.scdn.co/mp3-preview/fa069a3be2d69aab5378b55f6c66d8b3eff1a6d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Lost In Your Light (feat. Miguel),1v3bR4v6SruaE8efrTUqqp,Dua Lipa,6M2wZ9GZgrQXHCFfjv46we,Lost in Your Light (feat. Miguel),62p5XdeJZ6LMZ94D37rMM1,63,https://p.scdn.co/mp3-preview/594f6f9f80d5ea6b7de830f2c3e90c69a913bd48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,It Ain’t Me (with Selena Gomez),12GEpg2XOPyqk03JZEZnJs,Kygo,23fqKkggKUBHNkbKtXEls4,It Ain't Me,4VNy5ifZtW3E9SgffbGEti,70,not available
69,Talk,0rTV5WefWd1J3OwIheTzxM,Khalid,6LuN9FCkKOj5PcnpouEgny,Talk,58kvvQvx6OtLqEDhqYSzyM,84,https://p.scdn.co/mp3-preview/377020170b3fc0569afa2ab8935b9982323bddd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,No Promises (feat. Demi Lovato),1louJpMmzEicAn7lzDalPW,Cheat Codes,7DMveApC7UnC2NPfPvlHSU,No Promises (feat. Demi Lovato),6301sWkK7hVwcrhcEwKPcH,74,https://p.scdn.co/mp3-preview/eb769786f45b9fe4852d38b4db9e2b4774e8781d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Let You Love Me,6xtcFXSo8H9BZN637BMVKS,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Let You Love Me,4INRJMYMJrSPsf5mbW26Fm,77,https://p.scdn.co/mp3-preview/4521432adc21bc9b46674870ecae9c9af2ed3c1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,"fuck, i'm lonely (with Anne-Marie) - from “13 Reasons Why: Season 3”",322tcqPhma7F6hfCeLisx0,Lauv,5JZ7CnR6gTvEMKX4g70Amv,"fuck, i'm lonely (with Anne-Marie) (from “13 Reasons Why: Season 3”)",60sI3iRfHfu7YpcTpZ29W1,92,https://p.scdn.co/mp3-preview/f516b7ef3c83e390a1c965c5b3730ebe4a6c667d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,We Were Young,1USj0dJqfBxnOiwiOuB7pU,Petit Biscuit,6gK1Uct5FEdaUWRWpU4Cl2,We Were Young,3kZ0FRj4CvEhzvfAws1YfJ,65,https://p.scdn.co/mp3-preview/9fd02b5d543292a4dbf246c315f90f3c6c514422?cid=fa83a2fec7c440b7a2795d600d6b2c7e
