Para Entrenar,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1610669,spotify_espa%C3%B1a
1,Only One,76BsXOvYUVdvfILEUTWzQL,Tom & Collins,1XU5MjR4kex9BGyY4UMtta,Only One,5ROT177Mye9xMkDkvOmox5,54,not available
2,Blinded,010vYuTvUjhcUAx6ICC3p0,Magomar,7M9Q32QNz5VWqvUx3InyX4,Blinded,1n5O3tcHkCvXLH608JoHKr,51,https://p.scdn.co/mp3-preview/6137ab79ac96e20e220dcb63a69e0028dacf0463?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Atlantis,5N36pxghN02FAvkSFx3g9B,Deniz Koyu,39PhMWg1aAuuZcph0OXGu6,Atlantis,0O3rLhzYzUcYGwpNskHZJp,49,https://p.scdn.co/mp3-preview/045b6e49ffd2effc90e11e9f756f6821f97cdaff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Free Falling - Radio Edit,4HzcbtvasXaoTp9y0FQuDZ,VINNE,1FGLT6mEhIrPhgqYiU57ro,Free Falling,2UTIqAM6vLoVP0HpEz16cM,50,https://p.scdn.co/mp3-preview/827aa158df80a111cfb3c27d484ca1c52a1991c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dreams,75kTsQvZMxVmNKmKEFp4Jd,Danny Avila,5y3G1B8cpCTaoq0uDgjwzH,Dreams,4dHHFpjXbr7jO08cRaPXQE,49,https://p.scdn.co/mp3-preview/74acd4b348be38fd535591047c64f50efb2a54a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,You Are Too,0egNFEKqrGIu3tMmaNPNrT,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,You Are Too,5izrUvMQ4vGzVGs9CTriPI,52,https://p.scdn.co/mp3-preview/917c6f84e2e1106bc2668d6b895860cc90551f17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,The Hunt,02jlyr9XyH1AgKGxElLZT2,BROHUG,3IHsD0sttucHrX8b32Vcab,The Hunt,2vqdjWMOFxggqpqW6NOvXh,47,https://p.scdn.co/mp3-preview/afc30e8a99a84db955d5da00c05bfb4360aed7f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Meteorite (feat. Scott Irribarra),0ONwsFlyF6JQQsS8xLUYFO,DJ Who,2MI03I2UxwCen2VjYktQA7,Meteorite (feat. Scott Irribarra),1hr4mtENkhGvjKAz1UHozu,0,not available
9,One Time,2MnJgBPwVWmdZHzWGbF0Nb,Olly James,04Ze9i5w3NXno5DdMNpJZC,One Time,5C2nECiCVA26sQWAuWBUGu,45,https://p.scdn.co/mp3-preview/c7ae97014975ddfe8b19d5065427426efca3c1a6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Meteorite - Kideko Remix,7w8isoTLF01TbSI3Kg9nq6,Years & Years,5vBSrE1xujD2FXYRarbAXc,Meteorite (The Remixes),7zYtCTyhvH2FpYissCjaG7,47,not available
11,Strong Ones - Dave Winnel Remix,3fLkTlRoT9tOxLRS9aL9K0,Armin van Buuren,0SfsnGyD8FpIN4U4WCkBZ5,Strong Ones (Remixes),5rmJH86pV7lhhYKTcT4isl,47,https://p.scdn.co/mp3-preview/67695acb64f4b6570a495532b10869a8e7ca2c0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,You,7wqCPZhpciAeQ2baPttpxY,The Otter Gang,2zwck61lkwkJSGOicGl70o,You,3mzP1uwMGCyypeXoPzRbt3,45,https://p.scdn.co/mp3-preview/e2fc9690522109478c72b62f59e91f91988ab47c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,9Am,18QYVPJW7MFZyCS592RcDl,Mor Avrahami,3N1sHAuik77fDlXppfZ0oC,9Am,0GAtEc5WmxxAC6gn0yOybo,46,https://p.scdn.co/mp3-preview/926bd36c1fa796f2bbf65faf32667f11eccfbbf2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,This Is Love,4xx4xYffuHfFKsCW6s2KnH,Hardwell,6BrvowZBreEkXzJQMpL174,This Is Love,4NzkkM596GWD0c5tzYXuiM,62,https://p.scdn.co/mp3-preview/9f7df80dab7f7b9b79f4c801595e3f944fd026db?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Takeoff,3LF0w9ESRpsQ2dfIoWNAik,Matisse & Sadko,2QMCcKIPHnjQaPPgoEst88,Takeoff,3BLdqpkDRsJKjVK6fpYvgC,1,not available
16,Big Bang - Radio Edit,4DAhWOXkEhY2fKbVIdSnLD,Marsal Ventura,3uGPais7i1uwcaa9xOjPjF,Big Bang (Radio Edit),1PXmrQUOpNNPpKksxI5VnP,45,https://p.scdn.co/mp3-preview/56a4ddfcc59071ee42f89c8d489caeca1b60fdf5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Party,1nM4Uejp8P5To3ybQqPuze,Albert Neve,4qq3Lutu3o965YhHUsnyDC,Party,6eCE4pHD5KrSXLYe8AeBzT,1,not available
18,Ready For Action,1oWQ8tQnoJTXQsn1Il2uMX,Dimitri Vegas & Like Mike,73jBynjsVtofjRpdpRAJGk,Ready For Action (Radio Mix),2aYWmm0pBPNZuK8A9vJeUU,3,not available
19,Cash Money,6xjjPViX3G3ygeDnuU3gab,Malaa,7w1eTNePApzDk8XtgykCPS,Cash Money,1IqCTbeUKa4wl79rCwVKHy,52,https://p.scdn.co/mp3-preview/2a64c4baaf0e777fe0b8e1ecae629794752475d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
