Latin Jazz,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,345063,spotify_espa%C3%B1a
1,Corcovado - Quiet Nights Of Quiet Stars,5i2sgqnzaxYpvXmGAB592h,Stan Getz,0FMucZsEnCxs5pqBjHjIc8,Getz/Gilberto (Classics International Version),5p7LZlOPMvScCXw5M77xyV,16,not available
2,Pedro Navaja,7iQBflxrDWDvsIEDy8juLT,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubén Blades,3iptT1nxZTR7fX4Cf8KHbJ,46,https://p.scdn.co/mp3-preview/c867c36623e2cc0842322c6f39d6169e1cbcc196?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Come Fly With Me,6OPXHnJY3NMn5Qr6K1Qqty,¡Oye Frank! Sonata Latina Tribute Orchestra,7zug34wHklQjAqvDHAhqJ3,¡Oye Frank! Sonata Latina Tribute Orchestra,4aulK0TyjbHCKcUPtZBXYF,7,not available
4,Bucle,1DQDsPGGlQgVOlY1TKZ32B,Tomás Gubbins,4ZMKJ0qDl9hdPXhsnZk8jM,Proyecto Satélite,77Tb6SEL8rpGI8U0gW4l9x,38,https://p.scdn.co/mp3-preview/9d86392ceba54612a495039a92f9e3eed0f76913?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Chucho’s Mood,2VACXzUf5uOvheUAztmM3P,Chucho Valdés,27mRThsZ9K1BYmz0rioxwp,Jazz Batá 2,2qNItLdcFnSId2094fNe3A,40,https://p.scdn.co/mp3-preview/8f5e47d4bf6ed89fe7e69bec6046b2a9db6a7d68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Desafinado,4RAeL4OABP3aI9cu8iCXrF,João Gilberto,77ZUbcdoU5KCPHNUl8bgQy,South American All Stars (Guapachando),2e1EwQ14pZF7ompCZuaEMI,36,https://p.scdn.co/mp3-preview/e072f64b8533343708868ca55f6ace7f96a27a32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Como Fue (feat. Bobby Carcassés),23DTCcj8R5BHYgsprq5ngD,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Live in Cuba,2mLRfQqMxdiZSpUHnd0HKy,40,https://p.scdn.co/mp3-preview/b3d6a63cf0eefe21b217ec04fe801dec0e2e245f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Águas De Março,3IvzsLgMv2eF5eSXoeP7Xm,Antônio Carlos Jobim,3pO5VjZ4wOHCMBXOvbMISG,Antonio Carlos Jobim: Finest Hour,1XkX9d8U5KCcD5DKEpMfOy,11,not available
9,Home Cookin',5iHt2zihQWvVBGdPIR4dKT,Hilton Ruiz,7uUrPQUnxCoQusOAh5I0D1,Enchantment,3NaX3LlcZvDgsUoscFGOfY,42,https://p.scdn.co/mp3-preview/5977097c3c3a23c712aa2f0111f0fa8e786fcb04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Dos Gardenias,3Fn6K2roSmzhKzp5BBJKJl,Buena Vista Social Club,11kBu957KTYoAltZHDm8gW,Buena Vista Social Club,2Upqk0mMh9OMIVSj9F8Xzw,29,not available
11,Cuchifrito,3KL71OfzGjSeNeMfPQ4w3V,Carlos Henriquez,7jDk9ohezXq697Zz5X2KPI,The Bronx Pyramid,3tzUc7mPAuBZCWAM28Ithw,40,https://p.scdn.co/mp3-preview/74746a68451368a67874d059a5b6513a8dd3ec22?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,"Ay, Mamá Inés",5eeZItvyhs0zNAN17uDnPM,Alfredo Rodriguez,1dp5YyefJVa9mkiqa3s50O,Tocororo,1e2GBOtPyLu7iuNm4EvFKG,40,https://p.scdn.co/mp3-preview/f6bcb907224f744c5835fc43a91d12ff9eaa124b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,2/3's Adventure,3afCxJceMqMAFYOJNFHomm,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Live in Cuba,2mLRfQqMxdiZSpUHnd0HKy,41,https://p.scdn.co/mp3-preview/b8c3bae28aeb967b184a13f10f9da28bb0dad811?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Catin Latin,38dUD8S84uJi5NGmQ3LsRX,Dave Pike,64Qwp26Lb2beXJzBs0qBpl,The Very Best Of Dave Pike (The Latin Jazz Legend),68HyYBWjTgPL4liVhD3OX6,39,https://p.scdn.co/mp3-preview/ae84092d4d9828981f1d458aba50238a83a8def5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Bebochicochuchoturo,2WQNDG0KKDMczbJLxvdxnJ,Arturo O'Farrill,5LHgdJhFO2hT2gu877UPKV,BeboChicoChuchoTuro,1SqBgxgGA4HrqCEv03Mf7I,29,https://p.scdn.co/mp3-preview/5f81980db1e471b615a67184077dfb7f12664fd4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Bruca Manigua,2nRmc4GL2U1Ehrqzf4eCqF,Ibrahim Ferrer,5dss7E1Ph0KxuF1ULfAx4D,Ibrahim Ferrer (Buena Vista Social Club presents),27HNh1cyB39ERqdpSjM2i1,23,not available
17,Sunny,2QpwAPgyuRCvL6fBEWvpUN,Negroni's Trio,6clJrNFd1xD5dzc9UzxW7C,Sunny,73Orqh8gNy6wgoCTTEN5Jd,4,not available
18,El Cantante,62qut4QWc4SptIRYikqvBK,Jazz At Lincoln Center Orchestra,6MnWA8xVW1sEzV9s7wXpQb,Una Noche Con Rubén Blades,3iptT1nxZTR7fX4Cf8KHbJ,42,https://p.scdn.co/mp3-preview/c84a6b2594b99d6bfa1d2094119e33c9c8af5076?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Granada,22SmTBT1AQQpeH9gyhOOYG,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Ultimate Duets,28xn3zHQbQHtmAL8dptb4A,41,not available
20,River Rises,2cgUuAbgKxogUes21l6BSq,The Gaddabouts,4YKbrs5rlpiUd9YhD2kn1B,Look out Now!,3If8CnWombvLZqUZiN3FI5,42,https://p.scdn.co/mp3-preview/5c8bc876d761f203cc12f1b1a28789d38d2e5e75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Linda Guajira,6LgpmOednaE46TjVgeSFJm,Mongo Santamaria,2oVwztjpHpJlAvlVVuqVa0,"Latin Jazz, Vol. 3",3Frf4Pj6JoecGG62EG8Z8h,38,https://p.scdn.co/mp3-preview/ec53de52a65bb0a557f2bd0ef6fc6942e6351ff5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Tres Palabras,492E26qWIhmnzthZye91v8,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,Juntos para Siempre,3KqVBTW2XNykZ5r1yRRjo6,41,https://p.scdn.co/mp3-preview/c0b2f27a256dc401bf2a068e59f8c7f4ecc45f55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Te Vas,60crTYYJLMAnAoCZfHMxvk,Pete Escovedo,3EXBBqXojqnitE9lPX0uUZ,E Music,3pgTPEAzBxsAeTS7GCvIAw,2,not available
24,Corazón Partio,2YKpikIUrPvznHwdIimQX2,Arturo Sandoval,0MGQZNEMaEICyku3cSDrnJ,Ultimate Duets,28xn3zHQbQHtmAL8dptb4A,43,not available
25,Africa,54goL1KjbgwruLzJvdkgCn,Alfredo Rodriguez,1dp5YyefJVa9mkiqa3s50O,Africa - Single,7zjOH2EziEf8LP3wgGr519,3,not available
