Punk Español,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,46450,spotify_espa%C3%B1a
1,La locura,4qoiW7KuyMkiShQgZkRGc6,Parabellum,0JbJ9sG3cB719QmmkIRTPQ,Hace falta…?,5t0HwnzCCMGcMmervnzQRY,43,https://p.scdn.co/mp3-preview/414b728e0a8ed9ce2dcfb00c7790dc5676851eed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Salve,3A5g4sFwzahqS2B3NeqNV2,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Salve,1XCAxFWUmdLpI0WEtfBYmU,0,not available
3,Mi Primer Amor,2oRmhBSPhWNScSkwR7x8xi,Piperrak,0kya4eL7YgduZ1RAbO6Uou,Arde Ribera,4miZbn6vSzsHLvCUMSBX1s,51,https://p.scdn.co/mp3-preview/7640423ace992db81df4e842c2b8c349a5008d15?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sangre Proletaria,7kRW6x17ZDtzFCQpzxMTFW,Kaos Urbano,0u5LMlVeRfZZuh2Nxowii4,Sangre Proletaria,6kwUrq1PfZ6TvbTvusdwbJ,32,https://p.scdn.co/mp3-preview/a2263e419db93b4231f71ecf3e7bdd8a4b630091?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Esclavos del Siglo XXI,0tk6HwFFBSkbrn8sGKaZgq,Gatillazo,3XrunnoiCGkRTanrnsPRam,Siglo XXI,2fwFXVTTeMyJj7IbIoFQZy,48,https://p.scdn.co/mp3-preview/c2d26ca36a084d0817194993cf3d2e1fa1bc2a51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Madrid Arde Güay,0DKhSxW31spIQwHuVVjAKZ,Andanada 7,0nrq6nMnYrixQtl0G5Hkop,Te Odio,2Ts3VUTMWYxtJqAzczkKg9,20,https://p.scdn.co/mp3-preview/0eed790d20a42d6d573d565cb47a71d4d8887cdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Ellos Dicen Mierda,6bsiPYRqISKkHN9FpgffKP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Ellos Dicen Mierda,0QjDaIXJLrgirtJMFWIu8R,54,https://p.scdn.co/mp3-preview/965253f5f4f0e727e9746dfbbe70c964ea485f8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Txus,2PsfVFoxML7Cqa5E66GKO8,Kojon Prieto y los Huajolotes,7JQaCBrVLPIjr2mZq2hx5h,Síganle compadres,1AoAcFTJMxJSjxnXAecHZG,32,https://p.scdn.co/mp3-preview/1990e179c41f662d187066c7bfcd9628118bf266?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Jarama,749QVthAEMdMPQdZBLQ98S,Boikot,0wppCmJl3glHZZScLcs4gn,Jarama,0Xturr8pgzoF9M6gb0UPlh,48,https://p.scdn.co/mp3-preview/a9f2b0db1bebdf45f0c617990be1c8f3da1ce8bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Pégamelo a mi,75koSjKCBKxK9SFS70pBBQ,Def Con Dos,1O4hqQz2nV0jrlF9VEFBNK,España es idiota,5f1M1eiKzVAmo2lOpU7adF,31,https://p.scdn.co/mp3-preview/05fd812559308a6732c3fdd1304ae336c409aecf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,El País de Alicia,4QAw1unWjQ1a2XMwGc06Ie,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Difícil Ser Humano,1zSktJaNyIi1ot2Wupn4VZ,39,https://p.scdn.co/mp3-preview/f1990808cfac94a4dedc4dec4075e0d98eb4faa6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Txus,19cTnpZXsoNpah6J4q13iP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,Salve,57AwljF0RpTwtEd5A1SzUP,47,https://p.scdn.co/mp3-preview/a5a286f8d1afb5e5eea5755d7ced1ea943b21d80?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,La Vida Sigue Igual,4jyuKmz9LEpVe1gF7nbFNB,Tijuana in blue,35LHJRKlkpHkACfkoyqqT4,A Bocajarro + Sopla Sopla,2QoZ36rmjP1gyQIQ2aAB9r,33,https://p.scdn.co/mp3-preview/d65a68df1a6446d016695ea255e0deb985bcc1a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Somos Revolución,4alCPx4T5VHqAsihn76W4I,ALADEMOSKA,1ekttoTgjC4AhaG3r4eaMT,Revolución,4AQDaOXwk4lKN9DwTVbhjf,39,https://p.scdn.co/mp3-preview/a9d4d269e307098f5b826b6519d3a513241ee5f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Amor Frenopatico,6YjmFAhmoUJydfvpDj0PMT,Comando 9mm (F),06U7a1JQBlxvAuZAa9H4fG,Camino hacia la ruina,7z6A7KRuF72XBB8VcvUbIh,26,https://p.scdn.co/mp3-preview/caa9d00efc79d42c7fd26a9da26fbcf493d3eb1d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Jimmy Jazz,5JU3KxDurO5jxRS6oXDKFN,Kortatu,2bSQxEqvD23Y4W6ztHaann,Aizkolari,13sAtrIn7lO0xiO4G3dyR6,36,https://p.scdn.co/mp3-preview/60dc0940e388a25848a6f262768aa9311d9a47d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,"Ni Descanso, Ni Paz!",0b5PjlQGnxkjNThxUmCSGP,La Polla Records,3vHlZN6pTa2zOl2eVxiEdJ,"Ni Descanso, Ni Paz!",0jndA7RswPbdGEYEe4Tq3Z,42,https://p.scdn.co/mp3-preview/0b58ea22fc67bfd92fd72fd6240d5653de23f3dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Horda Roja,0qUWJ3sGqpHD0dxDf717wC,Nucleo Terco,2wsG4oMP5UI9MapWrtbzbn,Abriendo Fuego,2vgD730uukAo1NsEy6D8JP,19,https://p.scdn.co/mp3-preview/323350b8a5fd0b40f76717abe9e2ebbdfe07b057?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,El 4k Se Llevó a Mi Chica,18b2UvdOlTpR3IMru5Pfya,Lendakaris Muertos,6x6bFaWdzVQM6e7ke2ysMc,Podrán Cortar la Droga Pero No la Primavera,6YVmHQN5rdkLupIaszQxK2,41,https://p.scdn.co/mp3-preview/8c1991bf3b0069cfd378a6399fcd07cf89e71833?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Así Es la Vida,12obLt5jLRqJTWwbV7HywQ,Los De Marras,0E1P5uNgbD11POIDxFROHh,Vulnerable,7hL5n61zepkS2WQ1MCTpCI,46,https://p.scdn.co/mp3-preview/8404fbde27874024cd1b36dfb091e1d8b4e5ae31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Mil Historias,7mElnVvJoNpmTDSPvOJMUB,Kaos Etíliko,5y9aHzw345UfAGA1Db5BPy,Porsupuestón,4fhyGd8qDAkvZXmDvLYixi,39,https://p.scdn.co/mp3-preview/71a46bb14872d3b448708395b3ae3fcbe3e39968?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Adios Reina Mia,52hHIF5rYiUi0AtPyvMrY2,Eskorbuto,3AXQ8iTveAp1uA5NlbK8qb,Demasiados Enemigos,06jJMaPtFcbDkuzuIeKywk,44,https://p.scdn.co/mp3-preview/250aa8960f3e9e21aaa64846053b5c819441c053?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Cenizas del Capitalismo,2NenHGIv1vW5Q1ncqVp5zZ,No Konforme,26yvJIyoBOe4vGLB2tlwub,Cenizas del Capitalismo,4X7lJZHbRFUQc5yQSL08Ii,0,not available
24,Enemigo Publico,2U79EanNfw7bRqC68Jnfgf,Cicatriz,7f3sBMcnvGfOkHiKmeXtIz,Inadaptados,27KSLddcDyno8Wm3kYweQV,36,https://p.scdn.co/mp3-preview/8f837249b0cc2aef3ea9ce686fae1df75c14e52e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Daños Colaterales,0m1jWuJipbtwtprrYqq0uR,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Cuando Las Bocas Comen Silencio,2XnYnlNmP1gxV7J1MqCuCK,0,not available
26,Ante la Muerte,38QGYGRhXCPecNslTifxfV,Kaos Urbano,0u5LMlVeRfZZuh2Nxowii4,Ante la Muerte,7vDR2G7v27naFB98tQJqMZ,37,https://p.scdn.co/mp3-preview/a29836f63a808f89b1ca72e0265e31342bf5cf5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Va por Ti,4mFFQIaQg4H1rwfD0d3VnS,Puagh,4hrhDZERJGecaY3Y9nnmRW,El Ritmo de las Ideas,5x18Yd0CopiDQSVbSVo5No,23,https://p.scdn.co/mp3-preview/cb49417480c1c43b4fbd5a0190b3ad7892f9d0cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Salgo a la Calle,3KOep0HeA6PxeoLT4I4Ixx,Elektroduendes,7oboTHVarRYloS0WJxGSJW,Salgo a la Calle,3wdwyHXHc5NKboxzLsE6pS,40,https://p.scdn.co/mp3-preview/1f21c975fb2ac18883a62ef74fbe794b5d2f68c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Por ti,7tbmPVO7BOZ3uBTkQ4lwFV,Segismundo Toxicómano,0sKBEhvr6hz7Wpptw0fY8U,Escapa!,6MQUQgI1RKD4wHu2Qc16iU,47,https://p.scdn.co/mp3-preview/83f000fe50e626f1c5641b9c1b3d938d5be4427d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,A Ras del Suelo,7MofeVnACbDDBOrp0n1O2M,Envidia Kotxina,0ecMaXEm4sV6sndUYsyvmU,Kontratiempos,4czEvvHdq60prvX7rBwCh3,38,https://p.scdn.co/mp3-preview/bb1615aecfaab3340295ed27a69cbdaaa2d68159?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Y sigo en pie,1mHavFRruSCwupKzTVGoys,Skontra,3HlwB3k98CWsCN3o6nxQPi,Semeya de la Rabia,7k0IbB4wqVVTof6Z8kGG1F,33,https://p.scdn.co/mp3-preview/7e0ced00d15c0ac476d86732d94afd7beba493d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Otra Vez en Tus Manos,2msak8eaVqJPlkqiJ5P16O,Gérmenes,50Ymm1nPtn2tvRtEUZg5Me,Mar Etílico,1vfMGo3fTJxQj40g6fIf60,33,https://p.scdn.co/mp3-preview/cd9247711100d4ed2e8e5abbfef980d8de983850?cid=fa83a2fec7c440b7a2795d600d6b2c7e
