Te Quiero,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,222510,spotify_espa%C3%B1a
1,No Hay Nadie Más,3IPJg1sdqLj12kFIndaonN,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,MANTRA,1l1zcI8iwJg4WCb7jxHtbN,78,not available
2,Mi Persona Favorita,3eB9M6owEHwk4nNrZRNUwd,Alejandro Sanz,5sUrlPAHlS9NEirDB8SEbF,Mi Persona Favorita,784Afuukiutm70xPgCQR0w,75,not available
3,Te Esperé,6SFtimpTgM5wdYqTalvtFy,Jesse & Joy,1mX1TWKpNxDSAH16LgDfiR,Te Esperé,5LVkP26phbUQCnQ4wUKKf7,75,https://p.scdn.co/mp3-preview/a00362b43bcd475b14d6e207f7dfd38fa7b5cfc8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Culpables,3RD0PGolM0mETGHaprwgMn,Manuel Turizo,0tmwSHipWxN12fsoLcFU3B,Culpables,0ojcVRT3LvPrnuTP2VUaSA,74,https://p.scdn.co/mp3-preview/3b3733204cd743d28dfc8b6536734b4c892c90d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,La Mujer Perfecta,0mAGeks6ns4FZWBPkjD9HR,KURT,4kcnsS1aAB40FMcLD01gmI,La Mujer Perfecta,4Sj72xRJkdtcQ79INIEvvX,74,not available
6,Como Mirarte,6ytgCKFGvKrmVj1X7s8idZ,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Extended Play Yatra,684Oha4XLJKYD3OztiXma5,62,not available
7,Me Muero,2cApvgmuR7GHuiPgQSr5dr,Carlos Rivera,39yVoqm6sYFvvqF1RciUVf,Me Muero,3c3KfqhYojpLayFa8RneQR,8,not available
8,Tu refugio,35IS0HfbFDk4QTF7Nnkoxl,Pablo Alborán,5M9Bb4adKAgrOFOhc05Y50,Prometo,07c88Esc2q8pUl0tXADs3D,63,https://p.scdn.co/mp3-preview/8d171951a60babc870d67f3bc1039c6087c01493?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,La Correcta,1ISamB2lPDAeKb4Js2hLgq,Nabález,64J3ISAKbfg1CuP4CVCMlF,La Correcta,0lVFRNJhdAgvHzkGkdX2CD,73,not available
10,Para Siempre,2hut8CKkX5obUCgsbp3RHb,Kany Garcia,69UypehHabb68utzfjAVlV,Para Siempre,0ob1RrPxFuyGMeKqxdf7mW,6,not available
11,Contigo Siempre,17LxkTp8UNbPcYrDrI6UOq,Alejandro Fernandez,6sq1yF0OZEWA4xoXVKW1L9,Contigo Siempre,1DuXr4GCQLue0kTKvI6Txa,74,not available
12,Sería Más Fácil,0cftlm9IYJi4KoN1PDvR2V,Carlos Rivera,39yVoqm6sYFvvqF1RciUVf,Guerra (+ Sessions Recorded at Abbey Road),0sGgHg4QRIBACnetu6z45Z,70,https://p.scdn.co/mp3-preview/2dc83b695cec991e5cee74129013154a99273e8d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
