Flamenco Pop,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Para Mí Se Queda,3XbpiNhIGDzld9WfixxKeD,Maka,4lHAjTCvXGu8QIM3cEe93m,Para Mí Se Queda,2Docn6SPQDAZhB2o1VfRfi,56,https://p.scdn.co/mp3-preview/00a70ff033f35c07cfc8b3218efb2b849588f23b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Si Te Vas,5NM1Az34oYKtyAP2KsPk7G,El Suso,1s149CdM1vAkJDvlRrJHKr,Si Te Vas,1qzxpSAxlV0xKKBuuC6Y9E,53,https://p.scdn.co/mp3-preview/5dc7d00c9984193c3c53b94ea43fb92ee441b05d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Lamentando el Camino,0J5REbHQfa0FiiqjOQdW3o,Manuel González (Ex Rebujito),2YHsC8LIvNhp0oNcchhBu5,Lamentando el Camino,3TzgpI1rsqanTLyGw1JxyC,49,https://p.scdn.co/mp3-preview/229478c12119ad671f1b996f7ed0f7186665bb52?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Vístete de mí,0CsHTzucDOKDvNBaMihyQL,Demarco Flamenco,4hFZibFsoIxictRvkZDjIc,Le sonrío al agua,0U8OP5OJdbi2usg7fC4vIY,55,https://p.scdn.co/mp3-preview/85de5fbf6946375803b8956a125a76f11a0155ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Acércate Lento,6jSluujDsoMwnoIy0A1apd,Los Rebujitos,6v8MdMs2ByHLXUdWonWFPK,Acércate Lento,7JQmJ1prBjIHP7rxaWraa5,56,https://p.scdn.co/mp3-preview/0de1c163fbf8cc8be5d77498e9a1783394333790?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Que Caprichoso Es El Amor,5r5mfj44csIOYeWEGlRlqS,Decai,2HFVE11OC3J6jXcmrXkWHV,Que Caprichoso Es El Amor,64CIutKgUzNd828nbEvGZF,56,https://p.scdn.co/mp3-preview/2f6074012ae6c0e40b5932ef8786b0ce675a8cc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,El Barrio de la Alegría,6XR2xJZRKUHqZss6nn6WOV,Barroso,3Uflioj3E0OPRjWbW2QZMb,El Barrio de la Alegría,0FvHCflXveVNxfqXw8v4Cw,53,https://p.scdn.co/mp3-preview/c6044ee2218f5c4a89a5efb828e248df3efea251?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,La isla del amor (feat. Maki),0Gw9QC3RqHmTdGqHIWLHb6,Demarco Flamenco,4hFZibFsoIxictRvkZDjIc,Uno,0RoFYPdyzE9rZkJfhB9ixY,65,https://p.scdn.co/mp3-preview/30f3d01cca1aff77694b705eeff9fa71792f3ac9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,La Gitana,0Y2p6Epg3TvDBrdmpQS4Z5,India Martinez,6FOpWOxsjQxKEbLiJpU1xV,La Gitana,3x1yN9GHNsEs8nImmfZAve,63,https://p.scdn.co/mp3-preview/8379b5c92c5807037f29b525c8e4f6dafc0fa138?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Agüita Fresca,2sfjdkWESv4yG3tUk2NTVe,Maita Vende Ca,6ZX5IdwxgnVLJ8Nr456Kqw,Agüita Fresca,5Ug0eix3j6dKKxHvHvwmSo,50,https://p.scdn.co/mp3-preview/d7fe112bae232f6448a0d6296e7f1a59fe617315?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,El Embrujo,6GM7WCa0accugI9b2JTeix,Morat,5C4PDR4LnhZTbVnKWXuDKD,El Embrujo,0LcKYsPViudGlqmWEoIvH7,59,not available
33,Fuego,6ye25NazQfUWrCTdCH3cXX,Estopa,5ZqnEfVdEGmoPxtELhN7ai,Fuego,7gwr296CMKt0FETD6fr01y,68,https://p.scdn.co/mp3-preview/76452347e360ad31e86862000c6601c01fc5a227?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Tu Foto,7CeGcmRrNx1StZA0OfvuHx,Alejandro Mora,30xh3JPspkmRg370Czo0s2,Tu Foto,412fYoEyTcd6keKuMkWx8m,48,https://p.scdn.co/mp3-preview/b7a9ba743f0cb7989356e4aa7d3e5e776854f814?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,El aire de la calle,2PaETSKl3w3IdtLIbDnQXJ,Los Delinquentes,38LYyZ9hZEEQeEfeYoydqd,El Sentimiento Garrapatero Que Nos Traen Las Flores,2GmC3j6Wzb2PETn8vhyeJt,62,https://p.scdn.co/mp3-preview/604779096b8987ba3202a256639a9cde8d1c1201?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Besos de Caramelo,3YiBpExjyney9wV1IwsGx7,Aurora Losada,4rNldMMzz9xv2ZXFB4YAKI,Besos de Caramelo,6FblfVsqd1b1p6iUtE0QIF,35,https://p.scdn.co/mp3-preview/4d0e767e89ee1f5b574e69937d6a162003895ff3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Ángel,1BXOIfcyHWWmisYPs5WrY2,India Martinez,6FOpWOxsjQxKEbLiJpU1xV,Te Cuento un Secreto,7AzLXqzWrfl65hkdMQbVvD,53,https://p.scdn.co/mp3-preview/2448dd4da5e33002b631d0d822315ed606b9680e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,La reina del local (feat. Manuel Delgado),11jKfAyVtsZlo1vtlrui8G,Sergio Contreras,5QYdUMRHeBxlpJioqpIL0k,La reina del local (feat. Manuel Delgado),3VVpWjW6wKv83zkAYP9mEJ,64,https://p.scdn.co/mp3-preview/76847440b1fd04c5f0513d04ef01c7110effc0c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,ERES,2iQP1GNgEqMHD2qVB8rHyK,Javi Medina,6dwFgF51JkLBz93ocNJ0Ol,Solo,6FQ2HNdqM63Y1Y0JTw7ADZ,33,https://p.scdn.co/mp3-preview/fa5e3bdbe5757ecfffaec5284ca1655dfa948750?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Para Que Bailes Conmigo - Versión Salsa,29bLcns9qXg8rNu55XvC08,Andy & Lucas,4dqi10p8S91S2ChvcWsi1L,Para Que Bailes Conmigo (Versión Salsa),5DnwXlkVEKbBuDTwQen8No,53,https://p.scdn.co/mp3-preview/2dee33d79938b1b862ed7d817a2bf1b656529562?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Encontrado el amor,5yfonuobZUmrJsFkIzcJDL,Sotero,0b2mZbxrVKrI4XtEssOspN,Paciencia,3PMHPLVZDszPUrjRsnNVie,47,https://p.scdn.co/mp3-preview/adb2c9616e7800d8b663f17ef6294e69d4c53f7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Calle Desengaño,4ZS3nphW3mV7ORWebt2Jn5,Cosa de Dos Flamenco,1KICq5363WQiH8uNyyvMOc,Calle Desengaño,42CxVJ3jl7YG1VzsyRPXCP,47,https://p.scdn.co/mp3-preview/f114c892e830548d86fb85991781cdacdf9d25d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Las Costuras del Alma,4msXqV8u9ip8yro0zOhIOg,El Barrio,0fM3rWsshliRFUmJlBP6QZ,Las Costuras del Alma,73YiKjrZClZPKBGwglzj8u,7,not available
44,El Último Renglón,3diwejlltIqrRJ6OGxPSKB,Estopa,5ZqnEfVdEGmoPxtELhN7ai,El Último Renglón,2P7NYxwhcu1o8wAMPiUUvy,59,https://p.scdn.co/mp3-preview/f1ccd97b2485d50f9b4ebdf437d78ff0c27cbea9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Pa ti pa mí na má,7EL9iZBxLgSHgIQPWuLJLd,Demarco Flamenco,4hFZibFsoIxictRvkZDjIc,Pa ti pa mí na má,1tIR1224GYKViJL0tvIooE,62,https://p.scdn.co/mp3-preview/1ba02aeb4d2f7eb3060028c93794b0545f87f50f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Aquí Me Tienes,2Sj5xyoCv1EEjh1jdYJIZo,El Arrebato,2dJyJptNE5bMmbN6z08iNJ,Abrazos,1xoWRoZzznelR1Rx4GVGOf,50,not available
47,Noches de Bohemia,78GUxsLIyH3ZohwhNCTKES,Navajita Platea,14QPRrwRDAiUhdGC6D3VpE,Noches de Bohemia,0VP1PbDrwit3AoEf9ubbwR,54,https://p.scdn.co/mp3-preview/05cee4ef5ca4c83e2a9b2908aa121bfea5844a48?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Las Candelas de San Juan,1PI5hrC59nW3kNcr9s0PHH,Yonse,4tzIfis4yYTd4buH7fw4Ix,Las Candelas de San Juan,1e0Wcd8CwBEhwsNuqC8CtN,34,https://p.scdn.co/mp3-preview/9bae1d1e57c81cd62360bc4878755f2df360511c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Durmiendo En Tu Ombligo (feat. Vanesa Martín),1Wyii1QAYSl2Qo62yAIDZE,El Arrebato,2dJyJptNE5bMmbN6z08iNJ,Durmiendo En Tu Ombligo (feat. Vanesa Martín),2tcKAXl7ZhZBVCFWJZaFDR,56,https://p.scdn.co/mp3-preview/1c12767491d74d116dfb02c55cdc4d471754dbed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Conmigo,0ie2JDYXalB1GEXRm5JsHa,India Martinez,6FOpWOxsjQxKEbLiJpU1xV,Conmigo,2iBZzs9rGSJOKF751jfrCn,57,https://p.scdn.co/mp3-preview/6468005fd15f4f95f1801952a83b0a8102e87ee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Miedo,3vLY7pvk7MSteQ3lamZ0ZJ,Rafael Machuca,7zLCL5yKtqRyp7J5v6TGAT,Miedo,5GpsKrMuOTK2kIKPpPXYxv,39,https://p.scdn.co/mp3-preview/843848b6a2e7e0ff95325ca22d85a1192f7730a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,La Niña,5I9sBGOQFhulmWCNXNbuCn,María Peláe,1b6ctmaHGrw89ZUmm0nGXq,La Niña,61Rbmua6jsOBQoMxc8jrbp,45,https://p.scdn.co/mp3-preview/51ed0c857bec155e00e47d5d6a1f89f5d42b9247?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Vive La Vida,2VF5hcIAS9MuXeAIvCrQ3l,La Dstylería,3QeFVejEMHhDmFthqr5qVd,Vive La Vida,3FLv4y80p06cyuz1T0AfyP,31,https://p.scdn.co/mp3-preview/193f5a0acc0d0f173a1110f73c8991b765a5fc62?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Abogada Del Amor - Versión Latina,3lhEgAcY9xHM6A3ZtRnCBF,MARÍA TOLEDO,6AjARGKCWbf4oyoRH9YcFI,Abogada Del Amor (Versión Latina),34bivFh24AnDCSg6IhEIis,39,not available
55,Resiste Bien,26vvVgRYEaWhTE91VbhdF4,Malefino,1A1UEOuMlKlMjsYgULstTl,Resiste Bien,1AEMBC8APOYqJvGMSYovyO,37,https://p.scdn.co/mp3-preview/e27fa869c71c142de95be86d1dec0e899f1776da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
