Cena con Amigos,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,302916,spotify_espa%C3%B1a
1,Carmesí,3fk5fBFB27GbWGATdBpOgr,Vicente Garcia,2Otnykd696YidQYfEGVmNq,A la Mar,5afHhk03AfHR76hfjRNobE,65,https://p.scdn.co/mp3-preview/9e22cd523b79347ec191bb29d0611d0601130ae8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Bailar Contigo,29iNhnoFkQBvOlUKn2io14,Monsieur Periné,36KsCCwgI0Dep97yVJWmkK,Bailar Contigo,5zi55pxYWY1hsKLZk4XWAf,64,https://p.scdn.co/mp3-preview/ada9c8e2d591d3c702f213a6093c19645bc40cc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Buongiorno Principessa,39NkxRRpmHhXxO29DhkCCt,Dedicato A Piovani,4keC8ZLqNeBe49rj8S4brj,La Vita E Bella,7359xUgv9EhNYG5mpr3EYD,43,https://p.scdn.co/mp3-preview/a388cd77716a075539faa5e3bbb26f54f4fbd948?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Águas De Março,1CFpxBiLtcnBVIbnmAJCBk,Antônio Carlos Jobim,3pO5VjZ4wOHCMBXOvbMISG,Antonio Carlos Jobim: Finest Hour,2iBlbJFXs5U3dY8G9UGyTB,10,not available
5,Desafinado,2GW4RDBkjLWUDjumnHB3K1,João Gilberto,77ZUbcdoU5KCPHNUl8bgQy,Ultimate Guitar Classics 1951-1961,0d03HJwweHFZRzvqzCrito,51,https://p.scdn.co/mp3-preview/356613f78abbb90866e2b4f8d89d833952eb51b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Vestida De Nit,0lMd8MhLRcbKwSjYT26LEV,Sílvia Pérez Cruz,7qJXYbBDibZ1Zixi89aUnw,Vestida De Nit,3N1e8LMjed69YN7GNrGfWA,44,not available
7,Llorona (feat. Fuel Fandango) - En Estudio Uno,1T6597g3jmxLIFdvdJlSMA,DePedro,3wpNKcE7grYUIRKCMpmBOb,Todo va a salir bien,0u5zPPtqW4wQq8s3tn347K,53,https://p.scdn.co/mp3-preview/d1f92da5a2d2a51df72c0d1451320cb97b74d9c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Amapola,1JW1QpeuA7UAjtzSQxzgxk,Gaby Moreno,0K9pSmFx0kWESA9jqx8aCW,Still The Unkown,7HRTTbRSiCmqcUYeiJtPnJ,41,https://p.scdn.co/mp3-preview/8e6956489213322b3f8ccb21c8352614942202ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Lágrimas Negras,4cYr28vZOK1cSXiaefSXkO,Bebo Valdés,3qeECzqe5c7ssusMaDdwbj,Lágrimas Negras,4VOwUaLAK3Ea6tWZzos79U,53,https://p.scdn.co/mp3-preview/9589ed58b42ac5654324f10fd3ac0c690ca2a8b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
