Clásicos del Verano,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,304646,spotify_espa%C3%B1a
1,Colgando en tus manos (con Marta Sánchez),0T5MzYymxrAHLn5DngipCV,Carlos Baute,3smfreCkyJt7bShaTYpG77,Colgando en tus manos (con Marta Sanchez),5Qeb2HjOkQydWNpN5fB9uT,62,https://p.scdn.co/mp3-preview/786f5a3a0d27a404b6fc0b116aa2fe669d08b7f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Madre Tierra (Oye),2wlptOJ1g5fvLdu6ruKCKU,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,En Todo Estaré (Deluxe Edition),0P0d0y1LQ5VGrp58TQ0oM2,67,https://p.scdn.co/mp3-preview/a3f9fdb1ef24293cd91e298b7f088627a5dc670e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ella (Tu Piel Morena),2DAeRk6J5C1Zu8iy32sUPf,Viceversa,401RKKAmr5xOK3FpoXud68,Lo Mejor De Viceversa,6mbQGg061o7PBBnb68rvZD,44,not available
4,Y Yo Sigo Aqui,2Ma2f8jV8VKMJoAcnCvZ8h,Paulina Rubio,1d6dwipPrsFSJVmFTTdFSS,Paulina,64M45unRUhuzlOYth6w5HB,57,not available
5,La Bilirrubina - En Vivo Estadio Olímpico De República Dominicana/2012,1GT0Q2ZTeKtIBueYKr4vhr,Juan Luis Guerra 4.40,3nlpTZci9O5W8RsNoNH559,Asondeguerra Tour (En Vivo Estadio Olímpico De República Dominicana/2012),43lcnoRo7YBAYHEztiDRrG,66,not available
6,Me Niego (feat. Ozuna & Wisin),6jA8JUuPCGYjFcgw0AoM5T,Reik,0vR2qb8m9WHeZ5ByCbimq2,Me Niego (feat. Ozuna & Wisin),1QsrAiIvA7njuEMwP9poqt,35,not available
7,Vivir Mi Vida,6erLquseaSdLBL2DSYLweL,Marc Anthony,4wLXwxDeWQ8mtUIRPxGiD6,Verano Hits,3SSMZMmE49zUBPG3M8mRgr,41,https://p.scdn.co/mp3-preview/8dd6f4f05c677b4b7a7dd41b4c1e7a5735aa36de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Quiero tener tu presencia,3f2k0XTc2ZXG17jEMDu8pp,Seguridad Social,5UbMQUFrcJdDstPCza7y0B,Furia Latina,44qXGSYAvbnwci400nEDpe,63,https://p.scdn.co/mp3-preview/36253d886fc8cce0880315787c5e1dc84833fe1b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Ni Una Sola Palabra,52IreIJblsuK0SAJDIIh6v,Paulina Rubio,1d6dwipPrsFSJVmFTTdFSS,Ananda,6trlVwGnJ8O00ZpQUvCgAw,4,not available
10,Ya No Quiero Ná,2A2Q4CYBcVvBF2OqgJ3OWX,Lola Indigo,3bvfu2KAve4lPHrhEFDZna,Ya No Quiero Ná,0qvWm5gyv7jLuRwj4Ioaob,65,not available
11,Me Pongo Colorada,4AA1JmBpy3Bx5ZLAnJxOto,Papa Levante,4gb13Uvpvz0EFEHtmYdgDf,Tomalacate,0tp5aBBT7GRafCQt0Nvgi2,34,not available
12,Sigue al Lider (Follow the Leader),11NDrJrpHK92KwFNfVSIvn,Los Morenos,2SrP1bTX9nzMieef8S7Sy7,Bailar Latino,2W82Shqd93uDIUCFGtxS8e,36,not available
13,La flaca,1MrZ8hGkUWMmT816wPaMgE,Jarabe De Palo,5B6H1Dq77AV1LZWrbNsuH5,La Flaca - Edición 10º Aniversario,52SGUmWz4rcauYwTKIJzBp,69,https://p.scdn.co/mp3-preview/de8001a943205b7ac3ebc910633a5e67421e2c41?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Purpurina,5HFvuMLMgS75OaY3UKzqqs,Alberto gambino,2KaaIknCVW5SstugreNkha,Purpurina,72qI1N3VpmiHjDdBRuZz9B,59,https://p.scdn.co/mp3-preview/1f7b1bef7efec8cb1723d53469afa98a147823b9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Sólo Se Vive una Vez,5dg7OfEwTVvUZfqt24ObwI,Azucar Moreno,2WrKqjMRKr5MitNYaNgvl3,Mucho Azucar (Grandes Exitos),7xcIu7L8tCgaKYWndaS0uV,56,https://p.scdn.co/mp3-preview/6069dc7172199e9b1c713e0204cdc711f9d86a58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Déjala Que Baile,2KK9N6iBAisA0booTu3bGd,Melendi,1EXjXQpDx2pROygh8zvHs4,Ahora,2cx8aUPxZ0GvVJkJdNXeOM,69,https://p.scdn.co/mp3-preview/330975ffaa921235ab1a9fca0f57f1b2b87db2ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Salomé,4l8i9h5PNoJte95Es3HftJ,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,MLB Caliente,32FJnbptijIkaBp6OlzbUU,53,https://p.scdn.co/mp3-preview/5bda6f73e7134cd4e50a41357971e48c4dc194c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Opa Yo Viaze Un Corra,29xwXTI483gmpvr6pKSag0,El Koala,5Pd2btNBQXL9iqyPRZ0eSR,Rock Rustico De Lomo Ancho,3FAmLvR6jofMSfYuq3sqDn,38,https://p.scdn.co/mp3-preview/d24b9099e79b00ee87e832f633105ad027f5c5ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Aqui No Hay Playa,7Ja3xxyLa5mdvAOlzBPXd2,The Refrescos,2dN0tlioLsFZ6319yNUNlX,Universal.es The Refrescos,16OaqDgZrf0mufBB0NyByn,4,not available
20,TELÉFONO,5h8VHxOBK1VWWj46T8fSly,Aitana,7eLcDZDYHXZCebtQmVFL25,TELÉFONO,3hgpPBjZ7yR1yHyrVEngZL,66,not available
21,Ni La Hora,1he4G9w0zh5GokInpOSINW,Ana Guerra,3MRynBsyLGzv3IQ9Fip6hO,Ni La Hora,4ICMTx81FzdZHeNdLmHud3,62,not available
22,Torero,709CndJJB3GTUhQD0LLFse,Chayanne,1JbemQ1fPt2YmSLjAFhPBv,Grandes Exitos,1HR0VmKYncW4JyMwRCSi9N,62,https://p.scdn.co/mp3-preview/129e05b04a0bb4a56d16f152a521bd3cf10f4fe2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,La Camisa Negra,5HW3joBaGgCn9vdraZIKpA,Juanes,0UWZUmn7sybxMCqrw9tGa7,Mi Sangre,4pQI0yyz9Tac8n3e1QpLE4,12,not available
24,Sarandonga,2zNDRGoRkNEkMhO5fcGTMv,Lolita,1Jl0XzEt7csnco2FUybCrK,Lola Lolita Lola,4NLreQcjpcQESB7yvGU8RY,47,https://p.scdn.co/mp3-preview/020d66b605327a8c566f8efb53429faa33551df7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Ya No Tiene Novio,7uQmJ1jgNzBpATSoWKSPFu,Sebastian Yatra,07YUOmWljBTXwIseAUd9TW,Ya No Tiene Novio,7yFrNYBdjgAeUKflMGtU8l,79,not available
26,Mayonesa,5Qjx4obghhfhsh6DiUwpNM,Chocolate,4e3lv5qRgFpdILdEOHchbn,2000 Grandes Exitos,4dqiQqmKsYhgmrocMXhogw,60,https://p.scdn.co/mp3-preview/c6e92b5b47c848a24e7c75089cd746ef252916ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,La Barbacoa,61fbKInmWBIJQyUexcogQC,Georgie Dann,3mvKi0X95xuOuFItofQEHY,Macumba y Otros Tremendos Exitos,5omrf9RhgyGsSSEpgMop1o,36,https://p.scdn.co/mp3-preview/c8550d21a6b51aaa059ae3f7214b1fe6243a7ed0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,La Mordidita,00i0O74dXdaKKdCrqHnfXm,Ricky Martin,7slfeZO9LsJbWgpkIoXBUJ,A Quien Quiera Escuchar (Deluxe Edition),375cUd86z58eqXN2yW3Do9,70,https://p.scdn.co/mp3-preview/4a0f5888efe4c5a0399e326dfaf2198310d0154d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,A quién le importa,7Eb5AYiiGWItBNddlmxvnh,Alaska Y Dinarama,2mDlFcPtgXtLF1gEshEInh,No Es Pecado -Remasters,4WVr9fj0yFPIUbyb9tjOQh,62,https://p.scdn.co/mp3-preview/a649665fd98a04f6cb56de18b2325e05ab2be645?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Vamos Pa la Playa,2XdgVioNvENCspUhMzvyjH,FlowZeta,6Ocjln6CF4WJ5z1GTmGzUH,Vamos Pa la Playa,7cx81P0OPmK2MElGwJ9ggg,7,not available
31,Una Lagrima,0PoUyBBEghT7ufac3soDiB,Peret,2bhNZ8x8k2VfVhNRKESlcj,Orígenes,4moi9DmSUydEzm7N8VbbeT,51,https://p.scdn.co/mp3-preview/19ebda816293b43999b678aaa4814974bc3b0cfe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Bella - Remix,0SaYeGhSXN0dDWstyNTQ56,Wolfine,2OnKRchqP7tT0FzTvWIFI7,Bella (Remix),1UsmrwFQhk483czxWluhS6,69,https://p.scdn.co/mp3-preview/e5ba7fc4af7518b4bbbf689147efe84633dfb63a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,All My Loving,2x3MxkdvKiWvLor7yNeLWB,Los Manolos,4WsE6jJORlwp3OcAWkCUrj,Pasión Condal,2An3BPZCydl71EY6jffCuy,53,https://p.scdn.co/mp3-preview/a6cba32084e087ba1aaa0cd18522916a2f2df3f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Salsa Con Reggaetón,7KnfMJhMvciKC9TKEWVXi8,K-Narias,6bwz9tsKnEgaWbwGobFWQR,Hombres Con Pañales,0hS0znsJelROTBJXG6l8sT,47,https://p.scdn.co/mp3-preview/3f9d26583df666d59358e7265fb775ec92470900?cid=fa83a2fec7c440b7a2795d600d6b2c7e
