Iconos del Rock Argentino,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,849068,spotify_espa%C3%B1a
1,Seguir Viviendo Sin Tu Amor,2qBirMakpTdz9ymxrZEyzg,Luis Alberto Spinetta,1MuQ2m2tg7naeRGAOxYZer,Peluson Of Milk,0sEqp7Del2dp8HmXE8Geqv,68,not available
2,Spaghetti del Rock,6rg1MBZqggsQ5olFGTw0rr,Divididos,6ZIgPKHzpcswB8zh7sRIhx,"Narigón del Siglo, Yo Te Dejo Perfumado en la Esquina para Siempre",4GkZExYLfegidZaO1BgpvU,67,https://p.scdn.co/mp3-preview/67e2c6e93a4402cdb11a88df45c1bc59c8a95eb5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Loco (Tu Forma De Ser),3ydweVPwq9PCEVJ8WwqT6u,Los Auténticos Decadentes,3HrbmsYpKjWH1lzhad7alj,El Milagro Argentino,2pqscM7JlS6XR6fk7Y8tVZ,71,https://p.scdn.co/mp3-preview/367a77d33470fffe30c71bb72b1a38e833a2830d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Bicho de Ciudad,1L9ybuuZdLY3biLEgfN4zB,Los Piojos,0SnyKkoyBaB2fG8IJH4xmU,Civilización,2UWwSvdLSntNblYm32f6aN,59,https://p.scdn.co/mp3-preview/e26f0c81f66cc1f77999e31f994e810e0c729106?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Un Ángel para Tu Soledad,7fbuABzGfagLWkI54bxL6c,Patricio Rey y sus Redonditos de Ricota,6byQKddO1b34lXC2ZEjehQ,Lobo Suelto,6JrFFJuOdqxp1lOMTuOrlF,64,https://p.scdn.co/mp3-preview/8c4097b867eb0a69580fc4469beedb35557ea4cf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Será,60IzIxSuVAtU71yCmHjxHH,Las Pelotas,1Qv4E1VgZOGnOYd99Kp5Bs,Esperando el Milagro,7nXlmH0p6PfgKTsxy3DzCT,61,https://p.scdn.co/mp3-preview/02ea544929e1c994122026b9fc5b09622a0ae7d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Juntos a la Par,1Ig4pCPanhzXl7C86MmBUc,Pappo,1db5TWniHR7iqwXer7AiQ2,Buscando un Amor,4AMgSDaOROvCGSNSz3rfYw,67,https://p.scdn.co/mp3-preview/9028911486e2f049edbb98c48a3fff04206212c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,11 Y 6,2PkTjm1QAJCZbJ9MqC4RqA,Fito Paez,1bZNv4q3OxYq7mmnLha7Tu,Giros,2bUpIi2WqqXxrLjwxqmURm,67,not available
9,Tan Solo,6vNaGz1KH44XJ9zRyCE81I,Los Piojos,0SnyKkoyBaB2fG8IJH4xmU,Chac Tu Chac,40WRsRybH7Qnm4WAC3wmBJ,66,https://p.scdn.co/mp3-preview/a530c9276ea1aa4ffb1ee28e0297ea556632f479?cid=fa83a2fec7c440b7a2795d600d6b2c7e
