All Night Dance Party,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Freak - Joe Stone 2K18 Edit,2xbRwcylUnX881qaqf5ZZJ,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Freak (Joe Stone 2K18 Edit),2gDbE9WrayhjpbI1gEhe0t,71,https://p.scdn.co/mp3-preview/0a425a911679877b6d2a7bb5a4ae764cbb59239e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Repeat After Me (feat. Melissa Steel),3t2Cyq3GntNxnffzRRlCLp,Nathan Dawe,2gduEC76ry33RVurAvT05p,Repeat After Me (feat. Melissa Steel),6xP8h3MXi0cfTo2qx3ut0g,58,https://p.scdn.co/mp3-preview/d96ac94550c45898b7e1d6bd5129db417053918b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Down By The River,54CEeDq1YRLtPOvVsNbxbF,Alphalove,4G59kHVfufDsMkwVr5pb2R,Down By The River,4XniWmWZjX1LvgnNo5f17a,45,not available
25,Dominos,6hS7DkkmubOhItH22y2QLY,Chasing Abbey,6toMXnM9tcozz7OmgxWtZg,Dominos,5lhHlbJs2GZ9iWkDSTwAh3,48,https://p.scdn.co/mp3-preview/629505a794cc9412ea9a7cf97f691486bb290780?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Amnesia (feat. James Newman),06oqVX9orUy5UwApYNjmMT,Jacob Plant,2PJ1vRlkfKUxNzkNqYlalv,Amnesia (feat. James Newman),04ZCxYDIVM33FlZ3P8JiCR,45,https://p.scdn.co/mp3-preview/f3d2ae9cc008d66d4a01deb6953956422560fde7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,All Night,20gJD9mjmNzzN5XJDkvmx9,Example,6Vh6UDWfu9PUSXSzAaB3CW,All Night,1PdaxE6A89ym486RrW5gIj,62,https://p.scdn.co/mp3-preview/b256a943e1e0d7412e75eb71d15b72bd902ff80a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Post Malone (feat. RANI) - Joe Stone Remix,43XVdVydjpHCCGMrsjc785,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Post Malone (feat. RANI) [Joe Stone Remix],45nsubB5EsRVWWqx0ED1ET,59,https://p.scdn.co/mp3-preview/3889c3377451e0a426314f5a73992559f0d9bee7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Break Up (feat. Kelsey Gill),2c0oLbC058vGMb89pAJ9EZ,MRK,7vX253va0fqx0oGl2KuW22,Break Up (feat. Kelsey Gill),4Id4enKhHcA7Wuz9kWHVxp,55,https://p.scdn.co/mp3-preview/5e6afcd5948cd8b25252cf5d5eba6e4e0f5cd2a8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Pump It Up,0GiwV6v3AgJfdu59tj719Y,Endor,6F3vLfyutkUhpM50G84eMt,Pump It Up,3D8C4a5lYbpEu5bPQmOpJj,61,https://p.scdn.co/mp3-preview/8644bc59bd6cba7995a2a24590f15913e18e5454?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Pick You Up (feat. Penny F),1ztOeR0UMNFGj6B6b1sAi4,Redondo,3T0HSMgUpuH1hXbT1JPwQF,Pick You Up (feat. Penny F),5iEdVMinksTe5aO1ZIWBpm,58,https://p.scdn.co/mp3-preview/4c098a5ceb5f76db6aef459f18dbdde07c377c67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
