Tropical House,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Rebel Yell,6gyAv8ubr2vaTRdn5bftyb,Klingande,1L9i6qZYIGQedgM9QLSyzb,Rebel Yell,5yItPEUNWtFMI1jR0272t1,49,https://p.scdn.co/mp3-preview/f6de139222b4ffa36e988d9ab45d1668171d4dfc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Oh Baby,2MmmLzAFA2XmKB4hP843gh,Seizo,5ECvdR4H6eAsFL3kmUUzdX,The Bearded Man - Beards On The Beach (Ibiza 2016),2RKn3sW8xSUVgChxnvDVl0,49,https://p.scdn.co/mp3-preview/f098021fe279eadc1743a9e0795abd76c30eda9a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Better,69uCmYNvkqnvIpyTKJXZ5P,Hot Shade,3GtCKJA4SkOxN65MWjm82R,Better,6mCaCi7tXE4Jsr9Gxn7uNt,53,https://p.scdn.co/mp3-preview/c1e5dc4d59f3e1dda6d46fc19c9831b3c8f707d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Too Good,2ZIMKOI0DT7wM3qTND0IWm,A&G,7LrPg3JeBn5t0IvaWjuW46,Too Good,4RZhgIg81LTExSLp1aCwIN,49,https://p.scdn.co/mp3-preview/cc62ccee3027633f397fa8e4acff7bd3db870b81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Show Me Love - EDX Remix / Radio Edit,4bAmAVdks2Y84VNVVLXFwN,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Show Me Love (Remixes 2),3Lyu7NctI2QfKiO6eLHjsb,64,not available
27,Breathin' (feat. Cara Hughes),4QonXqjNiT2KXPkTkZy3tD,Bortharm,1B77cthpMNt71jYcCBKjEq,Breathin' (feat. Cara Hughes),7waDDkbUH4cQiqMpawFnMS,47,https://p.scdn.co/mp3-preview/eb2a04135b786caf75fc0379bb24e14f1327c474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Start A Riot - Thundatraxx Remix,0EA7tn6U2YpoUIOjN3AP02,BANNERS,4qWnlmXWuGv2TtuxtIWlJX,Start A Riot (Remixes),2ZvYYpGmMaQn0a52UZGrOM,8,not available
29,Boy Oh Boy,59bem62WIxhdH76jIWEm6S,Möwe,4S8NmgM7oJ188sKp1waZpy,Back In The Summer,0pzV29xzjX1lcwKpooT1Is,50,https://p.scdn.co/mp3-preview/798877ac9c3ffcdc6950c195fe5c7acac4d84748?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Oxas,3Zg6kO3S4FQ0jMfTIgHzyl,GAMPER & DADONI,6HQ6vf4AloXyVNdyJhrX1J,Oxas,0u8v6tjFwtiVkbt0MwqfrN,60,https://p.scdn.co/mp3-preview/d37d796a4b00d207886decb3becd9fa809bddfb6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Wishing Well,3a4UuAErF1VMAkwqzkc1tj,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Sunrise To Sunset,3DXfe2cEsCdAjORfXw0NDK,9,not available
