New Pop Revolution,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,160658,spotify_uk_
1,Hello My Loneliness,7s1pVBcyE3WAjIKDTu4q92,Delaney Jane,3fuxStOqQv8TiytHeuGiE8,Hello My Loneliness,4Es2JrBlX5GYELe2bdoCWt,61,https://p.scdn.co/mp3-preview/885c69b3657571691c1e1ecf3708c075bf30d842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Shoulda Been,0IyOXuRbcDWpSaGmqswmvu,SIIGHTS,59wzcVw9vvQvKIEHddgF7n,Shoulda Been,6KBmAqG3AXFx2DquN22slk,42,https://p.scdn.co/mp3-preview/d17d4271cdbf40b77e55e24c43d77c95f449e4c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Hit the Back,7ww6gTkfd21QU9CD8PG39m,King Princess,6beUvFUlKliUYJdLOXNj9C,Hit the Back,6QgNrl3BSgNmnhDBAeMTpf,60,https://p.scdn.co/mp3-preview/5a9e6a2d79203e7652f664751f50bdbaa11fb708?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ooh La La,0EYjF9DjYtP5S5VkiwF2nV,Josie Dunne,2KgFtUjEtayfuximKppSAq,Ooh La La (Another Version),4AbK6Y3dXVFuJJQLxCfPnY,37,https://p.scdn.co/mp3-preview/bd1208d4a1b9a3480b3104353d129009aa428a84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Don't Let Me Down,6B9ldF8UNFJRJLfTu0mDo6,Glowe,2RZUpkLcPheIJuXLexerK0,Don't Let Me Down,51M8aQc7TIvm5iWbCTnOgS,40,https://p.scdn.co/mp3-preview/3f21d230bf93d6503e8e2951ed52cab2746ac50d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,a little bit,4EZkApjc3FjdzmF6NpfbdD,ili,4Yn7SW1ERvmPwQHPMiv8t4,a little bit,4WBdNgztHHiRXp1PwJwxKy,40,https://p.scdn.co/mp3-preview/2c0b9655f0e756d131c31f9aa299a53884c539c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,clementine,7ozvM98YyrdyOBh1lItVHc,Halsey,26VFTg2z8YR0cCuwLzESi2,clementine,4Hw4CuL2FH67FfY5mBJl8D,72,not available
8,Annie,7tEdUJ7mV0uEnUZAoQHYgv,Capulets,2El0gXW7YcZczArDQlZlYn,Act One,6TOPw6JhcgzuzPKvoE4jyE,37,https://p.scdn.co/mp3-preview/36b1684eebe8f3903d1f708df2400ed44e37cdd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,My Town,4byXfN1jpa3c0Zsf6caGUa,Emily Burns,6Gi8ZaXGx8MK79HwzXpuVZ,My Town,0L89zjByU70tf0cxK7rv20,53,not available
10,Kintsugi,2kWcW9mqoCQH9HK9o2K6rc,Gabrielle Aplin,3w6zswp5THsSKYLICUbDTZ,Kintsugi,7gzTeasa0r3UacAMdCYOpW,61,https://p.scdn.co/mp3-preview/dab07be266e445bb52f29c7822ef8455ae000df2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Missing Home,29j2Y1N3vpyvm385G4TFSS,flora cash,6GpcBKNmZDIrRzYkPJu7Wd,Missing Home,7mb7CpPeL9DJCQGAEIbkHS,63,https://p.scdn.co/mp3-preview/1644b4a1a658681d3c9b3966ab581629134f50f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Sick of Loving You,4KXvJmqIM5wYHlV349cSqh,BOI,7y73UWza7rolywdtTdYJV4,Sick of Loving You,4bOnShCUGz6JiLRLiPV8yN,52,https://p.scdn.co/mp3-preview/152aabbe6eca66f34077386e3113fab040b63728?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Adore You,3CQqY9BxLZE6HmieR7fvNM,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,"It's Your Bed Babe, It's Your Funeral",1sbCW0I7rP05Zyru3gSyiH,56,https://p.scdn.co/mp3-preview/bee9946703d334a01d9d4025733dce0c1c12d92b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Strawberry Shortcake,06rydNJ4urAHzAbY0okjhl,Melanie Martinez,63yrD80RY3RNEM2YDpUpO8,K-12,1fogpVbSs4ontYCrY7oy2H,54,https://p.scdn.co/mp3-preview/3f8dcd977552d5417375c45c9501e3256119eb3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Feelings,0y675KDleCZEudjoeL1sQQ,Lauv,5JZ7CnR6gTvEMKX4g70Amv,Feelings,1MFxXAGWNIuz0X1hS9VRiS,83,https://p.scdn.co/mp3-preview/542f5d521155b6839d135e41e08d232982cfe112?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Bad,0RFRYdnudYzYGsnLaVpzd0,Blithe,604wNNLUmrAmNOSEU8GfK4,Bad,01jTmf0j7oqLfPDzSQfOxg,50,https://p.scdn.co/mp3-preview/b76e66c39d9a52993a0419767e60a5010c79d834?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Talk Nice,5GZ4TWUVuQeA3xhSkTf5qH,No Rome,6auWB5YAlcKaHyrbTH66nd,Talk Nice,5McUs3kD5JytbY7H39Ori0,28,https://p.scdn.co/mp3-preview/0527e8a5b064a0aeeb15be2cedca6fdb11e62e68?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Don't Say,6rHC7eMaQDDpbm29WuuJbe,Robinson,38CvLGTsjtoloDgv3OKQp8,Don't Say,6yYmVFP4TaBffBvA604Ney,59,https://p.scdn.co/mp3-preview/2f5c14b5904434f0bf26cf1fb0bf0a7384d7df5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Glorious,7xPIlYAQvOubFllPkn8XSL,Ella Henderson,7nDsS0l5ZAzMedVRKPP8F1,Glorious,7ioa0F9HHBzTCV5VbFupal,64,https://p.scdn.co/mp3-preview/9a437d0c87ec989113bffb96acc7481efd4514c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Some Say,4poybupy26pTWPr9zY1i7h,Nea,7nqlScm2smydSRl13eaP8E,Some Say,5pCAWYym13GcQN8CXEb89m,71,https://p.scdn.co/mp3-preview/d3ac475db72a68005ee24a616aabb355145f3af2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Sour Milk,2KvgzXMeNKU7xonFyzIjCr,Dylan,4LOM7NzyrZvlGSYPFDsnTk,Sour Milk,0TnMKbMlfRA1w86GH8lSFh,37,https://p.scdn.co/mp3-preview/5e9bdcaafcbc82891a398d768321c8f574ee231d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Easier as Friends,360avnWXoE7hNv6SBf8IY8,Lucian,5CVsjwjuzUOrlEc2OJbUg4,Easier as Friends,5FhCnvZ9Nnpk3VMXUU7PNR,38,https://p.scdn.co/mp3-preview/f49f91e4ff5e6381db72f72c6f528c9cdba80084?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Stay Happy,7tuV9cleysQqDPQ66Z5FpR,Au/Ra,1eMmoIprPDWeFdB1FxU6ZV,Stay Happy,2gzQDEHz4p1iJ93QY0ZIYj,57,https://p.scdn.co/mp3-preview/0ce3f64fae8ecd13ccd8e92b27f28209edb2943e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Papercuts,4WrGjqeop80xC3GJG9vgmF,Measure For Measure,4pKeCzDi1AxufHFq8KD3uI,PaperCuts,17jatxKSWmSe1eirFloE2I,48,https://p.scdn.co/mp3-preview/644fe55038146c920f7a3db410bdf98dd8d8c6bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Never Let You Go,6H15f8zwZSiFE1iseSvkLT,Georgia,06knYh538h5SI7OAEF8ek3,Never Let You Go,29aFzMPjs687GKSJCPLfNI,59,https://p.scdn.co/mp3-preview/a5ecb0597a1cf56961cb52d69c0cebd986fbfa2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Waste Your Time,5YwxSa50wbOB8bw5jIllgk,Conor Maynard,6mU8ucezzms5I2kNH6HNlu,Waste Your Time,0rKVn3UEXnBe4tEDlNvI8K,55,https://p.scdn.co/mp3-preview/8ec2b3b713daec0a1191db214ac23467ca1b21bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
