Easy,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,307157,spotify_uk_
1,Sing It With Me - Acoustic,5VoAmDgLauPPfUNcVasc6G,JP Cooper,4kYGAK2zu9EAomwj3hXkXy,Sing It With Me (Acoustics),1XK0ARZ0qqFBLfH1IoA050,56,not available
2,One Touch - Acoustic,5JDxoZh2seRng6FI31YaYr,Jess Glynne,4ScCswdRlyA23odg9thgIO,One Touch (Acoustic),0vmPwOw1JamgWeKr5xZAy5,55,https://p.scdn.co/mp3-preview/1f4096732adc2534574f3a04f8590da7603b9ee9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,when the party's over - Recorded at Spotify Studios NYC,6H7fWtwEUHVfTyZD7zeG4w,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Spotify Singles,65mtbxKKczJgxPUeyVPUrc,76,not available
4,Bad,3xRcQ04b0l5RiU2w7lJhCD,James Bay,4EzkuveR9pLvDVFNx6foYD,Oh My Messy Mind,2aIsEIVLrAP75xdEhdVm1d,74,not available
5,Favourite Ex,1a1SQeSqUKzH5OUVTEx4ae,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Favourite Ex,0hIIlNhG6PZoQxCmSA24Uz,74,https://p.scdn.co/mp3-preview/57c84d691c92ed70eec76175eb2c67eb1bacb924?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Best Part of Me (feat. YEBBA),5ug4vqGZ3eisGhY1IsziNX,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Best Part of Me (feat. YEBBA),6Z5DhADmyybfKNdymaPLjB,79,https://p.scdn.co/mp3-preview/9b06d400381716c72ee93e5d1db73b2e21158e96?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Castles - Acoustic,7gVS92mQ6SBwxpl0bSQSTd,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Castles (Acoustic),0bX0JvaS7M9f2x1VvICVxj,54,not available
8,Meant For Me,6qwGdW7MnqS7n95YOTKFaT,Lewis Watson,40ELTAg7Kg6vbWnlyx2n9R,Meant For Me,6Ayd3EDMuxdmmjEC6PGCMO,28,https://p.scdn.co/mp3-preview/353a8f23611af57e9cf80075b4056d1a5193cb02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Roads,00NT7AC3LGEHSjZlbrVhXv,KAWALA,58bHgbHOExsHSOGlf0uUkL,Counting the Miles,64gzaoOwHHBMz56wojifot,52,https://p.scdn.co/mp3-preview/cb8e1db87820005f3468bd50ea19839f715d4cda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,All That Matters - Acoustic,5tAkpRX2FCx8XWQOzb0zBL,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,All That Matters (Acoustic),36t1ObyoXjycfyKsYWHdIr,63,https://p.scdn.co/mp3-preview/36df58302074efc179493709bd5c62c7a2b83cbf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,I Don't Care - Acoustic,1m84zLz4WizjR4mCDoXReg,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,I Don't Care (Acoustic),34hxmcDX91rZtwckrSlq1X,76,https://p.scdn.co/mp3-preview/92be55693f9002286062f6fcf4e07cdd2b859c32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Come Home To Me,2K8elWg8ihrZRwZJ7Gy6L3,LÉON,4SqTiwOEdYrNayaGMkc7ia,LÉON,4rH2e0qPw9MrwOSdk9rKNe,68,https://p.scdn.co/mp3-preview/32c5a5e057154dd0dc6c99961c05a63a928ef80b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Isla,1q8w8yw4JRO8k1iMWJDiak,Toby Johnson,6aWiYkCceJsc6lorPBdvIg,Isla,28s2XfmPA5wWVgWQC4JvEe,50,https://p.scdn.co/mp3-preview/2c98f76c62c1ab67f560e5038db0b653373fd184?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Have You Had Enough Wine?,0HYbvIaLKFmIcyYYhtnWZE,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Have You Had Enough Wine?,1rkoHNhJ9n0ZCRa3cspddw,55,https://p.scdn.co/mp3-preview/ecddf4f5f5991d0b1d01c04bdade9e87f08367a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Copenhagen,7InbW1uQxnPs3pIvh6gGu8,Jack Vallier,2wnHlwpI5kZaXQRGq21UNN,Copenhagen,5VLdsaraoRFqlVypErg2lq,53,https://p.scdn.co/mp3-preview/d111e61f93a9dd6d4b969d308f859b87571db901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Faith,7GV76jsKLVPMNPA96mXu2E,ANYA,0LtICwkx09q0oc4VjuwJTT,Faith,4Fyu3D6jQNBCWcNy7sTjHg,49,https://p.scdn.co/mp3-preview/4a444e7a6f7a52bb28fe8778aea5f2e6b095aa4b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Love Again,6sVDMcXr4vS3OLqmJpfQne,RuthAnne,31rVRoX5ZG9ZyRbHvlEwjA,Love Again,1pHHBKK6bzn4eJHEUgJAnk,50,https://p.scdn.co/mp3-preview/c386317b1bfc2202559323616751d81c8ba9a949?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,America,2ydhxOqJQrYEETtWcuD06y,Mabes,1kTrYYWMLQsBKlbINUg1Su,America,165tYANcQE4kZWM0NHx6Y6,60,https://p.scdn.co/mp3-preview/c6b31ec30e0cbe4e4b9230061490a49030c462b7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Bones,3RGvoMBGhoY43FudUpVvqo,JC Stewart,2TAqN8fwfaKauvviN4pOsv,Bones,2umIONJdwiF43nstu1xtpI,64,https://p.scdn.co/mp3-preview/7e2d8ab2c455868f2fcc2a9de484b56c5cc26465?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Nothing On You,6kZ3abguPUHM0TVrtlO2Kr,Lily Moore,1SQeTDXO492WB6aFvrntSS,Nothing On You,6pbaswdUATL0b4sU3DyK0o,56,not available
21,Running to the Hills,1674dVJi71UNTetOckMldn,Dan Owen,3wrdNgjTSLLQZ382sPyoA5,Running to the Hills,6mDjTwfz8PygKZLS328MZI,45,https://p.scdn.co/mp3-preview/a82e08162026b5638d76e20e2d9734f0524be1ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Something Better,734x5kcTkpSZpsprjOYDNH,Minke,4fTWIwXX49PpfrhxBHfkkw,The Tearoom,1QK0HHI0VhzbCBvFEDSIG0,52,https://p.scdn.co/mp3-preview/8b67a0c4d2098058b408d90682abb4f38b99a209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Sunday Morning,0CxVnKu6PG6tYTGVtSD8UU,Hamzaa,3TXjnAw0sg1VVdnR9fGdBs,Phases EP,67yZd1xUTES5qFQT9XNwZG,58,https://p.scdn.co/mp3-preview/61c6c4ea9d74ef14fa559cb8c1e081684e9e92d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Stay Young - Acoustic,4JTJPnMP8bgByqHG6c0QMA,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Stay Young (Acoustic),4ipKTh2wh5ib5lXqaYHbIY,53,https://p.scdn.co/mp3-preview/423e6eba0a3f4ff5caffe7eb8d3b0470795a738b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Sixteen - Acoustic,34a6wCNRt95qBFFFgldBzy,Ellie Goulding,0X2BH1fck6amBIoJhDVmmJ,Sixteen (Acoustic),4OvekmYzZEvqeitu4okDM1,59,not available
26,What If,6uPvKfUXdKD6pIVoO4rFaL,Rhys Lewis,4T2k9bgIoC8bbqjqiEl9vZ,What If,3coczD0Xkl7liE9cjvqX3R,65,not available
27,Sirens,1EVus1vgkvjSZ7AGXTjMbX,LORYN,0ryyI8NGZJ4MLeRfwbkODZ,Sirens,2Hl1GmsR6cRLFmQUqpdPZ5,51,https://p.scdn.co/mp3-preview/00d491fcb86829d194a2eb6431f51fea3081208e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Now You're Gone (feat. Zara Larsson) - Acoustic,1LbQs9rh40ILgZxDIzcJL1,Tom Walker,7z2avKuuiMAT4XZJFv8Rvh,Now You're Gone (feat. Zara Larsson) [Acoustic],5r9pOFocQRYkSDLSCa09cc,63,https://p.scdn.co/mp3-preview/4d8d15579680948bb6afbed8206a543983db2d60?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Unconditional,2Z7UF5qoyCU6Ksnf6aTMOs,Freya Ridings,5pDjmC5mRl7vDJhsjVwNfk,Unconditional,40icOTpSW5lDFI2kyYHEkU,55,not available
30,One For You - Acoustic,5WrDwOrl330xJzlj3yLAWZ,Blakey,3cqjRMFHyTEbY3Gq1P7sAl,One For You (Acoustic),4oZlF4IU77TmVHTdJJbPp2,48,https://p.scdn.co/mp3-preview/36123d0b6f48a0cf0090f4edb95817e4d53acfe8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Don't You Dare,4NCjNWpT35pN9LAWKn8sUQ,Winnie Raeder,1QnifH4HAt0yWP9A9IcoMK,Don't You Dare,7tGqLggvvGYev8xD1y6NY9,53,https://p.scdn.co/mp3-preview/e38eba44db218034fdcaa5a82ee6682e09232632?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Little Love,7kuknPPa148Ex9XUpYvvIZ,Tom Speight,02U4dXZhGSo07f66l8JZ91,Little Love,2Q21uR1dGlu2eLpH6skFc2,51,https://p.scdn.co/mp3-preview/af7d4ffc9d574ca815e9bfa0bb63ab4f011f17f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Outnumbered - Acoustic,7FCdJdGEOBCHqZAYRoZAWV,Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,Outnumbered (Acoustic),4nk0xj3tr6st2yzimGINin,66,not available
34,Apollo (New Love),2JLPTE5z1NM1x4dlM2xFt8,Tommy Ashby,7y1RS42LqlRYnpONXTjN3t,Apollo (New Love),2BVVCzCVeIISiALcGndu8j,48,https://p.scdn.co/mp3-preview/013542305f19d17065158a5ebdd5c5b00b0210f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Sound the Alarm - Demo,0rX8Bvin7TCphXx76qt7kN,Hudson Taylor,4DX2G1URzfEiRg2wBfv4ub,Sound the Alarm (Demo),61Pc8J5c6MlesOnejADstZ,45,https://p.scdn.co/mp3-preview/601e169171b30fc94bd40fb9f8ba6361a506ff5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Fly When I Fall,6lT0DHecA1thspBEZX2X1y,Lewis Watson,40ELTAg7Kg6vbWnlyx2n9R,Fly When I Fall,17yCOtauWGE5jmzNq3t2bv,31,https://p.scdn.co/mp3-preview/9fe260f5f6d5974b961bc41dae6fd1062387a4a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Rumour of a Good Life,7G0R0wTup7aDC4MOsIgHEb,Toby Johnson,6aWiYkCceJsc6lorPBdvIg,Rumour of a Good Life,0CFvAE9MUv3uTCM9LPOqjU,55,https://p.scdn.co/mp3-preview/b423845408faab63e52462a579f1962ea0f0c4a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Seven Seas,6vmXmaxmMv69vNskxdWFJx,Curtis Walsh,1skYjCzZNmy9Zjk7mdFgeS,Seven Seas,7EEBJaDByFeEmiEfFrALwC,52,https://p.scdn.co/mp3-preview/8b45ecb0a067312168d4b1754592d8440b005888?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Beauty in Your Brokenness,1idFKgxkwqOcMJmlPGy1MS,Wildwood Kin,2KOxHm9lGE9lFZDQdebD6B,Beauty in Your Brokenness,1fEzwtHUDlN33c35KvM5e3,48,https://p.scdn.co/mp3-preview/6466e901ce4176a2b3e0c78b629147cae4e542a1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Barcelona,0Obw4BtHqS4xkgKLliS9sa,Brother Leo,4FEOZMbo7XIdGHVrrioAP6,Barcelona,3LGMGt3NT68OsawMb7eXAr,47,https://p.scdn.co/mp3-preview/7a04c55e66e68e8b69556aa1fcfb182dbe456e30?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,This Is On You,2oeYjGXqPooFVy64aoqrJP,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,This Is On You,1BTAYKbh1kQaNRJ2TSC8I6,60,https://p.scdn.co/mp3-preview/d3c4aafc723b949c4e32409b2346ee7dbe144d28?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Hollow,2dojP1uWh51PhLlTMYIMue,James Smith,543ccHFPnZfJMD8tRGPtu7,Hollow,2OcR5Lm3zfwpGKzQg6Gh8Q,57,not available
43,Saint,2yhCKiofDY2KHA8rMrQ5La,Mabes,1kTrYYWMLQsBKlbINUg1Su,Saint,3wuwMu2GRL3DndY9upxRsK,17,not available
44,Rebellion,6TN16NlALSStfcyluPibNv,Ryan McMullan,4tqPTKknmeQK1uDEFVfX4G,Rebellion,5xI1fOuJnv6EfLT0hB1k6W,15,not available
45,I Don't Know You Anymore - demo,6QSH5lHbiKxOTqc9WSdi09,Sody,01y8iBZYk8aeNfPsuTVrAt,I Don't Know You Anymore (demo),0oEcktTBdE01o80o1ZSFsO,57,https://p.scdn.co/mp3-preview/579a6a753a202f5e7a55e35cdd725f94c53c4a7b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Why Don't You Look At Me,2MBzCVdCQeXEBOY5DHP2Nc,Lily Moore,1SQeTDXO492WB6aFvrntSS,Why Don’t You Look At Me,346YDCdt87WEGa2yEpWbwM,50,not available
47,Lights On (Acoustic),2VXiHc8vUmJlm2Wf83NzYv,Kelvin Jones,2t1vHqFELDwweQWM6JYxHG,Lights On (Acoustic),20CiTZMchm8j7yavb6RKsZ,32,https://p.scdn.co/mp3-preview/6236907e57afae0b06cf680ca37e4098da82ff46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Where Do You Go,3pil7DXQmpnQcImkoF4wz1,YEBBA,1ooV8YZC1KbpEcrmI8WH0F,Where Do You Go,74SSHu09e4vyHHMGKfw2CL,61,https://p.scdn.co/mp3-preview/870022e7a34f4b3289614707475b7ff8b6586975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Memories,2b8fOow8UzyDFAE27YhOZM,Maroon 5,04gDigrS5kc9YWfZHwBETP,Memories,3nR9B40hYLKLcR0Eph3Goc,90,not available
50,Easy Tiger,2IbzYGcve6P1QV94UFxtik,Billy Raffoul,5gw5ANPCVcxU0maLiGRzzP,Easy Tiger,21rJkp3ysXGOSL7320EFTL,61,not available
51,Slide Away,44ADyYoY5liaRa3EOAl4uf,Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,Slide Away,0SHGFAL8WZUvpWb5iLPp6E,90,https://p.scdn.co/mp3-preview/0cff2bb99981e4c697a584cbac6f5225d08a1e3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Unspoken,66MxyiQy54baNhSyg3wiIn,Aaron Smith,5Nm4sZeWDNd1sOs5HcxAbl,Unspoken,7kRUXMREmvFYqvh5IEZvmt,65,https://p.scdn.co/mp3-preview/a80886e018ef1ad07931e0b39ccb49d611c6b964?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Different Kind of Love,1u1gxhg453Qv1sBUYtomtd,Hannah Grace,597GQ9dmhOQoBfqmfQINKB,Different Kind of Love,7Ad8aMOpk50RA9KmlEtCZK,9,not available
54,Stay Awake - Acoustic,2U8kPpGTv8tAHG0CgqwgeA,Dean Lewis,3QSQFmccmX81fWCUSPTS7y,Stay Awake (Acoustic),4PkaHR7pETYGCOB2QocK24,60,not available
55,Costa Rica,1nGzAN60NOyg9pPW53mEHJ,Dan Owen,3wrdNgjTSLLQZ382sPyoA5,Costa Rica,23f1lfbTWlh9YcU7tuttH1,39,https://p.scdn.co/mp3-preview/1bb129c48df77863f8ce3acb0cbeb8712eb7ad16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Lover,0bzbvANY6oETSJLc0wlVGY,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,3rYkgtFOo9AlPaeKTtn6pM,79,not available
57,A Little More,4MjMWeU6r2aOrH0kqEVTTU,Peter Whitaker,20ummgOmQDjIjshUVQSmGa,A Little More,1VQFMUgQamT43hK4mmIPt5,47,https://p.scdn.co/mp3-preview/8503f2320ebcadd2b8039c70cbe6c51f58321451?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,Why Wait,1kCUN3mBLqbO40sen5Rv62,Lilla Vargen,1bYTiIHnxEdBncCHYCfE4j,Why Wait,2ez2etBeYOOZprawEFPl30,24,https://p.scdn.co/mp3-preview/d3482c15cf0dfce0c4cbf820a28c3d76d21b42bd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,BRKN,07gFabF2ePsmBM0Q3CYitT,Madison Ryann Ward,6eAUAR4N9NOpirukqdIzVI,Beyond Me,05tbey8KoO4jyoqB362gl6,56,not available
60,Bloodstream,1UgUpku6JtGVBerwDVurHr,Conor Byrne,0hEeBhTVYUKs2B4PY2IdMB,Bloodstream,25F5v8WWVCCSL7II7HXZJu,55,https://p.scdn.co/mp3-preview/39cfa464d834f4e61c4e506faf10b906391281fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
