Easy 00s,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
26,Broken Strings,6jBUP2KCe821yqf1hiBqPR,James Morrison,3LpLGlgRS1IKPPwElnpW35,"Songs For You, Truths For Me (International Exclusive Bundle)",4gbQkXljzPRUvYtqQscMO7,71,not available
27,Evergreen,3Zg1941PbcmsxLmSaVJ3OZ,Will Young,2U6gqwyl9F33YxawnFrZG7,From Now On,6cX5XwYMwa4AoYC6Eyy25j,54,https://p.scdn.co/mp3-preview/3d38459f6be11ac91264e6acf58e7cd8be73a18d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Take A Bow - Main,6Cv09gbV6mHXshhiHE1JO4,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad (Deluxe),6JvLqvdgk4arICbmD6hw3J,47,not available
29,Ugly,7t0djT6xbjLPC6TttwpINp,Sugababes,7rZNSLWMjTbwdLNskFbzFf,Overloaded,1s9BRhmwSGLc71q1j5JY5e,52,not available
30,Empire State of Mind (Part II) Broken Down,5sra5UY6sD658OabHL3QtI,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,The Element Of Freedom,0Rxab8t0y7GlaTJTHX2wEN,73,https://p.scdn.co/mp3-preview/6ea63bc18c68a1f518d84b763106d315c6bfef84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,If You're Not The One,7HhKuJbtiNbZsEDLNQvOnH,Daniel Bedingfield,11hIqBsGRPztdjBHCSLClX,Gotta Get Thru This,6d5bzbzrZzXrB6BP6MMSeL,63,not available
32,Life Is A Rollercoaster,5lQfI9cYzezWGvqwrWkzqh,Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh,Ronan,6BNUYhhSL5a4yrvrfasKcF,56,not available
33,These Words,6QLU1GKy2Zh2mOh2uoJ0TV,Natasha Bedingfield,7o95ZoZt5ZYn31e9z1Hc0a,Unwritten,1meis09isQJFDA65afUTt8,66,https://p.scdn.co/mp3-preview/a328410b1a127b07aca5b06e202c5ee19e9df929?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Drops of Jupiter,4NG6ezO2ApTR3dfQucNDqD,Train,3FUY2gzHeIiaesXtOAdB7A,Drops Of Jupiter,4zO0JaK3OvHTdFm2pPEdqF,7,not available
35,Chasing Cars,7ctRAoCbcpOusbm3w3E6mn,Snow Patrol,3rIZMv9rysU7JkLzEaC5Jp,Up To Now,61ydlH3GzijGrRrivGZASi,17,not available
36,Red,0kiIiH6TAs3tJxmYTMaE6C,Daniel Merriweather,6HD2mo0Gz8wd8IbOXYwUfN,Love & War,6xo41bxSq48r73jq5z5AJN,30,not available
37,Better Together,2iXdwVdzA0KrI2Q0iZNJbX,Jack Johnson,3GBPw9NK25X1Wt2OUvOwY3,In Between Dreams,2B9q4KPjOEYu885Keo9dfX,76,not available
38,Bad Day,0mUyMawtxj1CJ76kn9gIZK,Daniel Powter,7xTcuBOIAAIGDOSvwYFPzk,Daniel Powter (U.S. Release),4zhigAhPwqp43XVHBiVeQI,77,https://p.scdn.co/mp3-preview/0124255ee5fc654a8fdf8573181d516f1eb1f410?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,When You Say Nothing At All,7d66u8J2iM8WXcUKdujNZJ,Ronan Keating,3nlHsNqwCSvT988ZfSW1Yh,Ronan,6BNUYhhSL5a4yrvrfasKcF,60,not available
40,"Hey, Soul Sister",5i0eU4qWEhgsDcG6xO5yvy,Train,3FUY2gzHeIiaesXtOAdB7A,"Save Me, San Francisco",31JOfqUiCWs5facQRPdeUk,14,not available
41,Handbags And Gladrags,5JAhtB4S0NrArDlH9knyPU,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,Decade In The Sun - Best Of Stereophonics (Deluxe),4tm2y6cW1crczFhkylSSHZ,9,not available
42,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,84,https://p.scdn.co/mp3-preview/c58f1bc9160754337b858a4eb824a6ac2321041d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Waiting On the World to Change,5j82yGNCjpk6R50LgR4hHG,John Mayer,0hEurMDQu99nJRq8pTxO14,Continuum,64GHlpPoKzuFlUL2mtkEcX,13,not available
44,Bleeding Love,7wZUrN8oemZfsEd1CGkbXE,Leona Lewis,5lKZWd6HiSCLfnDGrq9RAm,Spirit,0VaAFegRAAn4OCg7p4QjN5,79,https://p.scdn.co/mp3-preview/b0aace1f8a27b540a9fd96775d7665e3e2b73029?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Bubbly,1lkvpmrCaXK8QtliFDcHBO,Colbie Caillat,6aZyMrc4doVtZyKNilOmwu,Coco,7a8mrq83VEf0PoFh6pvtsb,73,not available
46,Have A Nice Day,360T76vzavPvB0ZLRqvATQ,Stereophonics,21UJ7PRWb3Etgsu99f8yo8,Decade In The Sun - Best Of Stereophonics (Deluxe),4tm2y6cW1crczFhkylSSHZ,12,not available
47,Spotlight,2gjVAoahTI3FH9IhCsOZ5p,Jennifer Hudson,35GL8Cu2GKTcHzKGi75xl5,Jennifer Hudson,3LfhyVZVglUmDOeea5vWZr,54,https://p.scdn.co/mp3-preview/fdca9da9a25532a4dbd036c80040f0ebb1493313?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Breathless,5OQGeJ1ceykovrykZsGhqL,The Corrs,1VbWUxZTRNY2gw3qZ1tg9W,In Blue,3F8v4omWXxDHrqntA83WJY,68,https://p.scdn.co/mp3-preview/238cabbbeaa52aa08c45c2ce887879fb95b4d9f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,All Rise,0OJtYfqiz0Xn53o2TnySQC,Blue,2yEkZBBjhzKzt6LF5XMaFi,Best Of Blue,0ekql1ldKpqa4oXsAb7Yx8,60,not available
50,No Air (feat. Chris Brown),1jUA4rb6ZCv4gby4YU53xq,Jordin Sparks,2AQjGvtT0pFYfxR3neFcvz,Jordin Sparks,6JCNOvp9UeMrFuXwNW0JW6,75,https://p.scdn.co/mp3-preview/3fdf0096af650a0ab38749a07a6f879bbb903822?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Where Is The Love?,7oPnZNl1acGA7ELxsNirrR,The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,Elephunk,2Yx0X8CYJD0G2pvJYZcTxt,64,not available
