🇺🇸 USA BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
37,Julie Oulie,4LIv5R3bH6T11ylG0ZVdfw,Peach Kelli Pop,5xrA0STCpXYDPnfiyU8A3t,Peach Kelli Pop,6lbxVoJLOUnuHw2fRoD1wF,13,https://p.scdn.co/mp3-preview/19579a1e28b2441c2c00cc09e84b8c4789760a0e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Microwave On,3b27AVE3pjqIE57FgB9tMB,BRANES,1DLO8ypn2riMrK9cimHwT7,Perfection Condition,43Ebeb4NqbQbeJSl4thkDN,1,https://p.scdn.co/mp3-preview/aae03793627e9c90bd17c8ce6e1dc0345766e3eb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Throw Me Away,0XmBDpqUWtD8SWxKXVfMWX,Pipsqueak,6nmHf9r6CIM990i41UpA7y,Pipsqueak,1IzmhFlqbCx0jl8U4P9Zb2,0,not available
40,Pookie Smooches,5QeX3lqTGD82TZsOn897TN,Pookie and the Poodlez,7tCxGQO578hjhbz1WhsEDM,Pookie and the Poodlez,6vkPcC8ySuRR8DDdDdCnbC,4,https://p.scdn.co/mp3-preview/8218514d4d75b627edb601883854b3730cf5b06d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Power Drowning,5ayeU3GP65syjjSgvlWrDO,Audacity,3JVDhFfcd5xPsFYJ1am9lM,Power Drowning,2Xti3sMoTMfigEppxpdYZz,7,https://p.scdn.co/mp3-preview/3d67830a38438736e66f8ba8042e9b27f2e31104?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Bad Kids,6kyrP5ou1jIiDr8DtaO5Ca,Apache,6pil7q9v19qZD6K2Hc57Il,Radical Sabbatical,1gNUYP5HsAwGIKgIwSCwZH,1,https://p.scdn.co/mp3-preview/9c8ab1151a9b01860c59bd5d697bfd7fd8e225d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Mask's On,6HLGOZFordK8kXUbbJott9,Nobunny,3XZI4PSR0DBWeBiJzquXif,Raw Romance,7C9L4aO6cKGxncrnprsBHA,11,https://p.scdn.co/mp3-preview/9d977ea4731bc16748849d4e547bbc2f7bb5e390?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Thieving Ghost,1U1sHWZJJt1aUh5pn4QYKC,Andy Human,6NoQxsav6VhTbf9L0A4pyc,Red Plastic,6w4SVUglEhBxMTgjmyETKw,4,https://p.scdn.co/mp3-preview/39fcb131d7276435ce196dadd612decc3ceb6699?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Sleep Baby,0wLqGT7uVcSJ80nAQCAuPv,Ruthie,6b2yPb3TXEXeeoS2zXBymd,Ruthie's Requests,7hhDLaEpoHHXAswzFRaOay,0,https://p.scdn.co/mp3-preview/f5f5180f283c68af0f2271c1d5fb047e92cec2b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Waterfall,1aLaSRBkw0Qh7vfK8QHe0w,Salsa Chips,5c4FVkVoU1DGyt9dOKqmQY,Salsa Chips,2Arty04bLhXUcdWJtiTxB5,0,https://p.scdn.co/mp3-preview/b6643490ceb7c37e59e5282cd18d829eb6543b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Pacific Blue,3hEGJFRO1ldfpTxfCzKu4b,Fletcher C Johnson,4mEzgDgwWm4ipz35XZLIrL,Salutations,6HWMkyLn6YnpCe32sNUP8W,5,https://p.scdn.co/mp3-preview/8df0ce519f6afd69d7653d4ec6380b9cf696eebd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Happy Birthday Baby,0sOD10lVmeo4f9lUsE07d9,Schatzi and Hazeltine,081tQmKTL0n4IrxKCDN24s,Schatzi and Hazeltine,1S00SrMOnf2xfeeJDNAH8J,0,https://p.scdn.co/mp3-preview/278b7108a1d769ad9ed76b9292d7a18c1fee3723?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Movies,7cpvC6XRpke6WhZjQC1RqL,The Zoltars,2SL1iOb8aXeQXBjky08c7D,The Zoltars,3n0A9gE8IVHPlUiHZfnRZh,1,https://p.scdn.co/mp3-preview/46e3d1e20548cec2672f950aa13ba3593b84106b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Satan Taps My Head,6whHYGaEOPrdw4OXukqDkI,The Abigails,6LVJCmVIjAkNaVWahYlOli,Songs of Love & Despair,5Hs3RNMCwjrxOR6upVmnRQ,13,https://p.scdn.co/mp3-preview/2042cec9ac40c6c743245ee39557653c7c47acea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Come Back,16ijhvRr6JoKcj2P7sHeSO,The Go,2m0xdXsYglZKSzqVkZtFi8,Supercuts,7BjwEX35EdaWbxSTp88IsR,2,https://p.scdn.co/mp3-preview/7c5c96c00ab50cfa1be16a5eff19c1708a05f4a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Sister Sally,6FV4igAYPVgabUlRVWesQu,The Resonars,0J7gocP56wqQ8OCRgtkrUN,That Evil Drone,3e6yimWjLAYsFayoMHaHVo,3,https://p.scdn.co/mp3-preview/d755638abc2bf8240b1d49a19ad12ba1896cc7fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Slavery One,0XBlj87553XTOPBNtMylnk,Audacity,3JVDhFfcd5xPsFYJ1am9lM,The Anne Frank Tape,789OPyVXCt6tuuJns8RSAc,1,not available
54,The Gorilla,369t8kGfl43OSQIupXsoxD,The Garden,4UVlSeEFDPmlkYKaRMRoOz,The Garden,2mP4QmgCIZaQyTYEC7lJAH,27,https://p.scdn.co/mp3-preview/bc261f7b14b431782bb9c8184ef940c9af09caaf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
55,Super Sonic,5vvrbZWnLjy5mjGDx3Ya7E,The Half Rats,1fG6rtlYW39gNJDmwiMird,The Half Rats,3Fjg8pKb7PC0tlcLG6KCb8,3,https://p.scdn.co/mp3-preview/5c97f0e9cb0ec7ffc8c7626fde52c78786c0f120?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,Atlantic Ocean,2wzoE7zUVj4fAYzHHYOtMR,The Meow Twins,6jMxXLkXyl7Ta4r7H41CT5,The Meow Twins,4crqovLcYlfRHjKU8wGXpL,4,https://p.scdn.co/mp3-preview/cb2a8959099166915abb7bb8504965e77d23cd26?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Here Comes The Rain Again,31W3VDwIWpdLjF8st9WBIU,The Memories,4sGXRKVt3jXcqjUCRuK67C,The Rainy Day Tape,3AtEiOkuPLye5438ZoKYic,2,not available
58,Slow Down,69itOo7zy6FyXVCG9BEeyR,The Undertakers,1XmxpzoRhe1lHNID2BNQpJ,The Undertakers,0rdJIOV9YdYhMVE7rU6ChM,0,https://p.scdn.co/mp3-preview/09904a2258ad06ddd0a61554df89ee12140a8d2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
59,Nobody Loves A Punk,4zG47nKk2qFOBW0AFUswre,The Vomettes,0KSXq3WUtYFPDbQ4XNBACF,The Vomettes,1UioWDgwJI3ES68hqOjnOJ,0,https://p.scdn.co/mp3-preview/0c5c1f9b5c87dc44176226bfb3beb0458d4e2887?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,Bells,0xtxHtXaHpQjHQ7l84BlDU,Thee Rain Cats,1uyuesDkJWRG7JpGc9NXg2,Thee Rain Cats + Demos,768nOanRdIL8nPNXsthyLP,1,https://p.scdn.co/mp3-preview/e4c0acec984c3c4c213cd734c8c5f9bf180800bf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
61,New Friends,2hKT8rVMtJF4BPoIG4p4Nt,Baby J,5yjQKQYt12QjWzQK62T8ov,Thee Ultimate Baby J,2JRVwNPVr01Yt339STEpU7,0,not available
62,There's No Sky,0gWkBhtx1z7wO6TgFLhvpO,Jaill,2AubscTHZ6Gqo7hlIyDEaH,There's No Sky (Oh My My),0bPN24EDEhkRsbUCTivujT,3,https://p.scdn.co/mp3-preview/90bc8dec938b3f8b6a43caa6392f27cc0bf64b4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,I Don't Need You And You Don't Need Me,72kMVVny2u8uElfeDEVyy9,Almighty Do Me A Favor,4GGRnTyAXjEcksuC0KVnNi,Time Spent Movin' And Losin',00GYK5UXJGQHzL1hHGP6ID,1,https://p.scdn.co/mp3-preview/92f5a16c72ee807ea6c62f960786501fb44e2892?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Tonight,5FJ3L8Jc5TqRFq5i7GHsMt,Wonderwheel,2lGM6kmV3BRaV63ik1p0nF,Total Bundy,5XBfDgARoQdNaMbW1YoN4g,0,https://p.scdn.co/mp3-preview/86c008f790e564696fc211e647dc5cc30ef2b6c1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Party Party Party,41JYOAYjTKmMWJKsbI0KDF,White Night,5Ca01X8PiallVuDYD70Xdg,Tour EP,3KNyH5UwWOnLopmwQnDRvV,0,https://p.scdn.co/mp3-preview/4bf49a26cdcc4d2ea2641a16bd0f46989a853c2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,The Lie,0KON1khHaosp5sMlTVnmid,Tyranis,239CFP7UNtZji3tKBtRYBV,Tyranis,2ThMdqFGcVU93SNo7YBb8r,0,https://p.scdn.co/mp3-preview/cb0bb61dde870512985c33c8996a4050cc096e02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Rich Boyz,6phsPWlaoCvUzTGfGalw5g,The Aquadolls,75dqW38mCNfvNv9G3nqIE5,We Are Free EP,3lEGqsf5mOwjDvfjqisFna,12,not available
68,Just A Matter Of Time,61XcTqqpcpDs7AnZRZSrrn,Garbo's Daughter,4sg0nCZM6Vk34YH8otZJa0,West Coast Summer,1lEJb6kcAUcKxEKqAnAL3c,0,https://p.scdn.co/mp3-preview/6a1f301d67a15d6402b441cd2fb83915c8ad46b1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,On My Way,0NHyVKjHrvQSp2L02IZeE0,Bad Antics,0fqmVvKimqtoNd5MCO5JmS,Where Did I Go Wrong?,0rYUxyuoTCegxfGhHiBUXZ,0,https://p.scdn.co/mp3-preview/62df5724f5978a562b53f92cbb66def211821229?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Sid Nutritious,720DTPX5BocfjbI2MeDvR6,Forever Baby,3OcX78yFWS7AAqZ4vHEhsH,White People,3Nk5VS76wE9T8ghCU8EePP,0,https://p.scdn.co/mp3-preview/e6afd0a78f3445d95f792a9224872102dcd25073?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Indian Chief,0HAJULa0gZ7FOO6RiqPXM7,Audacity,3JVDhFfcd5xPsFYJ1am9lM,Winter Tour Tape,7LffpcEiSEvfOd4TSb2k84,1,https://p.scdn.co/mp3-preview/5f84b8f43b5d8cfa2d01423e1b7df66e16656bcb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,The Revolution Is Personal,75lx9UoQJowRf4JHiII9NL,Matt McCluer,0wnQifDOXmf6L6KT4DhFkv,Wishful Thinking,3sEHThD96hvVOfActGfase,6,https://p.scdn.co/mp3-preview/96afc1b7bf35eedc996e7b074b80184d3d87480e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Escalators,6Iu31mY3NmETAgbHAivLwT,Gestapo Khazi,3UmcbFTtReE6RiH7rZhaPj,Written in the Will,1IIxMiPQ6fjCoLZB6MkIV7,0,not available
74,Freak in the Fog,4URvhkjhbA1BX5k0c2qkiU,Burnt Ones,7sqdc4Jd2KZXOjpt19pwo2,You'll Never Walk Alone,2MfIu7q2qikXLONw5BTRQu,0,not available
75,Sweet a Name,3rjwr1W8sHvlxkyozr2B2a,Extra Classic,1VoUCOVvnHl6BlYkov1QXy,Showcase,5PpmEr1hlF5TvqcLj7tqO9,2,https://p.scdn.co/mp3-preview/38ea2fdac493237931c33dbac8fe2957bdf93b66?cid=fa83a2fec7c440b7a2795d600d6b2c7e
76,So (Freakin') What,36P1v3uTzkE88f9IrxzvqN,Dry Feet,5ODxK41QK781bd2o6NcTKu,10 Songs by the Band Dry Feet,73funqBerR3AcXX9Zkhkn6,5,https://p.scdn.co/mp3-preview/5677f4c06a095ed43b64277dd2002e36f092e0f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
77,Peter's Brother,2MGIDxtymGwN5tcidHWqy9,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Chill Spot - Single,7mvTgohWHeYN8Qpah9lfV4,1,not available
78,Wear Your Hair Like a Weapon,5lP5X1ugAcd8tuJRiTppRv,Cosmonauts,5fdHAaz0jnb4l2VEoHh5rb,Wear Your Hair Like a Weapon / Sweet Talk,7wbK496Z07svxp36hvZJPW,2,https://p.scdn.co/mp3-preview/efd2cec607ef131d2d0d8f4a2b7ca38af12af71d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Animal,3QHODg3O2BDE5212zpf1D4,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Was Dead,1z3fvPNY0OJE7ENsZ40nla,16,https://p.scdn.co/mp3-preview/510ba316abe0f4cfca1a445fad6dc0b6b5919322?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Sweetest Talk,0u4EBKunInxi8KNj1D3LT5,Habibi,600GgDUq9kzGJgNIrVsWfz,Habibi,5iqgIxsuoG0MGrw8nqKhps,21,not available
81,Dead In The Water,4KbeK49n5531q0QiRBbMKO,Pop Zeus,5aEfUZWBjLVTfO8ExxrGOP,Pop Zeus,4ku4SL5uYs9wgEABZzIgT8,2,https://p.scdn.co/mp3-preview/e6b7e5d11b1f46c5c9bc8ed8ae1fc9f120284c33?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,Shine Your Love,7ryDuBrRJk8MeTnNSsLSwh,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Shine Your Light,1xNdJUTSuC6ZuSyeuTll9q,13,https://p.scdn.co/mp3-preview/e69a9c9f925da4557296bfe0754fa060db992c8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
83,Don't Waste Her Time,36tSMHcyAAKEwGKu6mOwa1,The Explorers Club,1CR8qMZVkRSoIioetcA8u3,Don't Waste Her Time - Single,08mjx6FYTY32OA207LV4oE,3,https://p.scdn.co/mp3-preview/9c67b58b277d5ff932467e2ba1dcacd14078b185?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,No Pressure,2P4XE7UEpI1J3ctBpeiwnf,Night Sun,0DORYKUp1P6ezkJmO5izn9,No Pressure,4tWrvRoQzD0xdce5LL0fKt,11,https://p.scdn.co/mp3-preview/c107df99002947c275b4235add36066df06feae8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Don't The Time Pass Quickly,7GmJpVeCCYW7I5Bt2MV8Me,Natural Child,7epIIT85VR8OEggqKO3RSt,Dancin' with Wolves,4tAa6l64mYu7EuESPFfxkH,23,https://p.scdn.co/mp3-preview/5903756dc82ca74a531822553872bdadf958288f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Next Time,4gnPdNBM3MCY5rMVzfr1ty,Curtis Harding,0CUpzKPDfIVzYqMn47jiV3,Soul Power,2ohzE05KfJEKXXFx5ZKUAU,35,https://p.scdn.co/mp3-preview/dc67a45b4f4ded829e6b4510ec0f9c1ee5e33316?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Carefree,1TDjhXlTRx6CcbkpwqfLU1,Summer Twins,2Tfo5n4B74gg8c3n8hjDf1,Forget Me,25O1OgG1pF95KRcr1Stj4K,2,not available
88,Pain Pills,27WXvgb6mxHc2sHb2PqbPn,Denney and The Jets,6JmZaCTWhmJcjIqt4Sh0XC,Mexican Coke,3wrJ9gqVOVaZGNxPYaHmpN,6,https://p.scdn.co/mp3-preview/0a5b99586147287421ef5a8f0c181eaff86210e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Take a Take a Me,2otSBmxRDkhJqY6f4GHdo4,The Muffs,4FYk4moRCGHdXIK3AMcelO,Whoop Dee Doo,1E2SpOy5JpLYwO7G8MZtmD,16,https://p.scdn.co/mp3-preview/69613421ffc4c34538af961bbf035f1e8eb086e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,For You,15x0SrKGhnX0DiZpjSBicW,The Abigails,6LVJCmVIjAkNaVWahYlOli,Tundra,1alME4s9xqBzVtUQY2N3r8,24,https://p.scdn.co/mp3-preview/8309a122d75d6ced3d7be000e44b627bae36be17?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,The Love That You Own,45dthgFSeRUvanKi1ej32r,John Wesley Coleman III,0ZUDVcbyhpH7xEeysjDr6J,The Love That You Own,0O6BHzanwvUmQwqhrQYGH7,0,https://p.scdn.co/mp3-preview/12d0e8a52eb28b895f2fe456acaea6d165717fc1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,So High,6IkYpHvizbVTqzIiZiPZYl,The Aquadolls,75dqW38mCNfvNv9G3nqIE5,Stoked On You,6ngT6rQOH0p9otYIA35Yjq,19,https://p.scdn.co/mp3-preview/45d9f736b9b8ce1399a4077c5fabd92018eac9e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Okay,6AMpKF6Zd9yvi4iAX3axra,Cheryll,0fhMkR4LtLxVIINRyR7qvF,Cheryll,6sTHrqPs9lw9sob2o9EVJn,0,not available
94,Girlfriend,7G9VRODK3iWL5riQ5GE18D,Death Valley Girls,0EvAIYxDOmvxkCv35jfmS9,Street Venom,5RggS3wkJAH0uaZgPlvANv,10,https://p.scdn.co/mp3-preview/753cdcac14dc4640819a1f6b7ecdf77370bb1fe1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Lover's Sunset (feat. David Loca),5qOtpewLplXxeob0QUvzDu,Part Time,5M0HAqHXyOh3q7WQnvce8o,Late Night (feat. David Loca),5oNe67ovohcZKdsWhxHMZJ,15,https://p.scdn.co/mp3-preview/981539f3b70d92febe5f26a44c4a313df768777c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,(You're A) Vortex,5RA6UONLYldMweeU1QDFnI,Outrageous Cherry,3qkqPMTDQWqyZTz7a9ldnT,Digital Age,0ifUxYneaBgY6IaPP3neze,0,not available
97,Glued To You,2RqRJj2Gb6ZgMZedzCyAQY,Tomorrows Tulips,4mCKYeRm9x5hj3iPX6Sths,When,1tKSQT0vGGcOGlcl8HhzHi,27,https://p.scdn.co/mp3-preview/591bc118ac4abe47f1c1ae78ab04b1eb61ef82f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
