🇺🇸 USA BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2,burgerrecords4life
1,I'm the Wolfman,5NEOGSRuCBuLPNt2Vhcyfi,Veloura Caywood,7wdSynbhh18GryXfUMUMaK,14 Years,0K1imIZqtyc3vnVjlULmfV,0,not available
2,Victims Of Society,1zYJp05zKUUB9JxXnrDKcP,Shattered Faith,1Fw43ESeFAZuqWPkfuJNTW,1979 Demos,5dpmBjZg4sjn4ec7Z0wyza,1,https://p.scdn.co/mp3-preview/1f331d25dfc4f72e73b4ea81da11e6213b262cfd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,He's A Complicated Man,5N2EaZu8gV96nLHRPwHZis,Joel Jerome,1pLAN9JZIlNYalIJCsguvk,Babies On Acid,3KtnnUpwvmlpmkyoohP6an,6,https://p.scdn.co/mp3-preview/d5d064bcafd99d3ddd189464b0b9f345d9c910c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Young + Crazy,1bZ9d13vyLehPStjIprc4t,The Bobbyteens,1vkkoAtqgYweUKawYtjzNi,Back in the Saddle,3kSKInjXfZVZnXBmrrD5iC,0,https://p.scdn.co/mp3-preview/73ef0b26ec6b0623f4b424a96060f5eab65d2c07?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Sweet Lady Genevieve,0GT6ujw2b0XqKZITTU9pbq,Bananamou,5q4jpczkdYuhNDJagH6d8I,Bananamou,5SjXDBYHfeBcw2FoQXzXB0,0,not available
6,Antartica,0H1JET084ypSRC3B1gkeUR,The Hound Of Love,5XVwGdW8o2ovdzkDySPEfW,Careful Houndy,3ZwXDSEtv5yuqmVHN3b14v,0,https://p.scdn.co/mp3-preview/c4b199b65b16155d0aafa315c7ca2bfef825eba9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Tower Of Diamonds,2VpE9F6WHTuJsP6h0htZdB,Conspiracy Of Owls,0qoKN7ITffvddj6PVhmDSK,Conspiracy Of Owls,4Apf5HPUimeotZoI2Em70S,8,not available
8,Electric Dhun,0xWRXqFc8NvFXPkZBdoUoy,Sitar Outreach Ministry,3Uh55II22JfqoUrYeVK7RB,Crucible Of Mutants,2oqKKMN7CF8B5p5eoOF3ov,0,not available
9,Invisible Gold,6tQFwEp5jo64C0CjQ40ywa,The Resonars,0J7gocP56wqQ8OCRgtkrUN,Crummy Desert Sound,0eXILrvUB6MLKMM3Cx1PML,7,https://p.scdn.co/mp3-preview/7f2a076fa87f40e6359ef91c844813b22588d16c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Scales,1mmaLObFDencwszqAnL4kS,Poor Sons,1oPSPyypzsRhHhMNh79D5a,Dyunes,43kRrIp0MeOU44tY4uIruy,0,not available
11,Hold Tight,4DJfhKV5DJy6njI8HCsfrG,Mild Manners,5SQM35p7aH9cKyf7RfkNMQ,Excuse Me,0ovqBRV3Iqmz11AwfRBwYl,0,https://p.scdn.co/mp3-preview/48b68778b3728f7a8b028cfaecc99f8aae036fe6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,What We Are,5IWrzSgFrKdHu2JUYKGLsE,The Garden,4UVlSeEFDPmlkYKaRMRoOz,The Life and Times of a Paperclip,1Gedw8BSGLD38u4kzhWVqD,28,https://p.scdn.co/mp3-preview/b09c5f8d260d81451f797dd0263e9d5f0d6a912c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Voices Rant On,5RjxPK8U2TZzGJcMqx5cK6,The Go,2m0xdXsYglZKSzqVkZtFi8,FIESTA,5vXn4zbWMk4hbEwfVcklmp,3,not available
14,We All Know The Story,0C3U7Kg8AZZzocIOKEmzDK,Mandy + Jason,2pZXeaeb7Irq5DP1aouW6F,For A Time,1uaGSRazI1XIbAJELyWgfo,0,not available
15,Get Away (Leave Me ALone),7arJzglntnIlRWo4theQko,Freezing Hands,6lwspN4Xsnruhq02vQzswr,Freezing Hands,4vLLLDHSh8bXKgPaIuZqLF,4,not available
16,My Other Man,77wqtrdRHzzZNaXWH29hvc,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Gap Dream,6smtf4lBUIwy18Web1cqen,9,https://p.scdn.co/mp3-preview/30e72562cdc1b8e7d9ad7b9542acaa439d964ccd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Dolphin Patrol,40wkRfYO3P10uKklJrcWLy,The Pizazz,3eNVXTSKpnYM8SdaYOp7SQ,Get Out Of My House,4IwRmAw2jYaz9hwqLLFYzd,0,not available
18,I Only Have Eyes For You,6Mkb2nWf63KBkUAOfGmUI3,Garbo's Daughter,4sg0nCZM6Vk34YH8otZJa0,Goes Pop!,1mgHUJpCs7nsmd8P4aH8p5,0,not available
19,The Circle,6OrezlnP8HoeXmwLI7VQKI,Enjoy,46OZe7BgkZhisNbEMW4oqq,Gold,5oD4albuARv0MIzjI8VJ9h,23,https://p.scdn.co/mp3-preview/5add43c694820d36586184f7f901a6fc6d1e2563?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Pissing In The Driveway,2SP2g9DqSC2Kt3vOMJlHTq,White Fang,5ii71trup0DRxQFq8meJn4,High Expectations,5NkIxGDGFCsAtwyIn6ncOt,0,not available
21,Basket of Masks,6toKF1mCy4bLRSpbG9tM1Q,DTCV,1Cioqqppu834K8hBajm2Ny,However Strange,4InGpU3TmVzqFHUPTw7dHG,0,not available
22,Just A Kid,1QDCD7sjuVmiYeKFC0TqMh,Cum Stain,404N6Ct8NCf678KsIwO4Q3,"Hurry Up And Kill Yourself, Trust Me, Your Mother Won't Miss You",38T1DkUvRWL1Qi9gWH5GiA,0,not available
23,So Below,0T3ceWE6ZsodvZzhPHWTd4,Mmoss,728pTszDKtxAil9XWAwP12,i,1IpmBfZx06HOQBo1o7Hub3,0,not available
24,Dino Might,5nww1cmDlaOCz2M9wgTzAL,The Bank,7lg3HIWzs1nvp6aezTi2fN,I Love Each Other,6sUnjmuk6COWZd1fXZkS7L,0,not available
25,Psychic Denim,28gm6mnxCFO1HL8sSpglTa,Cosmonauts,5fdHAaz0jnb4l2VEoHh5rb,If You Wanna Die Then I Wanna Die,5kz4nAfoJU1N7MXKr7UXBP,3,not available
26,He's So Blue,2GgxiJQLcDGwqXurthPPr2,Juniper Rising,3AlFQxcXZbvbKxiVjoaKgS,Juniper Rising,2fxv8YhwDYpYHeuhy9gcrs,0,not available
27,It's Gonna Be Fun,4jnL3gs8BFUO8rJKM98uAv,Kid Little,3Myw7tI9ZZRG3xyBVVibTS,Let Yourself Go,3lGAM3xP02ngt3TeLExNCG,0,not available
28,Like Riker,3ab8VUYk6vYTtyazfrW6N9,The Memories,4sGXRKVt3jXcqjUCRuK67C,Love is the Law,3mmbFSDv8fzoIYkCvBVg6S,12,not available
29,Cemetery,4z1KfF6fkaRMv8LsnQDL85,Lust-Cats Of The Gutters,2l8mdYttPc8q6KtPKKHUNJ,Lust-Cats Of The Gutters,0uqJksLqI556XwqfVqagSQ,1,https://p.scdn.co/mp3-preview/40eb754914c783c24abe06c26592fc63b8b099d5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Still So Young,4Djaf8gFBlwAQxZIsCh6mO,Magic Jake and the Power Crystals,5SKTNwK87vBYNAtAdZFCb0,Magic Jake and the Power Crystals,5It4CjfMctNV3rjOtP8Qbv,0,not available
31,List of Demands,3H2cBN2Z7VUhllYwbubogM,Massenger,0SsIyyCdH6V2CLzeiyA44H,Massenger,31arBR4syUt4GYgPrg2h2K,6,https://p.scdn.co/mp3-preview/4c7210bd253a86664604e5b708fe0f349b7f94d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Meet The Golden Ones,38LBKblIxwsdEDviO6Lz8Y,Burnt Ones,7sqdc4Jd2KZXOjpt19pwo2,Meet the Golden Ones,5z56UlZWotgFnRH7jdMpRf,4,https://p.scdn.co/mp3-preview/9f92de32b069b31f6609d6580c3a7123664f99cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,City In The Sky,1svv20NquteBdMVDeY9Tqd,Merlin's Magic Music Box,20phLTUWZkcBefNT78wzVZ,Merlin's Magic Music Box,5Yo5QNQs9Ow4sW1HmVOnBF,0,not available
34,Soul Arcade,2zRe2oTeGP4n2crqJ27kRp,Seth Pettersen,3KZ9mFfZobwNmnrg16k5vp,Natural Machine,5rlWnzKOmy0SC82lEcqpZK,0,https://p.scdn.co/mp3-preview/a242d2d0a0d6fc81c4edacef3e04d626fc5c5b83?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Flower Bomb,3xjn0indZheAGd5U8WDQxG,Cosmonauts,5fdHAaz0jnb4l2VEoHh5rb,New Psychic Denim,0RCodSsdmonR6PW4cudJWj,3,https://p.scdn.co/mp3-preview/705dc46f93cc786631b416d806e1164342e2d744?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Freak Magnet,2bs42yieuTpR2AGP2uvJD7,Thee Goochi Boiz,6Ix1ojMK7qDXe6rpHNddlm,Oops,0rEidUJRDVAfUX5wQYV0ne,0,https://p.scdn.co/mp3-preview/7bebb6de3e394ac9faa8bd8bece91e814dbe4fe5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
