100 Uplifting Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
84,Send Me on My Way,6hs3SDnbO3f6VQuPO4KBEb,Rusted Root,2M3vnW1p5w4uPRkLYTbvdB,Music From Party of Five,16rXhq1Hnf0568QnzYpHn3,72,https://p.scdn.co/mp3-preview/54067f16358d1a0f18be88f186590b271241bd6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,We Are Family,5IKLwqBQG6KU6MP2zP80Nu,Sister Sledge,6gkWznnJkdkwRPVcmnrays,We Are Family [Expanded],4GSidaoqyGNwaG5mNKmuLT,72,https://p.scdn.co/mp3-preview/26f5886af9af728d758a84ff045baab992878692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,Once in a Lifetime - 2005 Remaster,38Ngied9rBORlAbLYNCl4k,Talking Heads,2x9SpqnPi8rlE9pjHBwmSC,Remain In Light (Deluxe Version),3AQgdwMNCiN7awXch5fAaG,70,https://p.scdn.co/mp3-preview/892275affb593ba3641ead6a4e87df2473c8e833?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Walking on Broken Glass,4CcSw8wQAHYf4XNckayPoc,Annie Lennox,5MspMQqdVbdwP6ax3GXqum,Diva,33ImEB9taJ3Tie4APfTL7B,71,https://p.scdn.co/mp3-preview/5fd862611e0a7a205759183238c21f37b96ea4c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Over My Shoulder,0U9TKK9GYryei6Vn45TEdH,Mike & The Mechanics,2yTUYhIf8fxptTIy3KLuJD,Beggar On a Beach of Gold,0acx9TzkLwyCWNntG6b64H,67,https://p.scdn.co/mp3-preview/359ab5f1490675b9ea889b85a818c2af6e7e4264?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Rio - 2009 Remaster,43eBgYRTmu5BJnCJDBU5Hb,Duran Duran,0lZoBs4Pzo7R89JM9lxwoT,Rio (Collector's Edition),02tfQwJSOLP77oCd9U8bqm,62,https://p.scdn.co/mp3-preview/911346ddb91da91b73b26592c64aff6c3621996f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,It's My Life - 1997 Remaster,4jhsuQCUCJKA5f0bXb6XdJ,Talk Talk,7Fo8TAyGJr4VmhE68QamMf,It's My Life,152Hw6E0tNz3EQNq9c1CDf,68,https://p.scdn.co/mp3-preview/88114f34b988daf22d4e1dda080492981a06c9a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
91,(Your Love Keeps Lifting Me) Higher & Higher,5qyq1H5OPMlfuvZQ1wQNo7,Jackie Wilson,4VnomLtKTm9Ahe1tZfmZju,Higher And Higher,4OgYmImCWz3VK7At9GTWHN,67,https://p.scdn.co/mp3-preview/6c11178b8aab778d455e09f9f33754ffc55c0de2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Somewhere in My Heart,7kJXjcl5lk7g7fNQAVVpkl,Aztec Camera,7sbwBqdkynNUDgiWU3TQ5J,Love (Expanded),5KcrjSFjcLL9pdGaSSkOlp,57,https://p.scdn.co/mp3-preview/673b2c490fae801a32c0265357f4d337525376b8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,Move Your Feet,4DX82Vc8qAH4jJPvKxvwg6,Junior Senior,7xNPROyVfkH4mcIxxCxySm,D-D-Don't Don't Stop the Beat,1NwNUaRL9JFy6Ha2uWaKu7,69,https://p.scdn.co/mp3-preview/bdd21525c74e9dce5b1f9f46e073cf2efc7e6d40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,One More Time - Radio Edit [Short Radio Edit],0ijhkvBpA7OBlY4clWSUZw,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,"Musique, Vol. 1",4a0p1M12f7VaZWdoNSdEK4,63,https://p.scdn.co/mp3-preview/9bffd7dda9b9b9c72f9404591167f40fd857b459?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Stand by Me,7jmHyHMEqm9MJWiMAneF05,Ben E. King,3plJVWt88EqjvtuB4ZDRV3,Don't Play That Song,5QL7RNVpZIoIxElgdykaa8,63,https://p.scdn.co/mp3-preview/a2836da282e945651944f1cf86680caff41fff6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Don't Stop - 2018 Remaster,0JWqhXZWac03JFnt6qafGG,Fleetwood Mac,08GQAI4eElDnROBrJRGE0X,50 Years - Don't Stop,06JqOkwwy91OxrApXclzYf,52,https://p.scdn.co/mp3-preview/5a3fe963fccffe2bf61ee5c608e00ccebae638c6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
97,Higher Love - Single Version,5A4e6drENfQxSEWffJ5To9,Steve Winwood,5gxynDEKwNDgxGJmJjZyte,Classic Rock Mixtape,1lV4ZOD9yEGQkViu2BxopM,68,not available
98,Sailing (with The Royal Philharmonic Orchestra),4y5wDvvTBYcIozCTrFhKXR,Rod Stewart,2y8Jo9CKhJvtfeKOsYzRdT,Sailing (with The Royal Philharmonic Orchestra),4wap8XyYiitJMDQ3sFw1By,51,https://p.scdn.co/mp3-preview/7eab56c294a5412f23aa137f901a91c26eec2e19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,Lovely Day,0bRXwKfigvpKZUurwqAlEh,Bill Withers,1ThoqLcyIYvZn7iWbj8fsj,Menagerie,3QjPTUI6UcPr5m9RujkO3c,74,https://p.scdn.co/mp3-preview/300afa67fbdef1d924d3ac8730f308e7fae85823?cid=fa83a2fec7c440b7a2795d600d6b2c7e
100,I Got You Babe,4SGBuq37Ol4HJr7pQqFMKa,Sonny & Cher,71lGEtP9qYXDsSXjfexTqO,Look At Us,4VFnAIRrYMA3iEHpjNP5cH,66,https://p.scdn.co/mp3-preview/aefc2da104b3209c73b236fa189a946ee9dfe8b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
