100 Uplifting Songs,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
19,Riptide,7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,10exVja0key0uqUkk6LJRT,Dream Your Life Away,6rIbiUMmZJfqJRnXhVxFvg,78,https://p.scdn.co/mp3-preview/0dd45171d094ca8d374219054879662fe7982462?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Every Morning,2ouURa1AIXp3AvkS52Jry5,Sugar Ray,4uN3DsfENc7dp0OLO0FEIb,14:59,43NNW7iDuAE8pIouzvwWWi,66,https://p.scdn.co/mp3-preview/a6a38c3b3361c56319ff3ba9dcf6a557dda046d8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Valerie (feat. Amy Winehouse) - Version Revisited,631U6DaszJisq3TiaQ0vTM,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Version,74ooEOK4jY2ZCWjMK6pYmk,63,https://p.scdn.co/mp3-preview/3ba557e125f342567d169a9fbed3634e611987da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Pack Up,6TWEilSWDg8dCyTDIRqb50,Eliza Doolittle,14L5rpGTLVUz1pD8fUeJB1,Eliza Doolittle,34HC4x9rDSNYPt2fwnX0MF,54,https://p.scdn.co/mp3-preview/be0f20b09fd09a5b583c1412781ed84bec5ffb1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,High Hopes,2djdCbLj1pzRmrDNe7PkW2,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,High Hopes on Saturday Night,3HIpXil5vBzbHi4LPz51mk,62,https://p.scdn.co/mp3-preview/b05d183fb00956c3bb6290180361e4d1bd9127da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Now That I've Found You,4QSxcUAwEx5sFitOKZfQDN,Liam Gallagher,6sN51vEARnAAdBw1IKZ8Q9,Why Me? Why Not. (Deluxe Edition),6iInyjotj1rYpx3vbX0MxX,67,https://p.scdn.co/mp3-preview/995b65f84419ca454aca539b187976a8a442fe65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Time Is Now,7xG0XZhUxTu6Axewwq0jfN,Moloko,4aaBjq7VqqQvpSF69GglvO,Catalogue,5sCp2ukwrtpYj5wGfMx78M,58,https://p.scdn.co/mp3-preview/7689d01201caf25e0d4f3a8845f442c2e29d7c18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Josephine,6JFfOp1LTXnyDCTfHlOc9j,Chris Rea,5KEG7G8LDYlHgFDqZyEEs2,Shamrock Diaries,4DshZuvIZmKThL2D3cPJOZ,54,https://p.scdn.co/mp3-preview/c7d11b40cf0b309d4fcb8dc807e0d03ae3fe3c3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Brass in Pocket - 2006 Remaster,2hvOsGJc6qll4WzW8Ljqc3,Pretenders,0GByy3DcfbQwDvXGCWmzv9,Pretenders [Expanded & Remastered],4oDYsMBe7KtOu12VNMO75k,66,https://p.scdn.co/mp3-preview/eedafab6270e0ccba501b7560198f9e2d0f53148?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,The Best - Edit,2W2ieVidLIx9TDvxu0ZT6F,Tina Turner,1zuJe6b1roixEKMOtyrEak,Simply The Best,1ZFC0iOKUp4M16eHXVaeG4,72,https://p.scdn.co/mp3-preview/738d50b081e945b2ef2b392e902571b261b92ed1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,I'm Still Standing,1jDJFeK9x3OZboIAHsY9k2,Elton John,3PhoLpVuITZKcymswpck5b,Too Low For Zero,0OmYuz9hwn1XoqmDaU0yJ7,80,not available
30,I'm Yours,1EzrEOXmMH3G43AXT1y7pA,Jason Mraz,4phGZZrJZRo4ElhRtViYdl,We Sing. We Dance. We Steal Things.,04G0YylSjvDQZrjOfE5jA5,84,https://p.scdn.co/mp3-preview/c58f1bc9160754337b858a4eb824a6ac2321041d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
