Country Bound,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,259458,topsify
1,Good Vibes,49oBFP6ZHPtd6t33LFTD3E,Chris Janson,60gmlHZmT16wiO9GiXKYK9,Good Vibes,6eC1yisEI9vTlYLsPhCett,73,https://p.scdn.co/mp3-preview/47cdf2ffb8a08b323e40d690edf2dfad5d125c6d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,91,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Rearview Town,6MeZUtoHhs7TTbrUTtXVnM,Jason Aldean,3FfvYsEGaIb52QPXhg4DcH,Rearview Town,5f34GtT1lzD6MVCTZcffNh,54,https://p.scdn.co/mp3-preview/a0559117cffa081d6ad5e38c035d4cf03c665dcd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ridin' Roads,5OBtr92M0xsvOGqpnz3LzW,Dustin Lynch,1dID9zgn0OV0Y8ud7Mh2tS,Ridin' Roads,5k9qdzeVjlGweGxnb4cnGd,74,https://p.scdn.co/mp3-preview/0aa8e473dd4471d4736c050bf278a701663781e7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,I Hope,2Hc4t9N2nt37oO4sF9BynI,Gabby Barrett,6Iz3eq2aQGFf7TbGT2iahL,I Hope,35SOQhniusum2ewU72jdBh,71,https://p.scdn.co/mp3-preview/dc112fb8b03d634d23b3a66279a43adde638535f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Make Me Want To,0AYbVoeF03NYhM0fvKjAuU,Jimmie Allen,147nKr9upHZSSxqCzh9j7c,Mercury Lane,7EpN0TPMSMqGKVjIEzc0Ts,72,https://p.scdn.co/mp3-preview/094dc97e755448c6e92c23dddbec6970d0868990?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,The Hamptons,6eFp6pmzv4aXwM3nj3duaX,Walker County,4O8A9zKc4TrSgV0RQp0cRg,The Hamptons,1vKnsv9niW2eKjMXe307ca,28,https://p.scdn.co/mp3-preview/54c2a143728ced88c35bb6a0597b4268adcc050d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Waitin' on 5,5jWaJbUoIDS75HXcdVJNR1,Chris Janson,60gmlHZmT16wiO9GiXKYK9,Waitin' on 5,7xWqT7Iz4jzy0kRiMyfdcg,53,https://p.scdn.co/mp3-preview/aa8992ba7ab04d56d7641cd3dac6b5af6e75c28c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Tip of My Tongue,40ufL61vEaDaaOitYhnlQ7,Kenny Chesney,3grHWM9bx2E9vwJCdlRv9O,Tip of My Tongue,2neKEhAldnGfCDEkPE4kW0,75,https://p.scdn.co/mp3-preview/1aaa3d8e7f79f50d2b795aac98f972667fe4565c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Southbound,7qXPZxXn6Xmv1sjh03skiW,Carrie Underwood,4xFUf1FHVy696Q1JQZMTRj,Cry Pretty,6LURWtPusB5fGenqj0lbFd,74,not available
11,Even Though I'm Leaving,3sVLgsSTHRu483w6QciloO,Luke Combs,718COspgdWOnwOFpJHRZHS,The Prequel - EP,4nFW5W1gIwov6e4lAzn2vA,77,https://p.scdn.co/mp3-preview/ee0dc656f000fc8c6b303b749dffa8a2a7c5ab5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Drink About Me,3AghI4HcasKVSNnk17ptqU,Brett Kissel,6VOaUBrKfzd49nIAzjVKmm,Drink About Me,0d22U5h9Nw8MmslPF0bIM6,57,https://p.scdn.co/mp3-preview/094262ab9da289e29605670df6f182ddfae1c87d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Loved by a Country Boy,2n8pSdQ0HrzoRzwXsnYzuj,Trea Landon,0uzF7KK6coJpJvOW6Vrv1H,Loved by a Country Boy,4FGbK1IXsP6HRGaOi40VOm,58,https://p.scdn.co/mp3-preview/7b4ad421877c7573daa2d8177be5b6e63a07ac43?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Right Where I Left It,0OmNyDbXHj2txdfyDNviiR,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,Right Where I Left It,2XEa29TeZzeswhSztQB1tn,56,https://p.scdn.co/mp3-preview/cc9b1e1a81481f9b999c37364d1d5d247696e622?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,More Hearts Than Mine,0LcspVKJxhEQQSvVMiTPWz,Ingrid Andress,0jPnVIasXzBYjrlpO5irii,More Hearts Than Mine,4VMYwWFqX9vUv9otWLRRF5,66,https://p.scdn.co/mp3-preview/f63b5a15f76000fba922484d0d41d0bcc6630780?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Pretty Heart,6vC90OOjZR165Hw8CpsqEm,Parker McCollum,0Z8XVUAOBPM4x12wKnFHEQ,Pretty Heart,0S1UncFoVie2V0HKsf0G1u,65,not available
17,Livin' My Best Life,23dyF3k9LfRnG7rRIWWYJs,A Thousand Horses,55RI2GNCfyXr0f14uIdhwd,Livin' My Best Life,1bMedaV2jpYzvDhnJ6PLFj,36,https://p.scdn.co/mp3-preview/88af67f1582d3f93b8bd41de854e25cb880c2911?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,One Night Standards,5WyqIlRObmErasLN8MAXFS,Ashley McBryde,371jpyGdoChzUASOIG2ECV,One Night Standards,6pstNT0Xn7z9V38dhD48KL,61,https://p.scdn.co/mp3-preview/ccb67eda090f3148bec85baa8c9ffce57ab7dd4a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,"Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack)",3P9mtsqs0J79yGVmVuAs4B,Miranda Lambert,66lH4jAE7pqPlOlzUKbwA0,"Fooled Around and Fell in Love (feat. Maren Morris, Elle King, Ashley McBryde, Tenille Townes & Caylee Hammack)",6l4667PMmvxv6kEZT1SoPH,59,https://p.scdn.co/mp3-preview/3cc40ee953b64742e0fa3f1debfe3d3c400efc19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Anything She Says (feat. Seaforth),6LQxv30jh0lCISHsPYwqoy,Mitchell Tenpenny,1p6CdzJRoicjRcSdWoB9Qc,Anything She Says (feat. Seaforth),0xuuAAiiNHuLd3QUstmwMQ,71,https://p.scdn.co/mp3-preview/5a6e54aa650945b6ddac00164631b60511a2f4c3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Prayed For You,1cmnChE57SpRJR2oFNcTpv,Matt Stell,7EekKnlf2HwNaLLpL9Cpgy,Matt Stell,0j9HPvF8qRcifU23KR5w85,75,https://p.scdn.co/mp3-preview/5597be047926809508fd4a3b6e1f0bb22826aad8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,LA,3Fa9hQ4rQQdhxPdJc5NDij,Lainey Wilson,6tPHARSq45lQ8BSALCfkFC,Redneck Hollywood,613QlECyZpEDa6DTgkNAJ6,51,https://p.scdn.co/mp3-preview/1e4559eafb5460e0d9cca02e30e952e7ef3ee7c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Right Here Right Now,2LwvqL50LKRpWSUqJ3bdTf,Ryan Griffin,7dMEBGtGI6O7PoTEucAaBT,Right Here Right Now,011aq3wPmK181YivZHLNB6,57,https://p.scdn.co/mp3-preview/aec7e52e225bde9e094480285a0d1d3181fc5692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Beer Never Broke My Heart,7nfmK6oHPDlAd68A11d7AN,Luke Combs,718COspgdWOnwOFpJHRZHS,The Prequel - EP,4nFW5W1gIwov6e4lAzn2vA,81,https://p.scdn.co/mp3-preview/6a1fbf9017964d3ad2d1f11cf9288bc2eadd9c04?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Over Drinking,2wJM2t0mBN2uynetF6JzGT,Little Big Town,3CygdxquGHurS7f9LjNLkv,Over Drinking,3tgmw0Gwpp6yuxc0Y1y28Z,58,not available
26,My Song Too,0amZAptfnpLiI5MJG4eldc,Hunter Hayes,7H6dkUChT5EoOQtUVMg4cN,"Wild Blue, Part I",4AerVX7JHKcRt0riwyMMcZ,59,https://p.scdn.co/mp3-preview/d72b4c8a49df72cc27cadc0325802ab24583f6fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Love You Too Late,52MNypbTWiwybwzhXvsPk5,Cole Swindell,1mfDfLsMxYcOOZkzBxvSVW,All of It,2SxBuClrOCg8WZPXEDobmm,70,https://p.scdn.co/mp3-preview/7dbab54b94e1fe1f198e9f9b1eac8aeb1005cbf6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,One Thing Right,4hPpVbbakQNv8YTHYaOJP4,Marshmello,64KEffDW9EtZ1y2vBYgq8T,One Thing Right,4QAC6FquY8D0RXom13iE5J,89,https://p.scdn.co/mp3-preview/86a860d6266e657a2a47b7c2266a9a98c1ba564d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Hell Right (feat. Trace Adkins),3y8xKFhQWc8DARB3fuGMGA,Blake Shelton,1UTPBmNbXNTittyMJrNkvw,Hell Right (feat. Trace Adkins),48YMXYbvuTk4iY7MhZY3ML,73,https://p.scdn.co/mp3-preview/683824f862e97e573dcf3c6d06e78a5d5d949df9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Lonely If You Are,1Ut1A8UaNqGuwsHgWq75PW,Chase Rice,6pBNfggcZZDCmb0p92OnGn,Lonely If You Are,5oTMku8FuJiOES9xZ5Vvwb,72,https://p.scdn.co/mp3-preview/cb0729ae847eb6e38c6759b783762daa5289ecdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
