Women Of Music,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,9506,topsify
1,I Say a Little Prayer,3NfxSdJnVdon1axzloJgba,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Now,55HZ2ectg1mMTEKDqIq3kC,77,https://p.scdn.co/mp3-preview/358ec6aa9624b1f82788f6bf770721d2b57c8733?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Like a Prayer,1z3ugFmUKoCzGsI6jdY4Ci,Madonna,6tbjWDEIzxoDsBA1FuhfPW,Celebration (double disc version),43lok9zd7BW5CoYkXZs7S0,72,https://p.scdn.co/mp3-preview/b56a70770267b00ccae13c2e8c8a34ed54627d02?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Edge of Seventeen - 2016 Remaster,7L3b6iaVhDVjfo52Hbvh9Z,Stevie Nicks,7crPfGd2k81ekOoSqQKWWz,Bella Donna (2016 Remastered),0IomjU2bXFng4LQBYn7Het,64,https://p.scdn.co/mp3-preview/8a7059e2f27a1d160f7e4844e479f887e5900cd2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Hand in My Pocket - 2015 Remaster,2lE7oRoKssULAtbWViL385,Alanis Morissette,6ogn9necmbUdCppmNnGOdi,Jagged Little Pill (Remastered),5Ap3F8CxjjsQKZGASDcHNA,66,https://p.scdn.co/mp3-preview/3439f1702f76bf981d9df8052759efa42e6a6833?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Running Up That Hill (A Deal With God),75FEaRjZTKLhTrFGsfMUXR,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,Hounds Of Love,5BWl0bB1q0TqyFmkBEupZy,67,https://p.scdn.co/mp3-preview/a5ac1546e317ecd888fdf2fb7b7f015e24f841f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,bad guy,2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",0S0KGZnfBGSIssfF54WSJh,97,not available
7,So Am I,0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,So Am I,2XvFk3xrG7dV6GhqcJSQHX,86,https://p.scdn.co/mp3-preview/8683916dfa16b85a9dff1bf743e629790a2efe85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Heart Of Glass,4v2rkl1mC3zVAz0nXMx9r4,Blondie,4tpUmLEVLCGFr93o8hFFIB,Parallel Lines,4M6s2jbhKWEcOdXZ8WiHts,52,not available
9,Brass in Pocket - 2006 Remaster,2hvOsGJc6qll4WzW8Ljqc3,Pretenders,0GByy3DcfbQwDvXGCWmzv9,Pretenders [Expanded & Remastered],4oDYsMBe7KtOu12VNMO75k,66,https://p.scdn.co/mp3-preview/eedafab6270e0ccba501b7560198f9e2d0f53148?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Last Hurrah,0i0wnv9UoFdZ5MfuFGQzMy,Bebe Rexha,64M6ah0SkkRsnPGtGiRAbb,Last Hurrah,5ljc69MQ6iwGcJ4SmHaAh5,78,https://p.scdn.co/mp3-preview/544f1a165ee7ac62b8a5ddaac1147f977a0ba7ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Walking in Memphis,60Pwcnt2y9ML9VP4gwrcxm,Cher,72OaDtakiy6yFqkt4TsiFt,It's A Man's World,2PnxssdlO80Mt9ipZnu7MF,67,https://p.scdn.co/mp3-preview/d21dad8dfa18409d0428549ffdd12f75ca05e496?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,We Are Family,5IKLwqBQG6KU6MP2zP80Nu,Sister Sledge,6gkWznnJkdkwRPVcmnrays,We Are Family [Expanded],4GSidaoqyGNwaG5mNKmuLT,72,https://p.scdn.co/mp3-preview/26f5886af9af728d758a84ff045baab992878692?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,The Best - Edit,2W2ieVidLIx9TDvxu0ZT6F,Tina Turner,1zuJe6b1roixEKMOtyrEak,Simply The Best,1ZFC0iOKUp4M16eHXVaeG4,72,https://p.scdn.co/mp3-preview/738d50b081e945b2ef2b392e902571b261b92ed1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,I Wanna Dance with Somebody (Who Loves Me),2tUBqZG2AbRi7Q0BIrVrEj,Whitney Houston,6XpaIBNiVzIetEPCWDvAFP,Whitney,5Vdzprr5cOqXQo44eHeV7t,82,https://p.scdn.co/mp3-preview/3bb02cefe0aca5129bb4be624a3f0dba6f31409f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Hold My Hand,1eOJAiCKFuMda0fPRvjcuc,Jess Glynne,4ScCswdRlyA23odg9thgIO,I Cry When I Laugh,2xVeccmEU0zklK4XSKiDCW,60,https://p.scdn.co/mp3-preview/94bf21a26658ea01994b3b6aef3dc94090fd4fc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Respect,7s25THrKz86DM225dOYwnr,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,I Never Loved a Man the Way I Love You,5WndWfzGwCkHzAbQXVkg2V,73,https://p.scdn.co/mp3-preview/b0d0b4ec8963779239654542a0b33d25caf38156?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Ain't Nobody,53Za5vyGc1x7GxgJVRjRKc,Rufus,3MCjwjfIor5FkK3h639qkW,Stompin' At The Savoy,3j0kxKahatiR5d0sPPtTjP,62,https://p.scdn.co/mp3-preview/a947ed0964b7570d66ba6a22d66483c87dc50f31?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Rolling in the Deep,1eq1wUnLVLg4pdEfx9kajC,Adele,4dpARuHxo51G3z768sgnrY,21,7n3QJc7TBOxXtlYh4Ssll8,76,https://p.scdn.co/mp3-preview/b2ba47ab9af2b4cd08a04e45b94803bd076c209d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Cornflake Girl,1300POeOaj8qho30FRHjgf,Tori Amos,1KsASRNugxU85T0u6zSg32,Under the Pink,6VNuZLF98tsRYgqlIXAVCD,61,https://p.scdn.co/mp3-preview/0283d831601ffc044f8935c12f55c6168d5006e5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Linger - Acoustic Version,4oGuHZ966kmCmt3DRVxjXw,The Cranberries,7t0rwkOPGlDPEhaOcVtOt9,Something Else,0iBRl2CMi7gbt17WfdVI2r,51,https://p.scdn.co/mp3-preview/8051b0bf577314112acec3f41d7bd3f48aa9d288?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Walking on Broken Glass,4CcSw8wQAHYf4XNckayPoc,Annie Lennox,5MspMQqdVbdwP6ax3GXqum,Diva,33ImEB9taJ3Tie4APfTL7B,71,https://p.scdn.co/mp3-preview/5fd862611e0a7a205759183238c21f37b96ea4c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Your Song,46xkXPGjR9Ig9BcaTUNus3,Rita Ora,5CCwRZC6euC8Odo6y9X8jr,Phoenix (Deluxe),6Vn8F3hERVHYYz5RfKmsAN,65,https://p.scdn.co/mp3-preview/669ae2b6b5991673807265e3dafb3b25e165f79b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,"It Must Have Been Love - From ""Pretty Woman""",6qB7YcFpeBEQa0D6QO482y,Roxette,2SHhfs4BiDxGQ3oxqf0UHY,Don't Bore Us - Get To The Chorus! Roxette's Greatest Hits,6Zd1OLqFX5geleqvJ9xtAL,68,https://p.scdn.co/mp3-preview/a76b97080dee3bd95b1fb99b592910c976fd55f3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
