Chilled Indie,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2543,topsify
1,Heavenly,6dwNcWigdxPUcqfz2zM6GL,Cigarettes After Sex,1QAJqy2dA3ihHBFIHRphZj,Heavenly,7kFz92XFqgJ1mAOlbZT3ky,62,https://p.scdn.co/mp3-preview/eae6702755dd4ca3898ffc9760558ebd57b9e6ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Are You Bored Yet? (feat. Clairo),57RA3JGafJm5zRtKJiKPIm,Wallows,0NIPkIjTV8mB795yEIiPYL,Nothing Happens,7eed9MBclFPjjjvotfR2e9,79,https://p.scdn.co/mp3-preview/d09dcc3195e04df650274c22ef7fff041b5d22f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Sweetheart,1hgoiIqc5rVSOv4j7ByEkp,Long Beard,3truyDimkGtu58fxQj9Xv9,Sweetheart,1lzUh7B8iHD11c4z0yqx86,35,https://p.scdn.co/mp3-preview/5f9b24b738d3e53bfdc8626313797cfaa4467e95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,All I Wanted,47cWK5kUeVSPZ4vhb0knUj,Hannah Cohen,7ovXNdlB2DNSC16TbKgros,Welcome Home,2EfMonuPPufarxkmaLwvxC,37,https://p.scdn.co/mp3-preview/ea77c00021b0d5a23c1954de6eeca0e4f5794d01?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Passing Scene,2kvk5eRiC32f8Kfy9ENLLC,The Berries,3KP3fb4LMgdw2u8xvyQAnH,Passing Scene,49EHdnFdKhEsbHdnNx5FAF,23,https://p.scdn.co/mp3-preview/e7410224b7e1ec49845a34f0e20e721c5a71df5e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Ruin (my ride),6X4nQlctZ0QTnJBd3EC7ZA,Hovvdy,59RNNqeEfkq3X5pfOQxZ3C,Ruin (my ride),3S1MfFw2OBvdPCE0Fky1Tw,36,https://p.scdn.co/mp3-preview/97bd0e8552aa88b79ad2f08c7827a40eca0a2194?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Moment,2MNktvF6gpE5tHmQ3KnSMc,Pinegrove,2gbT6GPXMis0OAkZbEQCYB,Moment,4joRRAeSJKMozT6bykb7pJ,53,https://p.scdn.co/mp3-preview/1cc07a5d7c6686a32e3619b6c64515af9796d953?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Love Is Everywhere (Beware),4hrJhMznNddR7UThDKHSJy,Wilco,2QoU3awHVdcHS8LrZEKvSM,Love Is Everywhere (Beware),0xZgWQ2PZZnFK6T1Lr0OMv,60,https://p.scdn.co/mp3-preview/fdb0bd5e0a8ebee4f7b3a3d047dce2601a86eac0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Hotel Room,2nkGfRzemze9BgQMyaJuLl,Sofia Wolfson,5WPGc84zEZJXUIp2ELrNFN,Adulting,6HbenOj3dJaGyjJkbb1lJp,14,https://p.scdn.co/mp3-preview/00cd4cb815373646830f9ec69388561d79947c69?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Estrella,2MRGaS5YjKVwePeaMTAkxS,Cass McCombs,2iUVQjheBnvOt8vaBrxXJz,Tip of the Sphere,7A9lD57JDmqxshUGkvTdiG,36,https://p.scdn.co/mp3-preview/54ac7449325387ae68012885642e722642bf1bde?cid=fa83a2fec7c440b7a2795d600d6b2c7e
