Rock Nation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,The End of the Game,4zB544yCIaSw3cuHltMCRJ,Weezer,3jOstUTkEu2JkjvRdBA5Gu,The End of the Game,2oIIKGUt4telkfiygjJ4il,68,https://p.scdn.co/mp3-preview/92c0fc163f37f1081f9c9d0ae4fa5da5a2e0809b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,No More,2xECSFHPgCyElhTVRaHVYP,Disturbed,3TOqt5oJwL9BE2NG9MEwDa,Evolution (Deluxe Edition),1IpufqmucrxYUJQxf1AP0n,40,not available
22,The Old Me,7HIQfzq7uFZNZUxzK2OjbH,Memphis May Fire,7cNNNhdJDrt3vgQjwSavNf,Broken,6OjdYx9U5k0Tex2SAKyDSh,54,https://p.scdn.co/mp3-preview/ad536144c48994572cb9a05028655d07be301423?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Burnout,5vhT2fcFXcRPnJPQA0m1fv,10 Years,0REMf7H0VP6DwfZ9MbuWph,(how to live) AS GHOSTS,6bFbVc6Ozp6OEk7ueSqCxo,47,https://p.scdn.co/mp3-preview/fd8ff0e9b458d52583aca3403c5473145a3f17c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Shooting Stars,00kbL0ei9bVKAp9I23vF1l,Rival Sons,356c8AN5YWKvz86B4Sb1yf,Feral Roots,2OsED4DmBABqdP9NwGUpAu,48,https://p.scdn.co/mp3-preview/9f12c877c2a2a8e102e0f740a54576291cdbbe85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,History of Violence,1aML2CdNXjkJJvIhzqN6Ka,Theory of a Deadman,74eX4C98E4FCrAMl39qRsJ,History of Violence,3Pe76n9u3N2DlLHgiEA13G,61,https://p.scdn.co/mp3-preview/c06fcafb8701ac8aaae8e6c9cda7317dfc9de0fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,ATTENTION ATTENTION,0XRjftXFxSo0ZEC0ZdSxWQ,Shinedown,70BYFdaZbEKbeauJ670ysI,ATTENTION ATTENTION,0dtwIycvTaFNjo44QRwWz7,56,https://p.scdn.co/mp3-preview/4132819306b68eeef4148ebeff12477f69c3dc4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Pretty Waste,1j6XqVdSE5KlgfOxfXwiGX,BONES UK,16kd5X3pBMOtXdLlX5LcAw,Bones UK,3oGWjFc2ol3g4iIiCAXav3,50,https://p.scdn.co/mp3-preview/4cbe78995b1f778692c465accd148b280033a947?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Black Vultures,42rrPJg1u7rX7Rx52taVVn,Halestorm,6om12Ev5ppgoMy3OYSoech,Vicious,6hIMdrqgLXY73T9411Y7Ux,50,https://p.scdn.co/mp3-preview/40a10c314603357c7ead758a4f2d9b1f1eeb6409?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Thundersmith,4KPEOTaA3Ofd1Im31B1maq,Kobra And The Lotus,5hW7RukGK6ErG26zM3Sfzl,Evolution,5MwckFZZCUtZE51d10XXbg,34,https://p.scdn.co/mp3-preview/eaf8bd237fd304289c1fc312f155007b099f8db1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
