Biggest Songs Right Now,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,170879,topsify
1,"10,000 Hours (with Justin Bieber)",2wrJq5XKLnmhRXHIAf9xBa,Dan + Shay,7z5WFjZAIYejWy0NI5lv4T,"10,000 Hours (with Justin Bieber)",4ow6xJwn49gpWz7iHpOzWY,91,https://p.scdn.co/mp3-preview/a3e97b632968fe644ea13d758629e50b26d12c3d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Good As Hell,3Yh9lZcWyKrK9GjbhuS0hR,Lizzo,56oDRnqbIiwx4mymNEv7dS,Good As Hell,4CA8GvVF7swZafg0zYh9qq,91,https://p.scdn.co/mp3-preview/26fb41451edf62e4dac1049d1e0092e266a7b13f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Dance Monkey,5ZULALImTm80tzUbYQYM9d,Tones and I,2NjfBq1NflQcKSeiDooVjY,The Kids Are Coming,2pJXQvY0YeDvVJ9gMU9G7j,99,https://p.scdn.co/mp3-preview/535ffea66207a0fc07d57fbaea7b5594be797f9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Circles,21jGcNKet2qwijlDFuPiPb,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,4g1ZRSobMefqF6nelkgibi,97,not available
5,South of the Border (feat. Camila Cabello & Cardi B),4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,89,https://p.scdn.co/mp3-preview/7b43dd0c94b0af0c0401381a683d2f4833180ba3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,16,2wGfZBcArmMVrd4iUEDuF3,Highly Suspect,2pqd3HsfsvcBGtHvPOg6eg,16,2fyUUI6qFR57zGMRX84EB0,69,https://p.scdn.co/mp3-preview/65e93ff2946269e5d1647d56e76a25c255275914?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Mother,6rVNnvyNeibts1uOqdSNIw,Charlie Puth,6VuMaDnrHyPL1p4EHjYLi7,Mother,5OrSjlgjIvI3GmTnTt6wnT,77,https://p.scdn.co/mp3-preview/5792f5b46d7747a02eae853dc1dda8393274df34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Lover,0bzbvANY6oETSJLc0wlVGY,Taylor Swift,06HL4z0CvFAxyc27GXpf02,Lover,3rYkgtFOo9AlPaeKTtn6pM,77,not available
9,The Git Up,5dW1VZPcFqB4n0P08rGDgm,Blanco Brown,3yzRiNMZdTsSUgplcyYZ4i,The Git Up,00xSEAMEAPTF17t2rdOFYF,87,https://p.scdn.co/mp3-preview/bf19add55f2da6c1095f0d2a5fc47fdf0c6c0634?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Graveyard,6V9fHiv84WlVTg7CSnIVY2,Halsey,26VFTg2z8YR0cCuwLzESi2,Graveyard,66QwiCFDLtRbrZ5Vs9wlL9,90,not available
11,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
