EuroVolley 2019: The Official Playlist,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,15283,topsify
1,Let's Go Together (feat. Miss Angel & Jeremy Lior) [Official Song CEV EuroVolley 2019],3k8vpmyYEnePeOarivtuxp,Eva Pavli,02e7u8IzBCLIz0FKtYNITI,Let's Go Together (feat. Miss Angel & Jeremy Lior) [Official Song CEV EuroVolley 2019],4ip8YbJzyGKx4vU3tAzQwP,33,https://p.scdn.co/mp3-preview/5f6f436315b92b2f7c1af803c709e8d07ae636f5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Cross Me (feat. Chance the Rapper & PnB Rock),543bCW2ruMPmxUBWirQ3MR,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Cross Me (feat. Chance the Rapper & PnB Rock),5MKInakULmoBNApeB2ZB3A,83,https://p.scdn.co/mp3-preview/d5caccdfe52737ae696dfc02fdea2c7f5599231d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,High Hopes,2djdCbLj1pzRmrDNe7PkW2,Panic! At The Disco,20JZFwl6HVl6yg8a4H3ZqK,High Hopes on Saturday Night,3HIpXil5vBzbHi4LPz51mk,62,https://p.scdn.co/mp3-preview/b05d183fb00956c3bb6290180361e4d1bd9127da?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Sorry,6y1UtRcHQU07aUs3oxZ8Yn,Joel Corry,6DgP9otnZw5z6daOntINxp,Sorry,1PvEp0qeU6o2rm0i2qUC2N,83,https://p.scdn.co/mp3-preview/7821cae529a3cfafd1919b05a1c154e9cb5fc53d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Juice,0k664IuFwVP557Gnx7RhIl,Lizzo,56oDRnqbIiwx4mymNEv7dS,Cuz I Love You,6dFFcYQ8VhifgdKgYY5LYL,84,https://p.scdn.co/mp3-preview/7ca1598cec36c49118562b02491b9a030e233d88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Sun Comes Up,1TpOr4cSHCxvW86fG2v5bM,Rudimental,4WN5naL3ofxrVBgFpguzKo,Toast to Our Differences (Deluxe Edition),1cujDxjZaAtJXnvyW7sl3U,40,https://p.scdn.co/mp3-preview/f41d62f292e4bd7cc6b0f63ee119b4585a66f3f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Paradise,6nek1Nin9q48AVZcWs9e9D,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,Mylo Xyloto,2R7iJz5uaHjLEVnMkloO18,79,https://p.scdn.co/mp3-preview/99475c9d11e4df26ca9d1460fbe0654e687d79e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,All This Love (feat. Harlœ),0nxYyX5PIHJqF4VSb4CIFV,Robin Schulz,3t5xRXzsuZmMDkQzgOX35S,All This Love (feat. Harlœ),3mMaKYr6aPtFSHYUr7acxJ,77,https://p.scdn.co/mp3-preview/98487242c73774728294bd1292f3435e40bf6034?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Feel It Still,6QgjcU0zLnzq5OrUoSZ3OK,Portugal. The Man,4kI8Ie27vjvonwaB2ePh8T,Woodstock,4VzzEviJGYUtAeSsJlI9QB,81,https://p.scdn.co/mp3-preview/c32d9479367a99fcf5f881e23e1381e6f87214e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
