Perfect Rap Songs (As Debated By EITM),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,29,hot97.1
1,"Shook Ones, Pt. II",33ZXjLCpiINn8eQIDYEPTD,Mobb Deep,6O2zJ0tId7g07yzHtX0yap,The Infamous,1cCAb1vN8uUsdfEylVmTLs,75,https://p.scdn.co/mp3-preview/a7fb76a71c5117b78a3d0fcee9ca34722e7df973?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Stan - Radio Edit,2gLdBLuJjiXr09SxXgEJUx,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Stan,4lmZWonNxWRcJmd3h8Csne,27,not available
3,Ni**as In Paris,2KpCpk6HjXXLb7nnXoXA5O,JAY Z,3nFkdlSjzX9mRTtwJOzDYB,Top Five (Music From And Inspired By The Motion Picture),1RhLcw3zLwYqNRFQZszBOG,73,not available
4,Stan,3UmaczJpikHgJFyBTAJVoz,Eminem,7dGJo4pcD2V6oG8kP0tJRR,The Marshall Mathers LP,6t7956yu5zYf5A829XRiHC,75,not available
5,What We Do,5kDkWHFx0AEvJ1Pfm2i0ac,Freeway,2Jwr7hGoSNK3S3QBxh3T0z,Philadelphia Freeway,41guLY5GEPG3GLREh0ck19,54,not available
6,"It's All About the Benjamins (feat. The Notorious B.I.G., Lil' Kim & The Lox) - Remix",3GMR3hyv8BccozoebVMve3,Diddy,59wfkuBoNyhDMQGCljbUbA,No Way Out,4OGaOZUHLhSeiicZB909aL,55,https://p.scdn.co/mp3-preview/ad55e7deaca06bb4092b1073afac18b4be9a4776?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Passin' Me By,4G3dZN9o3o2X4VKwt4CLts,The Pharcyde,7yk35uHNQclPXFGFoTU44w,Bizarre Ride II The Pharcyde,48kU5gP41TqZEw32Cwhsna,68,not available
8,It Was A Good Day,2qOm7ukLyHUXWyR4ZWLwxA,Ice Cube,3Mcii5XWf6E0lrY3Uky4cA,The Predator,71HM1CMYWeZzws8pyiEn46,75,not available
9,Juicy - 2005 Remaster,5ByAIlEEnxYdvpnezg7HTX,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Ready to Die (The Remaster),2HTbQ0RHwukKVXAlTmCZP2,78,https://p.scdn.co/mp3-preview/04edad628874515d2316e6946a2f815f645328f1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,One More Chance / Stay with Me - Radio Edit,1nU9Fn9kh4pQ9zSghlh1Ka,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,One More Chance,6bj9JFEnqeqLoIwAQoZfXY,56,https://p.scdn.co/mp3-preview/48c3ec275517368f942ab025cf98ae99f890445d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Warning - 2005 Remaster,33rsCCLHklTQav9klbpnAi,The Notorious B.I.G.,5me0Irg2ANcsgc93uaYrpb,Ready to Die (The Remaster),2HTbQ0RHwukKVXAlTmCZP2,62,https://p.scdn.co/mp3-preview/0c0d403cda3839d9d5037537d932355135b0dd9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Lost Ones,71XhXay6rKPZCVAaDtFlSR,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,1BZoqf8Zje5nGdwZhOjAtD,61,https://p.scdn.co/mp3-preview/0c0e63b9ff5c3e356a943173e62e70e0081d994a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,C.R.E.A.M.,119c93MHjrDLJTApCVGpvx,Wu-Tang Clan,34EP7KEpOjXcM2TCat1ISk,Enter The Wu-Tang (36 Chambers) [Expanded Edition],3tQd5mwBtVyxCoEo4htGAV,75,https://p.scdn.co/mp3-preview/9afc70b5681f6df86be8af7747372979302c43e8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Children's Story,71A6V5dh5Y8ikhm6NGwZ7p,Slick Rick,1W9qOBYRTfP7HcizWN43G1,The Great Adventures Of Slick Rick,71mmTJdWvpkzQNmVfFbRdN,56,not available
15,Mind Playin' Tricks,3myrzRJNm3fOLWliErE7GF,Geto Boys,3f5fB1YUbkUnW7cf7I0R48,Best of Geto Boys & Scarface,5zb5fCp1kmQeQ4ks46C6x1,45,https://p.scdn.co/mp3-preview/539bbab354a5f361cf2da56ee68a6ea0d9d98fb4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,Ms. Jackson,0I3q5fE6wg7LIfHGngUTnV,OutKast,1G9G7WwrXka3Z1r7aIDjI7,Stankonia,2tm3Ht61kqqRZtIYsBjxEj,78,https://p.scdn.co/mp3-preview/36ade9974fa85079e996dd9aca93af62c4e88711?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Microphone Fiend,0cSJGFChou7M6u2ju9SWN1,Eric B. & Rakim,6jHG1YQkqgojdEzerwvrVv,Follow The Leader,42p4dRDB24b9mvBmMb0QR9,50,not available
18,Do You Care?,5ndBtLAqh1DFWIRYGd6eo5,TJ Porter,3z3xPw2NyqrZgITJS0Xvs4,Do You Care?,4Rqi3Fea4HeQqUM4y2qy6x,43,not available
19,Sprung,5mZdZdjzqL4o1lGlXiP680,Saneit,1fVgfRl84IG589m5VFZWp0,Crush,0niSiYrXgy8hug5ZzjwB7H,1,https://p.scdn.co/mp3-preview/bef6eb890f94ad003a9ffd3a75458ac37a4d90e9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
