In Heavy Rotation,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
10,Welcome To The Party (feat. Nicki MInaj) - Remix,0i56hhAdCCT5KqZIy4pHQ4,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Welcome To The Party (Remix),51F2ekuk5qdwFSLFgzq1YL,66,not available
11,MEGATRON,1ZDmxwg7Lywlx68b7SsJjj,Nicki Minaj,0hCNtLu0JehylgoiP8L4Gh,MEGATRON,4PsIFkX5QIvAI0xB7qHugW,79,not available
12,Drogba (Joanna),4E0teOQQQwagLVvQ7VfYm1,Afro B,7oMRcCu0OYSCtCyS3P37iC,Afrowave 2,1R3refsYPuUJ4yl7sNqir1,71,https://p.scdn.co/mp3-preview/8189f5d4ff5128e24c9dc195fe22f68de2bbea13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Wiggle It (feat. City Girls),4vfsh1GHqHZtTlkusq9j5E,French Montana,6vXTefBL93Dj5IqAWq6OTv,Wiggle It (feat. City Girls),7AZN74ru3v8P69ef0TTAn0,74,https://p.scdn.co/mp3-preview/d004b5e85ce93620067cdd75a0abb297f43738e1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Baby Sitter (feat. Offset),7f1zjZG77S891Uv4O68yfk,DaBaby,4r63FhuTkUYltbVAg5TQnk,Baby On Baby,0O1PJ0t69iTO5yWrIeIga0,83,not available
15,2 AM (feat. Tory Lanez & Davido),1QJMplrWRTmL9DUAvWA66R,Casanova,6dXsR7VDJvXnF1LTZlwULx,Free At Last,3NFWCRbtmJco0bf4TwUbTd,42,not available
16,Birthday (feat. Monty),3VN7XvP708u6V9U0CxOlzi,Fetty Wap,6PXS4YHDkKvl1wkIl4V8DL,Birthday (feat. Monty),6udQgzYavJz1rg3fy7Od5O,70,https://p.scdn.co/mp3-preview/7ca3a1076e4e3998c2d4c8099a30c391cf37ebed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Startender (feat. Offset and Tyga),6uSSupG4TMu3vW8QgynAB6,A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,Startender (feat. Offset and Tyga),6qx6AMrns8Ruk1FinKg2qK,69,https://p.scdn.co/mp3-preview/26328dae6170f2d51ef6b52abc97b97cec84c271?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Leave Em Alone,1bIEvOOqf2V3QBrFiClE3Y,Quality Control,6i392l38cR3uBPF0DbNs7S,Leave Em Alone,5KUB5SrzL7i7vNlUFd0wXH,71,not available
19,Ballin' (feat. Roddy Ricch),3QzAOrNlsabgbMwlZt7TAY,Mustard,0YinUQ50QDB7ZxSCLyQ40k,Perfect Ten,2WrNHOba5u6P9S9xEboaUy,84,not available
20,BROWN SKIN GIRL,0B3FovCVaGKS5w1FTidEUP,Blue Ivy,3XV0lFzNs8BCTwhJTcMiBr,The Lion King: The Gift,552zi1M53PQAX5OH4FIdTx,77,https://p.scdn.co/mp3-preview/919c83819c5bb9a0097635dd978f9c74135a9cc2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,On Chill (feat. Jeremih),3TXKwYk2H7hZQFB0j8z4yq,Wale,67nwj3Y5sZQLl72VNUHEYE,On Chill (feat. Jeremih),6T6uGWwXe0mq15ndVGvU2n,79,https://p.scdn.co/mp3-preview/6a7b7e75ae5dd5710051f4ab6d6c954c0b7b4f20?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Panini,6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,7jVv8c5Fj3E9VhNjxT4snq,7 EP,4IRiXE5NROxknUSAUSjMoO,93,https://p.scdn.co/mp3-preview/8871fb467ee763bec16fe5260c103a1bb9e852d4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Pop Out (feat. Lil Tjay),6uFn47ACjqYkc0jADwEdj1,Polo G,6AgTAQt8XS6jRWi4sX7w49,Die A Legend,26ztFK3E69j5THJQdyxC5w,88,https://p.scdn.co/mp3-preview/505ae166c11669c630873c84719b6eb1346fd097?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Ready Set (feat. Big Sean),5wlwbEGB1y9nov8qj3yfkZ,Kash Doll,3u579Gdap91lMptBSdXTpf,Ready Set,343SSLPC1MpxYdNSZtczuA,53,not available
25,Dior,79s5XnCN4TJKTVMSmOx8Ep,Pop Smoke,0eDvMgVFoNV3TpwtrVCoTj,Meet The Woo,6d1vGZsr6Uy3h9IigBpPAf,69,not available
