WHO'S NEXT,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
16,Hit A Lick,7GfFLYZ9WVH5e2W3S9RzNS,Lud Foe,0Cu32uCaqDJYQADOev92Et,Hit A Lick,4ceDLN4QWiKr5RAxOdrNoE,26,https://p.scdn.co/mp3-preview/0a7a706c1cf3994bb791d995503e25c48016bc74?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,War,7rbatraxBNnPuAYgdYPrzM,Tray Pizzy,06FdklFiv5MJWOCZheB4ep,80 Side,7M2Iu3v1TJlW4zjEWjtmEh,4,https://p.scdn.co/mp3-preview/1d17f60f9916fc5eb768857e8eb23d7389587267?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Whatz Poppin',1DX7SNBcikOa3740rnYXl1,Fireman Band$,11Fpds4pMjtQ20NBztqgZw,Whatz Poppin',1YtEeDpLlSaiblxrf5ognz,3,https://p.scdn.co/mp3-preview/ffd38a0d5bbcbb356ffb49ecaf3450ebf8bc2ace?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Ridin (feat. Landon Cube & YBN Nahmir),1zQ6uJovEnJTvExEfAL6vT,Yung Bans,6WkUZyqghQei2G809wMKuZ,Yung Bans Vol. 5,5SUCWEBHIyHPet1gAdSsPp,68,https://p.scdn.co/mp3-preview/035033450a33902a89df266c6f79ee917149faa3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Ride With Me,1KBrs7PLVKbuqS0dML7bq4,Thutmose,1igl9M102nuD96lo3ZoW5d,Ride With Me,1YcgJlcDRcxyCeSrkvF8o2,0,not available
21,Loosey Goosey,5A7wrFZ95T0wCj07q0fVWJ,Frequent C,6kb5xzIYTmrboUlzyBGMc0,Loosey Goosey,6eQ81BQwRYcPbQgcsVoQfK,0,https://p.scdn.co/mp3-preview/b58bc269283877b7408a06305f45acbd877390dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Rise (Bonus Track),1cy2vuoR0CBJ7mbQQpt5x8,Cammy-Kun,7iwZL8WC0B7x7AFCkgJQ1R,Limited Options,0lZt83KADlESxO4oLl3zhO,0,https://p.scdn.co/mp3-preview/60ae2c868c188e97edd1fa12fbe785e372eacd11?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Have a Nice Day,1hM2t3TiqfJWHW2FJCTPlR,Frequent C,6kb5xzIYTmrboUlzyBGMc0,Have a Nice Day,5qtYiHnLL4QnyRDraJoQli,0,https://p.scdn.co/mp3-preview/60cf125a82b48563425a4bdb9a08aa2f920f8b6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Bye Felicia (feat. Lil Freaky),1vImvGNivQ430olERQKVho,DJ Outta Space,20p1V4iq66hmrq9mgJfdMN,Bye Felicia (feat. Lil Freaky),2aWtEM9Fs1g4NpLP01PpRV,10,https://p.scdn.co/mp3-preview/89cf66a86506b022b8f7fb413e6d498dc9f58e85?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Where The Bag At,7GlZhPkCA259c3ICFU0eaG,City Girls,37hAfseJWi0G3Scife12Il,PERIOD,1Lj2lKxrwpvuZkKjZAgrKl,60,not available
26,Smack A Bitch,1nrsFfACPG4Hnw5AuOpCND,Rico Nasty,2OaHYHb2XcFPvqL3VsyPzU,Smack A Bitch,3Ja54bCouLvrDLt3XKzMii,72,https://p.scdn.co/mp3-preview/13320b9b3af8c3dfde55776efa02380e15690b3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Finesse,3usLSYADveILapdSLIAICH,Shaq Dup,2zcsUBdii1B9W5SRIABgPd,Finesse,0PiPrLEawrkBDkwSBP0Y7H,0,not available
28,Keys 2 Her Soul,5PFAvyGumPIgzwggjkqkVt,Shaq Dup,2zcsUBdii1B9W5SRIABgPd,Keys 2 Her Soul,6c6MSs0zCIMhB6vIK7AX57,0,https://p.scdn.co/mp3-preview/b5f07b0a48f52c0863a59fc9329d62a86981ba50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Mercedes,4Ouvu3k6PIyLqGrQcTo1b4,Frequent C,6kb5xzIYTmrboUlzyBGMc0,Mercedes,7erpEX5ZCYwq7MTLOT3ZWx,0,https://p.scdn.co/mp3-preview/6e9b8c305308136c6e42a5ec75d42708c286488c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Drama,3pTn3hONbvjpfsPrNPRWXy,Cammy-Kun,7iwZL8WC0B7x7AFCkgJQ1R,Drama,26wrUdNSVemtyMt9dcxpBw,0,https://p.scdn.co/mp3-preview/c2d2c7801f5336c70dec1ade4f6162e01427aadf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Dreams,0yjpmSyN4cBC8cBlkTkXEX,Cammy-Kun,7iwZL8WC0B7x7AFCkgJQ1R,Limited Options,0lZt83KADlESxO4oLl3zhO,0,https://p.scdn.co/mp3-preview/5af0aa75581abf5ab659362f684324fc23c7d7a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Lifestyle,0RWulZ9YhgMMAHw9gyDYmK,SG Tip,6wtgjn8ZMo8Y9d0iddh35i,Block Boy,7l6vKNB1En1AEm1fjTcdky,26,https://p.scdn.co/mp3-preview/c707281e1e5b2c6feb3c641d0561993c19e82220?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Leave Me Alone,5vDvBD3ReINP8dXUplj477,Flipp Dinero,2HUwZ0kumzCSlhFcjFZfpp,Leave Me Alone,5CqidnVWVxATLLgWn2Dl0e,7,not available
34,Island Gyal,45yRXr2HPVeQP4H3NjzhLZ,Raja,59LJ3LGiYdmVO3R9Slv1mz,Island Gyal,3ARj4t5llhyc62MY6qzo2f,42,https://p.scdn.co/mp3-preview/7e05fd7aff7c7df324abd410db9dd3da1e66e339?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Russian Cream,03ThZweiBWFP8tOGsk6QMO,Key Glock,0RESbWvOMyua0yuyVrztJ5,Glock Bond,1J4REuUZfX1OjjQhi9whzA,68,https://p.scdn.co/mp3-preview/7985b3cf186377ba73707b43fafbd2ad85f33c84?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Questions,76BraOlQ5v6GYcVdZE0xVZ,Jay Aura,05dF0nCoBDq1g2dGvfdtf7,Questions,6YPZT1QRxENqHpgOOBRKvo,1,https://p.scdn.co/mp3-preview/b8160da9191b8f8a0a812b4a2f5743385c758218?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,How I Feel,1zSRyNMhOI1ASNRUjF6xJU,Good Gas,0mZbFsWo9tHccJsYkrIczQ,Good Gas (Vol. 1),6c3fBlEg7UYVC9hMLxOgsl,25,https://p.scdn.co/mp3-preview/7e7cca8a3e2ef4e89dc898851043cca2edd0acbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,I Heard You Got Too Litt Last Night,4A5owiyEiYxDuDPvTrRCxS,SAINt JHN,0H39MdGGX6dbnnQPt6NQkZ,Collection One,6Pwhmyxs3pY7JetlZibZqr,63,https://p.scdn.co/mp3-preview/daca58d7e873d0a80e222a9acd604ff8a86ef747?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Oh Okay (feat. Young Thug & Lil Baby),5ZvweJ78bnsjDnuv7zXbNk,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,Drip Season 3,6caD9fY0HMXWCqg8uWL2vs,1,not available
40,BLEACH,0dWOFwdXrbBUYqD9DLsoyK,BROCKHAMPTON,1Bl6wpkWCQ4KVgnASpvzzA,SATURATION III,5c2AzoNyr46fCQM5d8mxE0,75,https://p.scdn.co/mp3-preview/0275a1e91ff158f4dd33f8aaa9bc88a1a2c3c901?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Only One,6CCauOdlrx5HRIquKW4BtR,Tammy Rivera,2OPTxy7o2w3pOL83yyV8dw,Only One,7DQxQoDK3go8y5jbcH6WTg,34,https://p.scdn.co/mp3-preview/1d8916dfad2f63332056de1713263a1c1ec937d0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Buried Alive (feat. Bodega Bamz),1DRrozR34JjnymBc2W4cET,Beanz,1MpEKr48JzSZMwbifjxu8Z,New Found Gold,3MCuhXRng4ErkcCoFc20ex,7,https://p.scdn.co/mp3-preview/7d894be9e5005042675d0dbbe282dc9deda9a5a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Blue,7mwCK1sREKPPMOfYfRy34p,Lolo Zouaï,2qDIR2WlcW3llkGqJWg9VJ,Blue,7BfTOD5vzpMa5SSj4OC6ko,3,not available
44,Walking Trophy,4hGHcdD5IwjAkftalZm5an,HoodCelebrityy,5t6cgFa6vbJbNuxUTgT1L9,Walking Trophy,6ICKorSKAkAq2lQBv00NJf,60,https://p.scdn.co/mp3-preview/44d441d7ca57e61f0f112c7888488975b84029fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Where The Bag At,6xNTiR5n1BbzY6sz8dmUdo,City Girls,37hAfseJWi0G3Scife12Il,Where The Bag At,0uVAVlI7CbJvLwfc8Iv54s,30,not available
46,ICY GRL,5TlWkwZyx3L5Dh3yybmxHO,Saweetie,6cK3NBO6uP7hh0oyuVELFl,ICY GRL,10O4neWw5ntPtJXfOpAyFo,63,https://p.scdn.co/mp3-preview/be9139a780b0b67c1638e1368a9b98c5ca9004a9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Naked,4E3FwGMzfnpG5TScXYUiaZ,Ella Mai,7HkdQ0gt53LP4zmHsL0nap,Naked,7eya0F4XVH0Te1lBMYeXch,5,not available
48,Belong to You (feat. 6LACK),2I88NEWpKrAPZuapXNV5G6,Sabrina Claudio,30DhU7BDmF4PH0JVhu8ZRg,About Time,2ICdqEf91Kc9FwdlLtB748,70,https://p.scdn.co/mp3-preview/80a7a092370b34d33417eb2467ecb14b6ec710cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Rent to Own,09Xm0y5IT5cGVP3rdTLNcd,Az is,3qV1cYXnAFDGoPjxDTGnkP,Rent to Own,4wIV7Imsv1dGAYuqH4Hjbh,28,https://p.scdn.co/mp3-preview/c634a7070ec54e32fcb1a30de31bf1a27a9acbf0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Cotton Candy,2Qk3arYe9kMXtwq5sc4cC7,Jessie Reyez,3KedxarmBCyFBevnqQHy3P,Cotton Candy,6RfOw8x2vmRaM6XZDJWQn0,49,not available
51,Different Type of Time,3fw1VfnjSuNu9Okn4S0ayr,Frankk Finesse,6QM8OLAk4GcDkO9FipBkgr,Different Type of Time,17BDWuUCXtJxF7FSD6SI63,9,https://p.scdn.co/mp3-preview/b4f025aa2ebb11cec1296f8da618484402a31764?cid=fa83a2fec7c440b7a2795d600d6b2c7e
52,Walking Trophy,6Gmysz04cSlQNhWHvBEO4a,HoodCelebrityy,5t6cgFa6vbJbNuxUTgT1L9,Walking Trophy,39Y9PFRKPR3EE5qzKxv709,0,not available
53,Get You Back,0rms1pZz0m4eYn6AtSfvT3,Marvin Dolo,5UQBWR0edHp1ZuQvqsdsT3,The Red Room,3rPNmoXgjMWBg0EXuoYJcW,0,not available
54,Body,0ZuS9NGwWCqKiPbY28f2Q4,Elijah the Boy,5XpJbIBARySGZhpPyz3v1k,Mood Swings,0fK0vKSUPsexh8xhOnX5tx,0,not available
55,Famous,6aTNfIir5pZmrFOC1gnxXB,French Montana,6vXTefBL93Dj5IqAWq6OTv,Jungle Rules,4c2p3TdN7NcQfCXyueCNnC,60,https://p.scdn.co/mp3-preview/6dc9f21a238fcc447e57180fa4399a576aa1f898?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,If Only,1BttsBZBt3GWGJ2Gpkwxyl,Raveena,2kQnsbKnIiMahOetwlfcaS,Shanti,0u5GdeMzPuGFMbkJgt2RHz,42,https://p.scdn.co/mp3-preview/fe66534f6ff3d78049d8a7ff583912713f35baea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
