Hits du Moment,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
24,Takeaway,6wo37KVqFJhtuxPTpLCcfe,The Chainsmokers,69GGBxA162lTqCwzJG5jLp,World War Joy...Takeaway,1JawI0XkEwmQ5Bwef3RMbq,92,https://p.scdn.co/mp3-preview/d6acd39ff853fe8d1fd60603143c60eda0f7f672?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Flou,3b89BehicGUgc60pLBo092,Angèle,3QVolfxko2UyCOtexhVTli,Brol,6KSvWFf4g4PrIldtchJsTC,74,not available
26,Beautiful,0UOtMNhi7gTH2r9xnskmjc,The Avener,0e6qzpphJHtObTSwD75mi0,Beautiful,0sWa77uRQc6jRi2OHbNOxf,67,not available
27,Children,0lz4rVOk2ovGAS5aWjaPTA,MATTN,1RQ3ZwCNI7KniEKIN5kkio,Children,3ogv1GgIeGp8DPGmJky4zI,67,https://p.scdn.co/mp3-preview/012e1c8c12313b260dd15e86263a28286bdcc777?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Soleil,5SNfvgi4TUwx4Si0lFn3G2,Roméo Elvis,2pHk4wAmL7ofTAuvCIUWtv,Chocolat,6hIAy4WsqxwWnGvZYdjnHO,75,not available
29,Unstoppable,1yvMUkIOTeUNtNWlWRgANS,Sia,5WUlDfRSoLAfcVSX1WnrxN,This Is Acting (Deluxe Version),2eV6DIPDnGl1idcjww6xyX,74,https://p.scdn.co/mp3-preview/da964c2f57dc006b61ce672ee5e04214e6d247ce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Goodbyes (Feat. Young Thug),6vBdBCoOhKHiYDDOcorfNo,Post Malone,246dkjvS1zLTtiykXe5h60,Goodbyes (Feat. Young Thug),4FFBjcmX06VmazABtpRMyv,87,not available
31,Post Malone (feat. RANI),0qc4QlcCxVTGyShurEv1UU,Sam Feldt,20gsENnposVs2I4rQ5kvrf,Magnets EP,41S9bfzXTSGK4HU2mp5qXH,89,https://p.scdn.co/mp3-preview/b74cd0ca94e2907bcd64827ba5208279f02a4064?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Beautiful People (feat. Khalid),4evmHXcjt3bTUHD1cvny97,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,Beautiful People (feat. Khalid),3E12WU80fDMyu7GyIAx7wJ,95,https://p.scdn.co/mp3-preview/f94d8d0c1b37773ff493e7d83930545e3425ccd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Dans l'univers,2PYXOG6GdxF9sUIH2NfOAD,Nekfeu,4LXBc13z5EWsc5N32bLxfH,Les étoiles vagabondes : expansion,3TDNimUU4nzPRD8BEwiZ0i,75,not available
34,Summer Is a Curse,0cSNN4fgW1RFDQV58eVRKK,The Faim,6VsU92soWFLtVsSP65rkrN,Summer Is a Curse,1yQQOHHAxZAc1sI5K4sHrJ,68,https://p.scdn.co/mp3-preview/9362178f7985e3430aecab91583fd5f853243ddc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Liar,7LzouaWGFCy4tkXDOOnEyM,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Liar,3xgS4rfthlsvhW7J2WLiiR,93,https://p.scdn.co/mp3-preview/10cc798e1e25bb65f13cbe166aa77e51e2f11474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Tombé,399mh97iAmjU34de5MebHp,M. Pokora,6euPnGzBlDysAC5ecVguNZ,PYRAMIDE,4SGj2EwogAMqiN2imHvJSb,68,https://p.scdn.co/mp3-preview/23c3af4934a23a9b4c26c55df7e0ea3b07ee8520?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Ransom,1kBbgxAUc4HQv7cgIayIDH,Lil Tecca,4Ga1P7PMIsmqEZqhYZQgDo,Ransom,4Mz9ZCE83IiaVC9ejMqxky,87,not available
38,Rescue Me,0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,5Pwc4xIPtQLFEnJriah9YJ,Rescue Me,57BhVBJbVPfIbwLANO5fSe,88,not available
39,Can We Pretend (feat. Cash Cash),68t9p1qXaslaaxk4xhTd4m,P!nk,1KCSPY1glIKqW2TotWuXOR,Hurts 2B Human,6JKkXVEljQJ1wKbRG5MywC,69,https://p.scdn.co/mp3-preview/5e10fb922b2432b3dff86ebcd51f7491a2429302?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Hola Señorita,4DaMDiRi2VukvrLfJDtmTu,Maître Gims,0GOx72r5AAEKRGQFn3xqXK,Ceinture noire (Transcendance),1YXFTSMHY8kqwiJDDuOIrH,71,https://p.scdn.co/mp3-preview/1ee1bba3e880d42a12c351d0ab298eb4453a0aa4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,3 Nights,1tNJrcVe6gwLEiZCtprs1u,Dominic Fike,6USv9qhCn6zfxlBQIYJ9qs,"Don't Forget About Me, Demos",1DNx0H5ZX1ax3yyRwtgT4S,89,https://p.scdn.co/mp3-preview/4541d9fdce0a1a70103690863356bee8ca05d02b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Be Honest,5TTZ0fMZVLLseFk7NC6NRz,Jorja Smith,1CoZyIx7UvdxT5c8UkMzHd,Be Honest,6m1rhoUSfIPF1RMOigQdUL,68,https://p.scdn.co/mp3-preview/875a798405e990f5fd677bb54ac9de196d9a2d2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Un peu de haine,5yYfCoMrhcuxMP9CAmA2rU,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,Mental,0HCMpqJsF9hym2f4uKbfUV,80,https://p.scdn.co/mp3-preview/2b43b29d4669315c19059c018f8c7560f6cff680?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Someone You Loved,2TIlqbIneP0ZY1O0EzYLlc,Lewis Capaldi,4GNC7GD6oZMSxPGyXy4MNB,Breach,0NVQ9k3wKmuK6T02lLMl6y,88,not available
45,Circles,51MMC5DogGZAnHil5HQAXg,Post Malone,246dkjvS1zLTtiykXe5h60,Hollywood's Bleeding,3KziODx7ieQTgYCVrS6nBv,84,not available
46,Soldat,7JLz24ZQtl7tIb0ePwlBfI,Aya Nakamura,7IlRNXHjoOCgEAWN5qYksg,NAKAMURA,4D27Q5VjZPoGzq0Ls7KbXS,73,https://p.scdn.co/mp3-preview/aabc389c6a7ec04c3d4d0444d5e246add031b7b5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,I'll Never Love Again - Film Version - Radio Edit,3DKpA54hrFIdPN6AtL9HXa,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,A Star Is Born Soundtrack (Without Dialogue),3edjzMAVB9RYRd4UcZBchx,74,not available
48,Torn,2GdxQw8NwoeH8tKySg6nym,Ava Max,4npEfmQ6YuiwW1GpUmaq3F,Torn,6a6Dy4LaFvh43Ed5lomDEd,80,https://p.scdn.co/mp3-preview/1ff3cfa3fc477d266958ba7a0dbbdd0e287f9b93?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Donnez-moi,565cBVRiWMVLopvwOcpoQ5,Les Frangines,2sYOUJa6fNc4ke4Zo6EkZ4,Les Frangines,7eJ3X8cyyugIf8F6zp7TMg,62,https://p.scdn.co/mp3-preview/8e5ed3250380b0a76113b121fc187498abe6f378?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Don’t Call Me Angel (Charlie’s Angels) (with Miley Cyrus & Lana Del Rey),3NkJNL3WqO1Lqc3uNDxvCN,Ariana Grande,66CXWjxzNUsdJxJ2JdwvnR,Don’t Call Me Angel (Charlie’s Angels),2qWVO5SXPdWAECnwEWYOJH,94,not available
