Variété : l'essentiel,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,L'envie,1DssiNss5G9n0SuB7c4Cem,Johnny Hallyday,2HALYSe657tNJ1iKVXP2xA,Gang,5KAz1HC0P31pabmIceTd7Q,10,not available
23,Belle - Extrait du spectacle «Notre Dame de Paris 1998» (Live),39iS4EqzWlbJUCCmHZnv6i,Daniel Lavoie,6S4WAihWktrOYeJdslsjcM,Notre Dame de Paris - Live au Palais des Congrés 1998,53KJgG0STymjezO3g8kmvW,51,https://p.scdn.co/mp3-preview/27d0827c0da73bba7232e0a9d6dacd4d5e63bb67?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,J'ai demandé à la lune,2QSAj76Ba6aMFX9RlXdUdO,Indochine,7knmbOGe07k85GmK50vACB,Paradize,0YiSd3JeGUX4VIO8Po9TD4,61,https://p.scdn.co/mp3-preview/3088db8a1ef51aeb64e83a81457ae7ad3a81b4f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Pour un flirt,0RDUfBXGq7lhBAqlyu0UAy,Michel Delpech,4T795JhhCZMWM01DLcX98p,Pour Un Flirt - Vol.1,4rjlNg6YeoR9JqMaWhFi71,57,not available
26,Cette année-là,3R4rbnUNQKpKo588EFOqTl,Claude François,0P2p1bqVyP2EgqubwjTBUJ,Le Vagabond,6cL635Xu044s7shG0WQ1rT,51,https://p.scdn.co/mp3-preview/16719eea7ddcd16c1266472a2b2eaaf266767711?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Désenchantée,3Znw6uf5RObcwcXK7DDuyq,Mylène Farmer,0e04xgVBPU6mE2QkSHlufD,L'Autre,35oeDD8qQMFl7xznpqymDc,7,not available
28,Les lionnes,6KroDlrt97h1Cmicotb9tF,Yannick Noah,0BCkVcs4QEgfHlvZ7rjSNv,Yannick Noah,384KzRwtUB1mSTSpxVEZOR,49,https://p.scdn.co/mp3-preview/cdac3ab529309a87645d688581d0753d36321b10?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Je suis un homme,2rfhFgdEUIG0BNaX4BbGmA,Zazie,3FLS6y4AR3126l4D06V0ZD,Zest Of,1YeWkJODreoJPBbs26kbly,5,not available
30,Manhattan-Kaboul,6lvkgqpLRNlF0Re01WX8dZ,Renaud,15uNxh8omvRvH71kcdIe2r,Boucan d'enfer,1XAIYKVNzrlRmt55yytwiD,10,not available
31,L'Aziza,4YNig3AVQEPUjhJ7EcdTqH,Daniel Balavoine,28IqYhzq3UU46bbY0mRgn7,Sauver L'Amour,6j0ljIcSqlWGARW0CdrYMw,55,not available
32,Juste après,1cqSle20E5NUwSFyYWKOFA,Carole Fredericks,4EfRgpfLaAzQLV08MpruGH,La collection 1990 - 2001,4gJukkp8gwHJQkk0FGhstu,44,https://p.scdn.co/mp3-preview/fafa658de062de1b23cae5c38e0df187111ba422?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Je m'en vais,6cZDf3mpynxrZbnx95j0tp,Vianney,4Nrd0CtP8txoQhnnlRA6V6,Vianney,51uvnRRpgp7FEUO7Y0jj5O,62,https://p.scdn.co/mp3-preview/bcf541d13762b68962307b3f7d5ec62b8902dfce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,La corrida - Remastered,5MtP6QGoOkA1L5ynZyQEiv,Francis Cabrel,5uo5NwSONVNfvSHHMQrHAv,Samedi soir sur la terre (Remastered),4KXrFpUXZO6e5RdZ70HaK8,60,https://p.scdn.co/mp3-preview/64c2524fec68fb2634820fc5c8eec4c70da88751?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Chanter pour ceux qui sont loin de chez eux - Remasterisé en 2002,7w0uMCTE1TBIGfUYIYYjuL,Michel Berger,5skauLarl8sqqUFypECtP4,Différences (Remasterisé),1sNPHkWU76ajcJYElqIFSZ,51,https://p.scdn.co/mp3-preview/081b05025107027c9df2b902f5543f3e9ee0bec6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Déjeuner en paix,6DFzpa0eHyEkvQ2oeewmA2,Stephan Eicher,29My6ypNwcVp0mjpy3sX2E,Engelberg,5w2UnVzDvUmX6J0QAlRCxP,57,not available
37,4 mots sur un piano,79rQQDVNg7eZ3uQdzo4ZEE,Patrick Fiori,18PkzXDURSTyGZTg9w66qq,4 mots (Best of),4yjfHUPTb5H1sH61iXYgaq,50,https://p.scdn.co/mp3-preview/8595d5d00b48dd5ff0cdc7e1084d079dac6ebcb1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Mon fils ma bataille,45lVyYMczW7frscKgfd09O,Daniel Balavoine,28IqYhzq3UU46bbY0mRgn7,Un Autre Monde,0KtIDNqBO4GRg4P68yhRud,9,not available
39,Rockollection,1jL4dBrmBpkAwxiMFzHulz,Laurent Voulzy,6ogXCiVOaz2afPmMNHph7Z,Belle Ile En Mer,3t7Px1E95fR5PXNt4GtIRl,55,https://p.scdn.co/mp3-preview/e64587a13e29e102936f755b54d19a9dd8e100c5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Couleur menthe à l'eau,0AOfr6odgwLTjLDbNA6oEw,Eddy Mitchell,4KBk9hwqFYtGS3DlZJiCsQ,Eddy Mitchell CD Story,5xYOKbCZ6bw15Vbfo6FBWG,7,not available
41,Foule sentimentale,2W4ZxAHZAXOf6r65pCskGR,Alain Souchon,5LVp2pGNzmOQqXzziBBR5x,C'est déja ça,2aZRmXEvD458ZCk1C0Wdu5,60,https://p.scdn.co/mp3-preview/6296841318a73fe6514c0cf0fd5e41dd7afb1319?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Ma préférence,3lrrhh8tLTUR0uKh7Lgugz,Julien Clerc,7gVzeNvBbUpj6PXX5ekCMs,Triple Best Of,0YDH8Po8aDHehy7Tj7x5UP,5,not available
43,Le paradis blanc - Remasterisé en 2002,6N6uTt8e1vLLgIZK5FgSYh,Michel Berger,5skauLarl8sqqUFypECtP4,Ca Ne Tient Pas Debout (Remasterisé),2X3NWw5yXoj2yJJIGvFhKM,55,https://p.scdn.co/mp3-preview/3d38aeca5bd3aed4a9da1a01d161f2788cff26f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Savoir aimer,2cHQAKCDNoEob1XpdNC5o0,Florent Pagny,0g7hZVprd3orBpMrSLWeJ9,Savoir Aimer,0NPJEBGgSuJ0PhovYUz6cY,8,not available
45,Aline,1N4ixxhbBH1ClnPdTTsRzz,Christophe,6MmRTVIPIe35OsFqWgRKQJ,Aline,0R5sCENJleZp9oxN9JcXgR,57,https://p.scdn.co/mp3-preview/664ca7ee205b6a0d2cc8de5a9bbfec2bf49aafeb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Goodbye Marylou,2c7aIT1C3nmlenMgwPxZVP,Michel Polnareff,7aKldvGENbL4bj8TCWHuhT,Kâma-Sûtra,39Ws0RVp8x16qFWSoLYvbL,50,not available
47,En apesanteur - Single Version,2LhNDiFrrPB3W3eha3fbOg,Calogero,5Nq9MbzweBc5oL4WzsECx4,Calogero,5Y7dgb3ZSWzdJ3nptO7gDJ,5,not available
48,J'en rêve encore - Radio Edit,07aWTEpDmPPCx5XkqhRHfH,De Palmas,5GUi6Czd9ReKfaRGQsi9dI,Marcher Dans Le Sable,7669yAkyDYTr33Hc0cAdhn,51,not available
49,Tombé pour elle,07gFLTMX3yKbk2obcMGVxo,Pascal Obispo,6XPs6CAjfdxIFrVVUFRrAS,Un Jour Comme Aujourd' Hui,2WhEnOQI4OZOadc0LXJ8WO,54,https://p.scdn.co/mp3-preview/089009c06dca43aa5bae083612a9d7fcd10458cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
50,Je T’aime,28mwuJqKOjRpqo14GuKSkj,Lara Fabian,7ocwZINHqO9DZJgFtc1B20,Pure,1VOw4yLcyAgwPR3dGPXRnm,56,https://p.scdn.co/mp3-preview/ac2c369402e04366ba91a9919139755bc3802f88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
