Fresh Rap,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
22,Judas,32oGcbOA4OMZtwlXJJGh9q,Luv Resval,5l8WyvJ50fdSghK2ySNq1y,Judas,1KtlayieDK2yUXdnWqyJ5t,27,https://p.scdn.co/mp3-preview/585ec6c32090325354a63b353780c131dc3a4672?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,T'as tout perdu,1oE898WW4gkYrII4fPF7bz,Jul,3IW7ScrzXmPvZhB27hmfgy,Rien 100 Rien (Réédition),3Jtj1RlmKnRvBkp3YJWHXO,60,https://p.scdn.co/mp3-preview/0cb0f53e2d583d40b3cec9945e2097331a1249e3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Paris la nuit,3A0csITpF6D94TodOVerjV,4Keus,2LUi4eKMEFKFM4awgurcSs,Paris la nuit,6s5ZbyqziXcrFJxdQYJj9d,55,https://p.scdn.co/mp3-preview/498606b4aad0ec123e500ec10661cc19002396d2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,Factice,6ITb2Oy0CEDKcpitujRHEA,Josman,6dbdXbyAWk2qx8Qttw0knR,Factice / Feu.Bi,3qxTT3SbkppHUTZCAAjsJA,61,https://p.scdn.co/mp3-preview/a41e4f2c3c408e06a3e8420d229b377e47d2466e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Fuck le world,20t9eUoC3rrrD2QHPyHASe,Smeels,6FyY3mlFrDdKUX35GrzeOZ,Fuck le world,3Ws3U9yrHinDAhoxBu5bJQ,39,https://p.scdn.co/mp3-preview/b5460dff221995554c446800ef91292bb1a04673?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Repeat,3Ij2Ioz9UNXfVuod2uJXBK,Rémy,1rT9J8vtPCzEKL7oGntxnr,Repeat,3TfgWmZlhNQbXLSJYKsq2U,54,not available
28,Dans le vrai (feat. REDK),01zIrRX0JwNA30pDtCiLIn,Zayra,2ggXIldcOmSx1GsrO5ytSh,Enfant du milieu,2tP88j4MV25cEEYdYhHUd9,35,https://p.scdn.co/mp3-preview/458c7bae94e0ff8aac39582ee5be880f0113a029?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Bâtiment,7FF6HRsQlc0CtfAbLmrEGX,Niska,7CUFPNi1TU8RowpnFRSsZV,Mr Sal,0EMsWsHF1tU9YpMpSbrvrX,78,not available
30,Plein la tête - Épisode 1,7irjlZensURHMB2ENGWc04,Vh Gang,2AUWb1MM73jlRDXNh31FA0,Plein la tête (Épisode 1),0BX3VF7cNlSQkUGCuoIWYx,40,https://p.scdn.co/mp3-preview/8d04f6f4136ca30812f18f932b2cbd6eadb977e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Mada,2ETRMTZSxymoNLgQVFMdyA,Kalash,3J7r4VsNmuWixU0nXvyPd8,Mada,0jSB5gOWLFYjKEZ21gMInE,60,not available
32,Ça dit quoi les mecs - Freestyle,0xmex8XZtGd4aeSlG9BkqO,Lasco,3dJuPTbC8aP88uCs6qB3Ra,Ça dit quoi les mecs (Freestyle),6AQ1k6uU11M6P577ilVMSK,41,https://p.scdn.co/mp3-preview/87fcc751b03f8ab9be77560112a6c802dffdc2df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Boss #2,6zMfM0GSsllbGz45imr8PE,Junior Bvndo,58lWi9l7zeTHdUz6Glzm9p,Boss #2 - Single,0sl2It191SiMxVF26sW6Hc,56,https://p.scdn.co/mp3-preview/07e9d7bebb49737383464195acb2dc24ec0a9e98?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Attila,1XxoY3UR0pRlKZ95LEv5gy,Fixpen Sill,72TdCQUBRXtFFrbNtx3p8J,FLAG,5UVNJ6QyEjGLP2rBWO5oRI,52,not available
35,Fendi,3VGfCY28Yn6nI2TYQimtUg,Geeeko,56sq0vXlZmTpjbEReOfhMX,Fendi,36nOxiEIwUGG9x1CgfWWn1,33,https://p.scdn.co/mp3-preview/5122513e8f8937f12e6edc384098c2c9409904f9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,LVG,7uT6PZ14Erk0GhSCB9QLVZ,Key Largo,4LuLF5H9fe5ViyDQb9Zxmt,500 Key,7JtdWmHI28ofy7nxrNk6DM,47,not available
37,Mauvais côté (feat. Ninho),3QFglbDobzbq230oUIH78j,Amy,17KwxXJEwSHoQsgZjRYn9z,Ne le dites pas à ma mère,4SzfVorQq1zZE3uzcD9KoZ,44,https://p.scdn.co/mp3-preview/f780a100aceb5713a89eeaa9d37ee1530d01ad1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Veni qui,3ocwF0Wf2TJybnpVIBA24w,DTF,37ioGUZGhKk7VjWIocx8kM,Veni qui,6AIXEYTiJod31AY6TMIvjP,67,https://p.scdn.co/mp3-preview/8d82395596dff9fc57dba90f5d84385c2fd0d2f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Toute l'année (feat. Timal),5PlemGdKGymY91Emm5xDbr,PLK,3DCWeG2J1fZeu0Oe6i5Q6m,Mental,0HCMpqJsF9hym2f4uKbfUV,72,https://p.scdn.co/mp3-preview/752fb35dc75b4282661042f3ffec38f961319c14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Chab,6lAYHjN4zRB7fqZxM9NlwJ,ZeGuerre,3Rz9ULXMl7mfhCCFNnhd5N,Chab,4trKi8h0XasOQicVbVdczG,63,not available
41,Oulalah,2pxgWydgVrpNU01JPVx47q,Gambi,1lB3I3SI30v2ZOpR4XQqzJ,Oulalah,1iC4wMlsOVAaGJJ8oyc7hb,68,https://p.scdn.co/mp3-preview/0736dd2800ce576a5a86cbae6a1d58ea1dae9f90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,J'suis dans la cité,2L4iQ90oAUXPSc6q4yxV7O,Driks,3mTLkUsH6xz7b0UjcNcVsN,Enmalaøue,4jl8nzwOsk2XiOpfG6N6D3,46,https://p.scdn.co/mp3-preview/e68e5d0a0fc9b8998058b49810db27f3f400d375?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Liberta,0axdQVg4YwpZFukbwUiUZB,L'Allemand,3BX2N7cc1OrBUJQiiei3On,Liberta,4o0zNQJa7yuFlI6ui8VBRX,55,https://p.scdn.co/mp3-preview/12512ccab9853e80beee6371c98737f4ee6c9b3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,WeLaRue 3 - Vilain,21osrWiNJxpILjR6vLlp0r,DA Uzi,3xEJ7cDz5rdg6VM8E6Mqhf,WeLaRue 3 (Vilain),5hQUz6wgRotkm9cRJg7m7Y,63,https://p.scdn.co/mp3-preview/858aa0e8ef99eb24aaf789d44f790aea54e1beba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,TP (feat. Hornet La Frappe),7aRlFHYFRngsHVdSHDxaiF,Zikxo,7rjPaOQdQeTIQhmApviFqe,Temps,2ziaZI4ptLdQI6NU0GCUKJ,61,https://p.scdn.co/mp3-preview/a153250bd1de63c7cbb5944d97dfafa572ba3ad1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Uber X,2Mv1sh5BIm1HTIMZuRQK6q,Niro,1wAtSe79kItIb9nf5EhI2Q,Stupéfiant : Chapitre 1,3iyKUppmGvHTjud2ApVe4J,60,https://p.scdn.co/mp3-preview/526bc81e2ea2cdd79e283ac23c699c09e74b989f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,7.65,1gP845NpcAZv4BqANMBGaj,Zola,54kCbQZaZWHnwwj9VP2hn4,Cicatrices,7wyEWWnkMq3pMPPx8F1899,64,https://p.scdn.co/mp3-preview/b0fdc0c0a131fc02ee70bf4e672ad066823170b3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Secteur,07XUyk7X8B5BRROpUmAdOs,Le A,3MLibxmnYlJEtSLG4s6XvC,Secteur,19jwB14CEK6uhW9zh7iCYz,59,https://p.scdn.co/mp3-preview/db80124d6f98bc025f72156cb319282ae2e2a686?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,La zone est minée,4svihQR3W0IYm9N8GKyNRe,Niska,7CUFPNi1TU8RowpnFRSsZV,La zone est minée,6FgZJVVSI8y3cPs4Qp3ZYB,59,not available
50,Canal,4ue5wBIDNJelqiHkm1aMWi,Dosseh,3b5bg1k6N9u31OtzSfK2dP,Summer Crack 4,5X3ZqzQfQGjyrQEvKEAjWB,67,not available
