New Music Friday France,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,243290,spotify_france
1,Perdus,7eMBDipvMwVnYiMe0yrS5x,Angèle,3QVolfxko2UyCOtexhVTli,Perdus,4wFRyp4PoR2DOJ639l9NVv,66,not available
2,Lights Up,2plLJpUcYPFrl1sW2pMG63,Harry Styles,6KImCVD70vtIoJWnq6nGn3,Lights Up,4Aag1alBrdk2TFnATVmn8D,87,https://p.scdn.co/mp3-preview/aacbe5176d00ff0ea6cae1977ff71a1ac0d92af1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,A nos héros du quotidien,4zKqWCgGqwWlfJTNaj2R19,Soprano,2RJBv9wXbW6m539q9NOfW1,Phoenix,0ejCopVV0wK3D6rrlVBOpu,50,https://p.scdn.co/mp3-preview/5dd99fa635181adcda8e8a2b812f3c6c107572b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,original me (feat. dan reynolds of imagine dragons),4KzOYxD4qIkUtZV9ZYakGu,YUNGBLUD,6Ad91Jof8Niiw0lGLLi3NW,original me (feat. dan reynolds of imagine dragons),6Qdnzl2AlEZDIeU3AaLnNM,73,not available
5,Keskivonfer,1as6M25UJBpCHuZuASrzPi,Vald,3CnCGFxXbOA8bAK54jR8js,Ce monde est cruel,3o9pq1vFESK6532MR63Xwy,67,not available
6,Lose Control,7CHi4DtfK4heMlQaudCuHK,MEDUZA,0xRXCcSX89eobfrshSVdyu,Lose Control,1qSOaTvsCOyFJya3v1UzkP,70,not available
7,Mama,7yeljpTXBjT2hAAJoyoPjP,M. Pokora,6euPnGzBlDysAC5ecVguNZ,Mama,5d2tbsVi7zQlZzKfdDVRip,32,https://p.scdn.co/mp3-preview/fbb27be6ac82ac3959ff32ecc1971fa85ceefa3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Easy,46D0hYb1B7qiU33VtXt21W,Camila Cabello,4nDoRrQiYLoBzwC5BhVJzF,Easy,514p9UpvibpBhShFgpZaxS,76,https://p.scdn.co/mp3-preview/c56216be5426c927962636e64f4b67981b06a556?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Ma vie,5eO93haeVLJQPnbazR3bLd,Dadju,4sbXXFzEWJY2zsZjelerjX,Ma vie,1yGxpnp9OVn1uvFhkWedas,61,not available
10,Problems,75ylrnob5O80WTKi9ugZ1Z,A R I Z O N A,7hOGhpa8RMSuDOWntGIAJt,ASYLUM,1qnAzDoa24ZYCZDzmP74sL,68,https://p.scdn.co/mp3-preview/b54e8d9c4b1762d2cca4dedf95b0aa5fdfe58122?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Somebody,735RSTb2xbtWbDtKD9XDYi,Internet Money,6MPCFvOQv5cIGfw3jODMF0,Somebody,2tGRWs8mrUVyjgbMIQpWQN,70,not available
12,Monarchie absolue,4CMLBoXop8eX3n803KKKi7,Bilal Hassani,1eoyu9uAivE7Jwak40J1MW,Kingdom (Réédition),75bbpHqUiKAOACxSBZPtzJ,37,https://p.scdn.co/mp3-preview/cc0a33ff590dd636954c72d96a88335715cb3baf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,You (feat. Travis Barker),57CsOeLJrdI20fS4Z8pZPj,James Arthur,4IWBUUAFIplrNtaOHcJPRM,You (feat. Travis Barker),0EW257HwkJ1CblYgM9GIAY,66,https://p.scdn.co/mp3-preview/0262f6de6d1800d4646d665b45893440f7ba15e0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Exhale,3habomq2nwlaN5Jqrl5PT8,R3HAB,6cEuCEZu7PAE9ZSzLLc2oQ,Exhale,4c8EDhWsVDfqw8knVVTOn8,67,https://p.scdn.co/mp3-preview/0ef8f727eacf8d669f680411821f8dd8c96efef6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Plus de temps,46HM8lCDYkTghgqTKnrknV,Poupie,71x0OO2toFjXrMRcufL9tv,Plus de temps,7tgyssHjJFldOWTWrs0UGx,35,not available
16,Home,711gGx1GpUv9YW9KTSfJfH,Caribou,4aEnNH9PuU1HF3TsZTru54,Home,00sZIJm0igl6aBYNktEuSy,58,https://p.scdn.co/mp3-preview/a786e173cdac2c990756e74321782a43b54386a4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,88% (feat. Lomepal),192OgXpemHxlrfCHkbbkt1,Philippe Katerine,61NKNrhSMTYg2q0f3vS46e,88% (feat. Lomepal) / Blond (avec Gérard Depardieu) / Bonhommes,2qtKisME7cMWkBjMYvYQIK,43,https://p.scdn.co/mp3-preview/4633848b300d8c07e1edc6e1453a87bbef01c1c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Walking (feat. Swae Lee & Major Lazer),1qbXrxctv75pm1lWCn6Zw3,88rising,1AhjOkOLkbHUfcHDSErXQs,Head In The Clouds II,7bOpX6Ilc9UCFmH9uGyUDy,68,https://p.scdn.co/mp3-preview/1e8690bcd59b8023a5f09f1864e792d9958f844f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Funky Drugs,2sbzCv1Enilx8Ay06wlw1Y,DTF,37ioGUZGhKk7VjWIocx8kM,On ira où ?,3fUfQjOcEGe7vvnPA29GBh,59,https://p.scdn.co/mp3-preview/e0634c43610da53726e29f4e20451f8fafc85616?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,On oublie le reste (feat. Kylie Minogue),6kKV3A9BEeGMFQmaD5TKVe,Jenifer,7p0bICJNx2HM4jS28qexvv,On oublie le reste (feat. Kylie Minogue),45GVl0GDQi9VJLhaG8YrjD,48,https://p.scdn.co/mp3-preview/f63debe03980208422fa49799411399872f17660?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,RITMO (Bad Boys For Life),6cy3ki60hLwimwIje7tALf,The Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,RITMO (Bad Boys For Life),6EobpC5SDFy5DF50dWNVGF,70,https://p.scdn.co/mp3-preview/60e9246623919cb164490957ba79af46ceabe237?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Twisted (feat. Logic & A$AP Rocky),5xEWiG0ug0rOymOjlzSGzx,French Montana,6vXTefBL93Dj5IqAWq6OTv,Twisted (feat. Logic & A$AP Rocky),7rmnGDfffE9OoCScZ4pjjU,69,https://p.scdn.co/mp3-preview/2f7e185f49682ce653a78546e40667a69b3f8d5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
