Vice Versa,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,25968,spotify_france
1,Monarchie absolue (feat. Alkpote),6J13SU1vaEps76qEpIXDnr,Bilal Hassani,1eoyu9uAivE7Jwak40J1MW,Kingdom (Réédition),5WEsvT2QXGMRnAeaTXFyw8,51,https://p.scdn.co/mp3-preview/0c8e8611f7b679f24bcd15b6935a96e4c58cba9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Egotrip,7d9VYpmw1zj0Zdeex0uZLf,Therapie TAXI,5MynxBz4ZMqvUzpcxTZl4C,Egotrip,2pvAljd8SURmWheBSYhtbp,60,https://p.scdn.co/mp3-preview/f6027acdb60de157407ddc15de666159796b3c09?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Perdus,7eMBDipvMwVnYiMe0yrS5x,Angèle,3QVolfxko2UyCOtexhVTli,Perdus,4wFRyp4PoR2DOJ639l9NVv,66,not available
4,Personne,0W291yIvyrCxSSeEDIDo82,47ter,0aXaZj4wB5jLF2E2d8WEVi,Personne,0653G4ahoIT3tHIlQ4PTj1,43,https://p.scdn.co/mp3-preview/2edfbcbd3d37ae3919e916c54348ed9c26cfd8f7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Dilemme,34UANp5qxDg6YcgrlDeILZ,Lous and The Yakuza,2HPiMwJktBXqakN0hnON2R,Dilemme,1VjhhQkZnPerLURQmPtSj6,56,https://p.scdn.co/mp3-preview/c0a5f6a19d9a61cae42ffae43544cd843bd6a361?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Plus de temps,46HM8lCDYkTghgqTKnrknV,Poupie,71x0OO2toFjXrMRcufL9tv,Plus de temps,7tgyssHjJFldOWTWrs0UGx,35,not available
7,Dans l'univers,2PYXOG6GdxF9sUIH2NfOAD,Nekfeu,4LXBc13z5EWsc5N32bLxfH,Les étoiles vagabondes : expansion,3TDNimUU4nzPRD8BEwiZ0i,75,not available
8,88% (feat. Lomepal),192OgXpemHxlrfCHkbbkt1,Philippe Katerine,61NKNrhSMTYg2q0f3vS46e,88% (feat. Lomepal) / Blond (avec Gérard Depardieu) / Bonhommes,2qtKisME7cMWkBjMYvYQIK,43,https://p.scdn.co/mp3-preview/4633848b300d8c07e1edc6e1453a87bbef01c1c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Nouvel artiste,26i2aEXQyuDA60Fe5IphH0,James Baker,0enzx5Bq2F7Rq5BN9kWXJl,Nouvel artiste,5tz8kxh3FPw03r42ySjgAD,36,https://p.scdn.co/mp3-preview/376218066bf24baa4462b8b987992a7535c278ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
