Validé,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
29,Bené,00X2yv2vrtritPt2CZnUTZ,PNL,3NH8t45zOTqzlZgBvZRjvB,Dans la légende,5GFHFEASZeJF0gyWuDDjGE,64,https://p.scdn.co/mp3-preview/37decb37dbff3e7ea95758cc8a41a1cc2e963cec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Désaccordé,4ueL4j6iOPX23UG5VsvGrm,Vald,3CnCGFxXbOA8bAK54jR8js,XEU,6oX7kNKqj9dwNk8i4btVcF,68,not available
31,Khapta,6stxV2bl7xSiPUornxwyNR,Heuss L'enfoiré,3YwqjMyrRfuixi2pbgTGCE,En esprit,4YUEcV66XwylhSNJI51ABq,71,https://p.scdn.co/mp3-preview/a984c19898d522f8ed1adb9e476f55d58dbe5bce?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Tchoin,6cryNSlBitzoR2Y5HROrii,Kaaris,1ntQKIMIgESKpKoNXVBvQg,Okou Gnakouri,2kBmtvb01ftoz60KkWOFDP,56,not available
33,Rose,4Ln4KAwk37peyCh2QpqYnP,Ninho,6Te49r3A6f5BiIgBRxH7FH,Comme prévu,1edj3KPfQnuwRcOebGIzxP,63,https://p.scdn.co/mp3-preview/6c037a17d3ff838ad93f1f3703de988ba5b7a4c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Arrivant,5EzjwKvxGTy2oPix1AvV14,Timal,2ptKt4yP4mYRZmvi09JYyi,Arrivant,1jAxixmtzkVt6fwKbA1pvk,49,https://p.scdn.co/mp3-preview/cc688edbac4b9c8f92ed166d896f3708f0c8f300?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Santana,0G0WC5ghZRRH6LJNNXtK1W,Alonzo,2z2TRvloJt4EfUNQp9rHAi,Taxi 5 (Bande originale inspirée du film),4BEvV8uiYjEPcuotngqHJF,61,not available
36,Lundi,47YaaXykE1gR4PRBpkDtKr,Sofiane,6qFt3TjvxMt77YGsktWG8Z,Affranchis,4MbntxMXJhPQvsFXMLaZcM,61,not available
37,W.L.G,13E2wgUjmdunrlq3Vbxv8T,Niska,7CUFPNi1TU8RowpnFRSsZV,Commando,3VUgJQkefnjia6n2NelxBb,65,not available
38,Matuidi Charo (PSG),2CLe4twLMtjKwWzRYzGaIA,Niska,7CUFPNi1TU8RowpnFRSsZV,Charo Life,0nO1lieZiO2JTY4dqABRQB,56,not available
39,Gramme 2 peuf,1bPAaKRZSoBWBeeT0idULo,Hornet La Frappe,1kwzW1IszUiq4Gs9BFesvW,Nous-mêmes,72H8WHsPCwc9MJHLwFRLYk,57,https://p.scdn.co/mp3-preview/7ee42b798cd763ac0d6d4d3ee2807211dfb1502d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Diarabi,644Y6gowYTqtd2U2XNKzDS,Kaaris,1ntQKIMIgESKpKoNXVBvQg,Dozo,3RcqydFaiewj0Vq34DJEan,3,not available
41,Sur le drapeau,42Xesu4U4nM3CCjMk5X3kM,Suprême NTM,4ko6Ysxtvx9EY9GEFslrIz,Sur le drapeau (Extrait du projet 93 Empire),0AhLmDEZeUWXnuss5WloqW,60,not available
42,Déstabilisé,71gEIIqahWVslRCXtN5yhK,Djadja & Dinaz,5hREZP0zTQbTLkZ2M8RS4v,Dans l'arène,0g4t7xudyr7TFz0To3pC16,0,not available
43,Oh bah oui,0z18wqbjuXTxzaNm4oegU2,Lacrim,7DUTsWY3RBd64vh8UtgtYA,Force & Honneur,296L5THZWXumzkGDxmgzn2,1,not available
44,Réseaux,0HKNlsZ0zFlSqUqWj1nVVG,Niska,7CUFPNi1TU8RowpnFRSsZV,Commando,6ag1Md5xNt3VvOdN0UbQDh,67,not available
45,Cellophané,2sOrroHqKbYFP2MfHxhQMc,Rim'K,2eh8cEKZk4VeruUrGq748D,Fantôme,6bypGvuamPBfFvGozZNkRT,0,not available
46,91's,4LAGHmHcSt0HHwXCJcFri6,PNL,3NH8t45zOTqzlZgBvZRjvB,Deux frères,2JtKf1aFxqS0M3QIj98nG5,66,https://p.scdn.co/mp3-preview/9aae602c55a0f4ce7d5b6e442ef13b16630f2739?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Paris c'est loin,1OTqNHHT62g3aPPtIQ7CIo,Damso,2UwqpfQtNuhBwviIC0f2ie,Paris c'est loin,7oowatRs79nREsWXJ8CzRr,60,not available
48,Mauvaise graine,4kKJ5CjwCtksszPMntho4N,Nekfeu,4LXBc13z5EWsc5N32bLxfH,Cyborg,3jTg4M1B2uqVmJAXmKOB2Y,2,not available
49,Koussi koussa,2bN31IEckRU6jEj416ABvc,Kalash,3J7r4VsNmuWixU0nXvyPd8,Mwaka Moon,07vhVdeqDle0yPYGikOJqN,2,not available
50,BEDO,5CxgQRxdHhhqoWZPKMdtiQ,Hornet La Frappe,1kwzW1IszUiq4Gs9BFesvW,BEDO,2QshtsVILAgX87d9GZ2dXN,63,https://p.scdn.co/mp3-preview/5441fdf7ab86e2035f889f0f18cdec49d16c0542?cid=fa83a2fec7c440b7a2795d600d6b2c7e
