Merge 2001,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
21,Looking for Leonard - Theme,1RQMxaF7CJLZLn10gpOBXX,Portastatic,5YFFss1uTFY0gfMMR1f9FD,Looking for Leonard,5eIahSlClnm7JI7xnc30j5,3,https://p.scdn.co/mp3-preview/6e99b0e026bc03325555c25d2f0e30dda46f9505?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,La Dispute (TTEF Vs. Yann Thiersen),3gMCpIRKc9KR0INBeNmiXb,The Third Eye Foundation,1C4Ix8pbUGqzAP79elcpcm,I Poo Poo on Your Juju,1CWbtIs1mb0lieYDXCq35B,0,not available
23,4 Damaged Lemons (TTEF Vs. Blonde Redhead),77rN8EXbFb8WaAxwZuFbxf,The Third Eye Foundation,1C4Ix8pbUGqzAP79elcpcm,I Poo Poo on Your Juju,1CWbtIs1mb0lieYDXCq35B,0,not available
24,The Way of the Mongoose,5XXMhzQAZpe0S6TNWBZ5wE,Pram,2aFm5gM8lQefcKzOvP2eH8,Somniloquy,1kyX4PlPOchb1whzxTXN1O,0,not available
25,Monkey Puzzle,44kuA4IAhLBtk0aUjkqud7,Pram,2aFm5gM8lQefcKzOvP2eH8,Somniloquy,1kyX4PlPOchb1whzxTXN1O,0,not available
26,Late-Century Dream,5OpFEH0BzeoNTkPk28yzY7,Superchunk,7lmde7T1WJPFwv1eR6melP,Late-Century Dream,1Bpp7eywuEcs3HyijwTx3V,1,https://p.scdn.co/mp3-preview/c9bb71eba000f029c7dec7af8a8852c5e47a3e32?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Becoming a Speck,6kyyp8vNmz1VvLWGkwqCS8,Superchunk,7lmde7T1WJPFwv1eR6melP,Late-Century Dream,1Bpp7eywuEcs3HyijwTx3V,0,https://p.scdn.co/mp3-preview/b9c6a24ee7415323f9e4c72107e6e5e65f81c58d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Cigaretiquette,6j6ttLHofE8rdvbhtH8S2V,Lambchop,2Lhs0asnFQiLuntn3s8p78,Tools In the Dryer,2S3whGcaoNtm9ItRyRf9Rd,2,https://p.scdn.co/mp3-preview/48d9500a8d3a0ca2ada2f439fc3031a97b3dd1ae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,A Moist Towelette,1r1uQA9dHUAOQIHJb98TIy,Lambchop,2Lhs0asnFQiLuntn3s8p78,Tools In the Dryer,2S3whGcaoNtm9ItRyRf9Rd,0,https://p.scdn.co/mp3-preview/8474ec81c887e688d7443b85815a708719db0a0c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Alumni Lawn,1zaREC4UGR2mDQWGk6VeaV,Lambchop,2Lhs0asnFQiLuntn3s8p78,Tools In the Dryer,2S3whGcaoNtm9ItRyRf9Rd,0,https://p.scdn.co/mp3-preview/1988a18eca16e48659338b7290889eb380eefe00?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Florida's on Fire,0KfZjJrjUfvLEMDyS6KQVy,Superchunk,7lmde7T1WJPFwv1eR6melP,Here's to Shutting Up,6snYZcuaGQ1VfuDR8MWCWq,11,https://p.scdn.co/mp3-preview/b66e4fa14e0d5739de1ba413ffd24f19305900d1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,Art Class (Song for Yayoi Kusama),03ThUfmCIuqDx1AV11Oie3,Superchunk,7lmde7T1WJPFwv1eR6melP,Here's to Shutting Up,6snYZcuaGQ1VfuDR8MWCWq,11,https://p.scdn.co/mp3-preview/9d2161c2b4c53d65be03633ddb42c8b0d3e40b88?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,Phone Sex,735gQYYgGdXOZvCqBTMkFE,Superchunk,7lmde7T1WJPFwv1eR6melP,Here's to Shutting Up,6snYZcuaGQ1VfuDR8MWCWq,13,https://p.scdn.co/mp3-preview/d76f6cae1b7bcd7c3a32e91155cb90ec76c31a12?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,An Hour Before The Light,3C7bNbYv4mxcjoDHZP8Wtr,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,A Fading Summer,6RrbSWcBIYmb9XzGSfgSOU,6,https://p.scdn.co/mp3-preview/ba217587797778899d301615752aaf9320f2857f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Bicycles,2cXH08Vf3s6mpx0u51o3sY,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,A Fading Summer,6RrbSWcBIYmb9XzGSfgSOU,4,https://p.scdn.co/mp3-preview/a19e7c909005eee9e91d376873ec8cd4ed75d548?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Had (w/ Vandermark),1iad2REkQujAhP2j5JyKVa,Portastatic,5YFFss1uTFY0gfMMR1f9FD,The Perfect Little Door,3jJzutcDZtRxeE7HsyqnbF,0,https://p.scdn.co/mp3-preview/5e1d46b2722a8c3eff12daccc1eaa8b335ba2a16?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Hey Salty (w/ Vandermark),3awKkHaH3IXqgEIwfkpDg4,Portastatic,5YFFss1uTFY0gfMMR1f9FD,The Perfect Little Door,3jJzutcDZtRxeE7HsyqnbF,0,https://p.scdn.co/mp3-preview/3173dbe0ced3b02f85baeefdc5dd6db6104ecf37?cid=fa83a2fec7c440b7a2795d600d6b2c7e
