Merge Records New Releases,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
62,Flash,3iMJJnDilK1OLOOzsZ12nF,Gauche,6GVrQ3dvXPc2VcEslMAgk4,Flash,0tpkgMTD9ylydxkY15Xecy,38,https://p.scdn.co/mp3-preview/86db1a433134307c574222c9deeab637b1c53eca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
63,Patent Leather,5IZghp2KlWIl1cZ8T8bTwv,Too Much,2FoH3XSSz9xQjbCWiOdKqV,Patent Leather,0KYo7mCwUhiGrmvwZahFHR,13,https://p.scdn.co/mp3-preview/398a693493f4f956c46444937880ec84afc10a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,I Need a Teacher,7i8MdTMo8ZibQhvhqzWhIJ,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,I Need a Teacher,0BIqUXJYUZCoTG1yiWwOqv,54,https://p.scdn.co/mp3-preview/c815a2397171e00473be18da2d623ac06ec0404f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,Walkaway,3bRnIRZC3ZW7mPKXbmmLhK,Imperial Teen,17VzpmwXT0Rd7EKaJB841P,Walkaway,3VWXf6ZzXVPgnC9JvIVwPF,12,https://p.scdn.co/mp3-preview/27459a09b05505682ac5dfbda0f64571ec971b46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,Ocean,1lGASRI2JcaJ166eez49PS,Fruit Bats,6Qm9stX6XO1a4c7BXQDDgc,Ocean,72aOfPivY1vqKo2iIuRw8y,36,https://p.scdn.co/mp3-preview/1c337fa924252b1ac807d424b84fb86c5f251b81?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Almost It,5UtyyI3WhHwjBIxWl4zUYz,SACRED PAWS,0loUVauivVQPRdqkbd250b,Run Around the Sun,0vB3PQiZvy7qpcF8qPfs8B,24,https://p.scdn.co/mp3-preview/8e7a8c3aa186dcc4f74a757d08cfd838adce214f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
68,What’s So Wrong,5mFkvkxidJoL9yERi7scRm,SACRED PAWS,0loUVauivVQPRdqkbd250b,Run Around the Sun,0vB3PQiZvy7qpcF8qPfs8B,16,https://p.scdn.co/mp3-preview/2ae0bf5448530bd8a1df29902c5e90d4c89d7350?cid=fa83a2fec7c440b7a2795d600d6b2c7e
69,Shame on Me,7iWUQ7KkC1u04MYCtFckbP,SACRED PAWS,0loUVauivVQPRdqkbd250b,Run Around the Sun,0vB3PQiZvy7qpcF8qPfs8B,14,https://p.scdn.co/mp3-preview/b57899c047108807dc8e66e7cbbf6f751882dcd5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
70,Sara Now,0syisLQOmx9zV2C7lal9f6,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,Heartbreak City,3XtLSQsTcNjH9PihdZYFjc,8,https://p.scdn.co/mp3-preview/9ed2aa2914493bb562483693620e61f30c84e13e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Heartbreak City,5N43SyM0rRERxrrVguPGfT,Apex Manor,6L4oVbtzJenj0JyZiUEjz6,Heartbreak City,3XtLSQsTcNjH9PihdZYFjc,7,https://p.scdn.co/mp3-preview/4957b88fd4be8076ea041bef9316a44b3bb15b7a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
