Merge Records New Releases,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
25,Alight,2PVZ2ZkwPN2dxjK1LirgVH,Joyero,7kPZ9z8VeA3Xej4P9BtHdn,Release the Dogs,5FaTqTRaEVuqaFA1veUnyg,22,https://p.scdn.co/mp3-preview/f720d4fac5b7e2bb0b061ee7a1c4a5ec0506cb7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,Small Town Death,7dvAAhyfKtAcByyMEP4odY,Joyero,7kPZ9z8VeA3Xej4P9BtHdn,Release the Dogs,5FaTqTRaEVuqaFA1veUnyg,17,https://p.scdn.co/mp3-preview/04c45f5b7a6bccec980faa228fdc25c210ebfa90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Time,0OEMRC5JqHBjwACaCEGIg2,Joyero,7kPZ9z8VeA3Xej4P9BtHdn,Release the Dogs,5FaTqTRaEVuqaFA1veUnyg,16,https://p.scdn.co/mp3-preview/dd1cd6b7102f73775b4526a0568384f59cc903f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Fantástico Roberto,0N9cMbNcBssnxC4WvkcBkR,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,Beyond the Door,5MJaYnl9U8qqiPAtCmgPFd,25,https://p.scdn.co/mp3-preview/c0a55e67334423601bc73b7357731a3f7be81634?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,The Party,144ukVU3smY73UDDELa1cQ,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,Beyond the Door,5MJaYnl9U8qqiPAtCmgPFd,27,https://p.scdn.co/mp3-preview/c022199cc63c7ca5b221407686068fd56040a28a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Ice Cream (Strange and Pleasing),0LrhDhP3MbasX4svlWtVZr,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,Beyond the Door,5MJaYnl9U8qqiPAtCmgPFd,23,https://p.scdn.co/mp3-preview/07c3b6d46df89b16b101b4c96510f69e5867965c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Still Life,3LUhlcN6a0unF8G6oou6RO,Little Scream,2U7njwghtRR6ofLobG32Lk,Still Life,3zDh3mbf3RwhMeU1iHVvnn,23,https://p.scdn.co/mp3-preview/15aca691157f2296bfab2bff44f4352117ebf16d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
32,"Happy Birthday, Baby",5XNi1fqvAYfAFLLCmBoUfz,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,"Happy Birthday, Baby",28NXedD0lAcxPpJcViWm1v,41,https://p.scdn.co/mp3-preview/8adc8c6e9c27a9bc512b5d4c699007d3295cc1f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,"When Do I Get to Sing ""My Way""",4vZDPuYpMHGH8eoJdKis81,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,"When Do I Get to Sing ""My Way""",6TbXla1B0KBjW1u4Nc67wc,20,https://p.scdn.co/mp3-preview/2da895a484c961fa5f0a2dbb0991af68b62aed50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Coming in from nowhere now,1qPcwIGdJ639GD8aRAlR9Q,David Kilgour,5S76x1RQk1FgHwX3y4giOO,Coming in from nowhere now,605Ohp3EQjDlSdRn9dzNDE,26,https://p.scdn.co/mp3-preview/cdfdfd7272750d668d1014617210e5ace86d1a61?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,Steepest Stairs,16vImdkszefDzsxnif0di7,Joyero,7kPZ9z8VeA3Xej4P9BtHdn,Steepest Stairs,09NszBLOGdRRFG3UWk2V0b,13,https://p.scdn.co/mp3-preview/4facbf5867ba7c888b77e0fcecd70967757b2828?cid=fa83a2fec7c440b7a2795d600d6b2c7e
36,Show Me,69r92BS4cJJJPPSApE2rZs,Mikal Cronin,6QobJ3vnalBTlsdOrvQTIt,Show Me,1rzoYcIfFQrrPzcJtmJfkM,32,https://p.scdn.co/mp3-preview/c6510940f16a5ef38b1cb75ce60736f0c2ee80f8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Smoke you right out of here,15ISrXvAEHxFUaE2tePXZm,David Kilgour,5S76x1RQk1FgHwX3y4giOO,Smoke you right out of here,5VCL1gz8LjkbhrjljCZJJQ,26,https://p.scdn.co/mp3-preview/2bf298da87b11d77170bd21fd984f371e19cc3d6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Dear Leader,7bOlA7z6Bf01K9cukMEy4N,Little Scream,2U7njwghtRR6ofLobG32Lk,Dear Leader,5xMrxQbsO1Oi6ts905FPGT,22,https://p.scdn.co/mp3-preview/c870984be7df8998adb7ea0c8f674bf3595aca65?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Cat’s Eye Blue,6acC0VpbBk7zFpZal9nub4,Hiss Golden Messenger,37eqxl8DyLd5sQN54wYJbE,Cat’s Eye Blue,3Hh00YBiJePYrAgERytvpN,39,https://p.scdn.co/mp3-preview/fcbbb4749c5ce1573d45e1015f6d682f21f97474?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,The Party Underground,4RpL2SNzYexeLXE7gTDfYL,Redd Kross,1USc9u5yL4tUaQKhGWNuvj,The Party Underground,6BeC2tublSw3vwmVOQAT8V,14,https://p.scdn.co/mp3-preview/7c10e95a9366e60b075f0707e3cdd471558f3b40?cid=fa83a2fec7c440b7a2795d600d6b2c7e
41,Boom Hazard,1ohJ320nOTaGBtHCYI7Phr,Gauche,6GVrQ3dvXPc2VcEslMAgk4,A People's History of Gauche,6iFUgVpsYPKALrEWZX86KI,17,https://p.scdn.co/mp3-preview/cd348ea8545366d5f7426d625ab74cb3a9dd8d95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Dirty Jacket,2UGZbzXrzfVjyaoCESvAdz,Gauche,6GVrQ3dvXPc2VcEslMAgk4,A People's History of Gauche,6iFUgVpsYPKALrEWZX86KI,15,https://p.scdn.co/mp3-preview/6ddfcd7384a806836a536a77250a64aeb0dd6465?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Cycles,54IhC6xlW5bT4YtoPjSw5T,Gauche,6GVrQ3dvXPc2VcEslMAgk4,A People's History of Gauche,6iFUgVpsYPKALrEWZX86KI,19,https://p.scdn.co/mp3-preview/624a620857291137d1aada48ab392e3ed4036596?cid=fa83a2fec7c440b7a2795d600d6b2c7e
