Friern Barnet Contemporary - back catalogue favourites,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,127,mergerecordsofficial
1,Enigma,3q3t8uES3TtZEkItBo4996,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Ariadne,0AAuQsIouNi7S7TRxhCvnr,1,https://p.scdn.co/mp3-preview/d8114d21529f1ca42adc7b753e715871e619cb8b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Jerry,1mT6uk3v8k6T0bfherpuyF,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Minotaur,61YI7ByPzmWLn1VkITueoo,6,https://p.scdn.co/mp3-preview/8e650f3f36aa05c916fd7d63b3e3069e063c9523?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Porcelain,0WoHbHvwMWA6dq4I18GPeD,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,The Violet Hour,01nKX7wsvhk46gQyKudrZK,6,https://p.scdn.co/mp3-preview/d1a4fd4a9143821b675e1f5bf7bec78699652f9b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Three Month Summers,3K5Mi7B2HWpt4Q81Nt4k2s,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Bonfires on the Heath,21zSj4QEQEeCDvuPAicVKy,9,https://p.scdn.co/mp3-preview/93a1cf48b038e32c08b6b6fe3128a3e8a53b674a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Dance of the Hours,5KUyI9L6LRwlfSxb05314z,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,God Save the Clientele,73LQgg4hxysGCPVV90HhTE,7,https://p.scdn.co/mp3-preview/d8aee6c4b348bb102fa892904f1df83d805cbd56?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,When You and I Were Young,5Yd8SWZOhp8L1ueeMfJu4D,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,The Violet Hour,01nKX7wsvhk46gQyKudrZK,10,https://p.scdn.co/mp3-preview/6a4a6fbb20b35300593427344f1ff69f806c35fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Harvest Time,0OLmRfuxZ34qpy0hPaFtbQ,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Bonfires on the Heath,21zSj4QEQEeCDvuPAicVKy,15,https://p.scdn.co/mp3-preview/c6bea193821e57e3ff119305688844c897dadcbb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,George Says He Has Lost His Way in This World,1SQzIetiITDuaA0sGKaBGN,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,"That Night, a Forest Grew",1NrH4VKBlJzoTtbvN2oZxu,2,https://p.scdn.co/mp3-preview/f9d510121e555b24b8318dbcd2e4367cb838ef4c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,As Night Is Falling,2mR3nMfYUVOY40mhs76Ux3,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Suburban Light,6zYPUszlWKpEDBJnRxjcWL,16,https://p.scdn.co/mp3-preview/0301b20014ad85fc12dd90056c37de163437b14a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Since K Got over Me,0N0BwroI7zvuzVhIai2esX,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,Strange Geometry,2SgCk9WUsc5lHB88K1L4ON,22,https://p.scdn.co/mp3-preview/860276f52f2e37f3587130ed7ff254bd44d1654c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Carnival on 7th Street,2MXdNIQXGSuBNRDIe1if59,The Clientele,3xZBpeXHkSjTKQIR1OeKN0,God Save the Clientele,73LQgg4hxysGCPVV90HhTE,5,https://p.scdn.co/mp3-preview/3e42fa35ad25af489794efb152660220ce05e43a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
