Merge 1995,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
20,Demons and Avalanches,4xW0tFjuNBdq2T4fBCcgNh,Butterglory,1IoLoJPjCK2vxADHfu5OmG,Downed: A Singles Collection,5aSC8xbyYFaLhkShsRvUK7,3,https://p.scdn.co/mp3-preview/6523d489d9ded14e29741f2553492a4e357b4c0a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Hyper Enough,5JON7A6KPuDxt0UzpEo4Oz,Superchunk,7lmde7T1WJPFwv1eR6melP,Hyper Enough,38XPnXuGNh4cBOtJF8wSIO,5,https://p.scdn.co/mp3-preview/580dcae8ca08cc033b29f76992a90853729dc6a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Detroit Has a Skyline,5DQnITC4klFrWq8wukLUUQ,Superchunk,7lmde7T1WJPFwv1eR6melP,Here's Where the Strings Come In (Remastered),7pJOnYL59zetNPuxP3mMTg,24,https://p.scdn.co/mp3-preview/29b2d96e0ae17128c6afe0919660457a601bf7d7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Iron On,2j97LRXrPd2G3TVykwdXHg,Superchunk,7lmde7T1WJPFwv1eR6melP,Here's Where the Strings Come In (Remastered),7pJOnYL59zetNPuxP3mMTg,18,https://p.scdn.co/mp3-preview/95fedc5fdb44215e2be1087911423e8eac701e97?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,"Yeah, It's Beautiful Here Too",7dVPa9n5bVHDECGw0NcmKD,Superchunk,7lmde7T1WJPFwv1eR6melP,Here's Where the Strings Come In (Remastered),7pJOnYL59zetNPuxP3mMTg,17,https://p.scdn.co/mp3-preview/b420d07915d1cfd11a0fbb69062e6b50d9c2781a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
25,With Whom to Dance?,67U9KvuKLGVo6SfwNfQdfu,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,Get Lost,6i73IamDttR0021m4Gm1X0,25,https://p.scdn.co/mp3-preview/354e818fd626c0081d7f4f63f684bb71b749dceb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,The Dreaming Moon,5jeUN3WDGx6168dbL8dvoi,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,Get Lost,6i73IamDttR0021m4Gm1X0,35,https://p.scdn.co/mp3-preview/d1b9e07c16dcb91b4becd56a17a227ceb0ae788a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,All the Umbrellas in London,2GbcHnGATornHEFjWhMy6R,The Magnetic Fields,6RWjTQqILL7a1tQ0VapyLK,Get Lost,6i73IamDttR0021m4Gm1X0,32,https://p.scdn.co/mp3-preview/a82f9d48d4ff0ae5c7f44a0ae10fa56c0a9dfb3a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Some Girls Like Cigarettes,0qqU1JVq5RsXiwMcPaEC1R,The Karl Hendricks Trio,38CCFJhHaYVRAMy9JlU5kz,Some Girls Like Cigarettes,6b9JmTLskjuCvIS73yXvi5,2,https://p.scdn.co/mp3-preview/5b89cf29063b74cdf1f521087cae36199b14b042?cid=fa83a2fec7c440b7a2795d600d6b2c7e
29,Baseball Cards,41wiDUaOCD3yTc2fgzefJo,The Karl Hendricks Trio,38CCFJhHaYVRAMy9JlU5kz,Some Girls Like Cigarettes,6b9JmTLskjuCvIS73yXvi5,0,https://p.scdn.co/mp3-preview/7ffa7381c78b6d2cbd5edf6c046d35bc0a1e7d46?cid=fa83a2fec7c440b7a2795d600d6b2c7e
30,Batradar,78hPgW8ysjCxuv2D9vvTtn,Polvo,0pbIqPTefLfuOcbM2ojXdl,This Eclipse,3xtXK4VEJZiylDlN3Ufl4X,9,https://p.scdn.co/mp3-preview/78bd0fd14d2f9ef0afd7f65e7ba5e573984189e2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
