BBC Music Introducing Radar: Pale Waves,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,212,bbc_playlister
1,Love You Better,5mkC94ZGGdqUksLy8RvzYK,Emma McGrath,3PZyI7b9LfYnS0QU827W8z,Love You Better,5MfHdp85KDBXTt7CYphYWN,36,https://p.scdn.co/mp3-preview/b371486257e50ef804a253d45b7cf9d0093fa86c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Gold,3tYOAPOqCE3fNaPzQ4MDG4,Alicai Harley,4HIgMgldxGG0v8nSDWJrnh,Gold,63xiuizuPXVdqd9tvRSQya,0,not available
3,Raincheck,7HTV7S93RNAcjlyMVasDEz,Hannah Jane Lewis,62ih54WQXcbwFrvhffPxcq,Raincheck,5kQlXNhvL2bafvHZOHhn6i,0,not available
4,I Live,4JUXXlr1ySJ5pB7Q6qW1H0,Malika,4oCDlRaa8yRpe4keBeoVjb,I Live,3K93Zr79RXryFdr04Ulekd,0,not available
5,Two Fingers,4n6m58T4smiRVdjH6VAwaV,Dan Caplen,2U3FuHYvL3vhkbDAXm24Ep,Two Fingers,4PAkjtqLKym67RkqBHxTjP,33,https://p.scdn.co/mp3-preview/041aabf67ef00c6dc99c05189bd5d864a20613d3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Shiva,3lUFzM90eoje4kpXnXUB6d,Azusena,5NbFfN1giYBCAJQtrcZObF,Shiva,1rFMgcgSMQ4fHRsfY6YVwC,0,not available
7,Greenlight,0s3caJqIzZofaOIvjCGoCw,Young T & Bugsey,6M6XXCcO5gI68XpIlrUL3Z,Greenlight,1ZVg2GF8efghZz5P8Prxb1,44,https://p.scdn.co/mp3-preview/e3a5f6202b9adad0d419fee0d63987a00ed82a55?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Words You Say,3FN7m7Ixqbov2jahrWWwfr,Bessie Turner,2WZfCTpqwLC3MTIGmLrzaJ,Words You Say,5XYfNdjphh2DjjF3a22XXa,21,https://p.scdn.co/mp3-preview/986a8bc5478b9b91e3037b7e977219ee13b7381b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Place We Were Made,0xKGPkn1RLsVifjDs4183v,Maisie Peters,2RVvqRBon9NgaGXKfywDSs,Place We Were Made,1lFHYunIYd9r5R3dNVpTOT,64,https://p.scdn.co/mp3-preview/b83588290696238acf224f82fcb090a7024941b2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Mother,09c47WCuNabZcH5olkjsAs,Jerry Williams,6XGj8QCc5uKv4dt6pkdCKS,Mother,7k9QpYmUOXxqZnbT6yE1xn,34,https://p.scdn.co/mp3-preview/992a6419b906c7f8af9b219e0a0978208b08b338?cid=fa83a2fec7c440b7a2795d600d6b2c7e
