15 Years of 1Xtra (BBC 1Xtra),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,801,bbc_playlister
1,Addictive,3WMqynA1mERIDvAItkiNdo,Truth Hurts,0HCeK90YUyjWi0utTPYXw1,Truthfully Speaking,1iuVYEF6C7PK35mAitTh8A,4,not available
2,Dy-Na-Mi-Tee,2l4dPZLFZnZeTX8ATmoJKZ,Ms. Dynamite,42qLC3FgtazA9AvaIoiP62,Dy-na-mi-tee,5tGOxkg79GjEf3sT25K1qU,2,not available
3,Hey Ma,3lwrebzX6n6v4zP5DOqBKc,Cam’ron,7iMvwE8qANp3aIfAGKEAwS,Come Home With Me,39944ACXhgHs7gjXa5HehY,5,not available
4,Gimme the Light,3SCVtAJq8li6HlKfM4M08u,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Dutty Rock,3nAwSh2fcp3M8voQKZS2as,59,https://p.scdn.co/mp3-preview/7ecd260b83dd1f3233762cf3724079910b179523?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Hot In Herre - Radio Edit,456QCRB0Y8IayyneTK7R4C,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Hot In Herre,19WywKFbSeUCdX8wXkL05u,0,not available
6,What's Your Flava? - Radio Edit,2WuhpX2JK0stMH5WA5fYjW,Craig David,2JyWXPbkqI5ZJa3gwqVa0c,Slicker Than Your Average,4HBwG0rlHmJVU1zqF75M8n,0,not available
7,Luv U Better,4OZ75YKfFbHbxoMhrHmmdC,LL Cool J,1P8IfcNKwrkQP5xJWuhaOC,10,6KxMjoLb9BGNVASPn3yW1X,39,not available
8,Pass the Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix,3S5Ie4w4y3QKM6FahgrW6O,Busta Rhymes,1YfEcTuGvBQ8xSD1f53UnK,Genesis (G010001717127J),1BiqVxwispML2ZV4FCkdrI,13,https://p.scdn.co/mp3-preview/5434ebc82696782a5752d94813010f4d556e9be3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,"Lose Yourself - From ""8 Mile"" Soundtrack",7w9bgPAmPTtrkt2v16QWvQ,Eminem,7dGJo4pcD2V6oG8kP0tJRR,Curtain Call (Deluxe),71xFWYFtiHC8eP99QB30AA,21,not available
10,Dilemma (feat. Kelly Rowland),14MgTooapmJdLlEMAr2zAM,Nelly,2gBjLmx6zQnFGQJCAQpRgw,Simply Deep,3nrQeLjGJNdYsjJ8JVPKAf,55,https://p.scdn.co/mp3-preview/830755ae91fcea07304209351982c802316f5344?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Work It,3jagJCUbdqhDSPuxP8cAqF,Missy Elliott,2wIVse2owClT7go1WT98tk,Under Construction,6DeU398qrJ1bLuryetSmup,72,https://p.scdn.co/mp3-preview/a007b4cabe8441d6d878da45bc3b71471848101e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Shake Ur Body (feat. Di) - Original Mix,1QgF4TrmwmQ10Bd30Zpmpk,SHY FX,5oDtp2FC8VqBjTx1aT4P5j,Shake Ur Body (feat. Di),16bZ106SihHcdCVSsXUv7z,43,https://p.scdn.co/mp3-preview/5b2ba9def091202de9ab348951a13a9eec265bd9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Right Thurr - Remix/Explicit,2grJZhuW8wzL6ThDVy7Eqs,Chingy,3s2wTjWxK8NOX09dmsvVOh,Jackpot,0Hv5X7RRaM7F3hfAq0YmzB,45,not available
14,You Don't Know My Name,6LGwYMXXgURfaequXipzHx,Alicia Keys,3DiDSECUqqY1AuBP8qtaIa,The Diary Of Alicia Keys,6TqRKHLjDu5QZuC8u5Woij,62,https://p.scdn.co/mp3-preview/50e5d96e2dfa636a507ab0d210052b51a1a52d6c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,In Da Club,5xzN3p8DlPv7bBhV8mCdao,50 Cent,3q7HBObVc0L8jNeTe5Gofh,Get Rich Or Die Tryin' (Explicit UK Version),12hpmbw6mQSdjQH0zsqtoz,8,not available
16,Big 'n Bashy,3xcb2d0dMUe7JFFscwtpy9,Fallacy,1EStYKKyo1Ci43wBtfLXsb,Blackmarket Boy,4DTnJX9wkgDQ3VrlwMb7S7,20,not available
17,Cot Damn (feat. Ab-Liva & Rosco P. Coldchain),3LPNfzKa0VYlNedCY4MuBy,Clipse,2J257euzcjnDLipsyJH3F2,Lord Willin',1Q83nQO2QG81TVa10hW7LX,38,https://p.scdn.co/mp3-preview/d9a52909b142c8d59933adb81b969649b903fa18?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Fabulous,3MyyXUEVG6eHgg0EznPLCY,Jaheim,4sbB4Yy6Qig51pKCIKSLw3,Still Ghetto,65VxTGpDPYJJ73hRoxlIij,34,https://p.scdn.co/mp3-preview/b338c29dee421f7719d57acbe97788043e038560?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,No Letting Go,3UeB20VleCRUPiIs0vAhFx,Wayne Wonder,3kc5AFnL1TQQdNaMdSW2UO,Reggae Mix USA [Mixed By Jabba],0tic88HFJFUmt2D3uoVsr9,41,https://p.scdn.co/mp3-preview/c7b2a403d7d9e69a8461f1a9b2435010c38041b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Mundian To Bach Ke (Beware Of The Boys - Jay Z Remix),3QD2mDnbcTQNTIyJRmNmut,Panjabi MC,74D1UgRzMhTSPz698exXmR,The Album,6HMmYuAV9cfxPj6H4NpzNI,36,https://p.scdn.co/mp3-preview/e56aad064aca804eef6c841df6ddd3ec41e93346?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Signal De Plane,2i0kFDK3yKSnJywtBdBFXi,Elephant Man,6NOvBZrkd83MSD51xkq4on,Energy God - The Very Best Of Elephant Man,5mGkSwbPSfYcrV6cxGAUcX,0,not available
22,So Gone,6BIcjFZIVDZxNAcofRFPx4,Monica,6nzxy2wXs6tLgzEtqOkEi2,After The Storm,4lSQkGgFffaUOd22Yrc25v,67,https://p.scdn.co/mp3-preview/e7beb57a931042856416cebdc5ad88bd9bd0a3c4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,I Luv U,2FQDno7lfDiYHUeV8GKc3q,Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,Boy In Da Corner,16m3S8uDo5ZNLEekcnOSxf,0,not available
24,Barcelona - Radio Edit,1Mynt5ePfcmcTdsoqr1Pgg,D Kay,1BGCLeMPw2mOkz1kw0SN7Q,Drum & Bass Classics,6nLIBmsA4HDDZCiKeW5OxE,0,not available
25,Be Your Girl,66uyb66fKneVGdAR2hoODA,Teedra Moses,6vfR5QRc3xca0KvpG8KZBE,Complex Simplicity,4Ulfb5cB7R3HxhdYhOEw8c,34,not available
26,The Cure & The Cause - Radio Edit,2aYryJEl86lIZWCS6X1CUm,Fish Go Deep,0fOlkKkWVb6gOtwUXL2i0y,THE CURE & THE CAUSE,4O082xEh8tgidqkcNKrVEN,50,https://p.scdn.co/mp3-preview/684255bec8dd32e0a63e560010e340defbf1b024?cid=fa83a2fec7c440b7a2795d600d6b2c7e
27,Let Me Love You,3ibKnFDaa3GhpPGlOUj7ff,Mario,20s0P9QLxGqKuCsGwFsp7w,Let Me Love You,7EXstuWka51pNFzEAidEol,78,https://p.scdn.co/mp3-preview/cf789f03af0823c236804eac219c0589da733bd3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
28,Ching Ching (Lovin' You Still),3t4pQM8LnkSE2RGfv0cWS8,Terri Walker,0x8TJV6fy1BwsZUpHJC13S,Untitled,2PYe3znAt2auOkjSNWLYlG,10,not available
29,X Gon' Give It To Ya,2NeHnSFnwNp1Z5WYgcjJ8L,DMX,1HwM5zlC5qNWhJtM00yXzG,The Best Of DMX,1B6nlZKCMmawwnnijTeH3I,14,not available
30,Tempted To Touch,7khLgMuA7m4SA6aaDv1QSv,Rupee,60TYV12IFUaDfnUA0S67zb,Asafa Powell: Train For Speed,7eXV1e30GKjzEOFSttyn0D,59,https://p.scdn.co/mp3-preview/f8fa58cc033dceef7d7a5b822c2a83a969f81baa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Dip It Low,3CldFq28sCroIcmc42pRmZ,Christina Milian,4eAOcbAXIF4BmbN6E1QIlw,Girls' Night Out,25akGACCyuW80OnWrv8kjJ,48,not available
32,I'm Still in Love with You,3MhdH8PxqH1FuQp3HBptUI,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Dutty Rock,3nAwSh2fcp3M8voQKZS2as,69,https://p.scdn.co/mp3-preview/037ee7e911edbebef2b816f2c01e823672acd7bb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
33,That Day Will Come,6chKRJFe2qXIFHZKBDWqtw,Capleton,21J3YJTyq1biE3SvSNjzuf,Universal Message Vol. 3,24Be7w6AnOelK8QRfvVMPX,44,https://p.scdn.co/mp3-preview/c23b98356ccab770a7c2907b55da3e09676dcaf1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
34,Jesus Walks,40n4IT5Vpg0AA1kxbz4i3P,Kanye West,5K4W6rqBFWDnAN6FQUkS6x,The College Dropout,555WoCHGKNICMGGO7o1eTc,2,not available
35,Why,05nOR9g5uIgTCqElBVGJLB,Jadakiss,5pnbUBPifNnlusY8kTBivi,Kiss Of Death,4oHtj2wE5QVbSY7cjKRtLB,0,not available
36,Girl,4XyAMTjMfqwZ2uJemqKRdH,Destiny's Child,1Y8cdNmUJH7yBTd9yOvr5i,Destiny Fulfilled,3xjdyJjSMNsSRkj3GTmBLi,55,https://p.scdn.co/mp3-preview/686c0ba0056aed5e9b50f3fa05c1e8a5674b4859?cid=fa83a2fec7c440b7a2795d600d6b2c7e
37,Signs,1tx9agoDcTxIcUngUwNylR,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,Signs (UK Version),6s3BgptRMf2lKX3uuI4H6I,0,not available
38,1 Thing,1mnqraQ8oV8MX92rdOFLWW,Amerie,08rMCq2ek1YjdDBsCPVH2s,Touch,2PFK4dMZkqUQfxfSrK8WMf,59,https://p.scdn.co/mp3-preview/85b06c204df549d489882dc92bae6c92b135192a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,We Be Burnin',79Ot5mE1cG9Ge4YQKAJT1d,Sean Paul,3Isy6kedDrgPYoTS1dazA9,Dutty Classics Collection,2BxUwHfVCgyLwnOUfxFBDR,53,https://p.scdn.co/mp3-preview/446bc8308afb573c9a0a6e598043de69ea5cff5a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,If It's Lovin' That You Want,1Q29dre9FCspRSarHziizl,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Music Of The Sun,19UbDbyaYRW1U7lBMYO9F2,44,not available
41,I'm Sprung,5h3JktAM1OCwoKm4KxS9pk,T-Pain,3aQeKQSyrW4qWr35idm0cy,I'm Sprung,1uqbjCYJoe3SzQocQGOfV3,38,https://p.scdn.co/mp3-preview/59e2a05aa0f896f1898f290931f36d7fcc64d411?cid=fa83a2fec7c440b7a2795d600d6b2c7e
42,Fire,6kJZbPxz753YCNDhzdMaGO,Lethal Bizzle,4KGNjRvBeqS7wDrExXVN8a,Best Of Bizzle,6Kdsrh31egVDwdWFNKb6XW,30,https://p.scdn.co/mp3-preview/7ddf06d299844513fb3d8ff0486181007095af58?cid=fa83a2fec7c440b7a2795d600d6b2c7e
43,Lighters Up,4eihdGG3Tga3oFq4yqCDeL,Lil' Kim,5tth2a3v0sWwV1C7bApBdX,Lighters Up (Explicit Online Music),6gKNrsYOpavwtwRsJrQ59f,52,https://p.scdn.co/mp3-preview/e6ae16bb03862471f5b15bacac1bba1f694d0a0b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
44,Up Your Speed,0l1U7SLglAW4BuFhWXGwhZ,Sway,3Gx3Szlv1vOSXwoFiJptaG,Dear Summer Volume Two,6HZfmI1grrsff1lQM28GYJ,4,https://p.scdn.co/mp3-preview/b42428071c7a645b6ca76ecd2bcdcffe1aa5a8df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Feelings,6ubaO4iPmPCrtSsMkfmw9v,SHY FX,5oDtp2FC8VqBjTx1aT4P5j,Diary of a Digital Soundboy,2AQvEaTftBRkdPm631O1rZ,47,https://p.scdn.co/mp3-preview/63205f06563dd9a747efda8f1e6a0d197970b65b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Nite Nite (feat. Leo the Lion),5w0HXnVCQlqe8UFY3Mbgbs,Kano,50nN8IFD4xA67fI4jYbLV4,Home Sweet Home,7kimYKvLC03boI5vUyhhKB,50,https://p.scdn.co/mp3-preview/c46209db00b4d777748eb5087046ada8cc4826e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Wait (The Whisper Song),5Y78yINSOCW6xbOfGWNBg4,Ying Yang Twins,44PA0rCQXikgOWbfY7Fq7m,United States Of Atlanta,0tkYbxsTPQ5kTVdrvj4S3f,61,https://p.scdn.co/mp3-preview/5029de6619da44073bb551a3560b55877dfada5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Everybody,1epUp0pgKLddapHeNU9ee1,Anthony Hamilton,2DzRMyWgjuMbYvt5BLbpCo,Ain't Nobody Worryin',7AnGF7p32IpTeDpbkc8uKJ,43,https://p.scdn.co/mp3-preview/de3fc540e11d22c8c5a31290595389568a1d5a71?cid=fa83a2fec7c440b7a2795d600d6b2c7e
49,Welcome To Jamrock,4OBbU5yUQl8d2w19bFbaLT,Damian Marley,3QJzdZJYIAcoET1GcfpNGi,Welcome To Jamrock,5qHWTMjuNTG29WakJzQqLT,3,not available
50,Let Me Hold You,1oNToERLIN71YCPLbRIQGQ,Bow Wow,7352aRY2mqSxBZwzUb6LmA,Wanted,65G0BpV00GmLi5WUCeWdvT,64,https://p.scdn.co/mp3-preview/6fae246c6f03684e4c52cef28ab122db80704ab1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,It's Okay (One Blood),1boba39IzxkP7aFATaewD4,The Game,0NbfKEOTQCcwd6o7wSDOHI,Doctor's Advocate,5ljbpEaDdDZTWRRCl11dcv,37,not available
52,When I See U,4iuNZTcvT9diFySSzVsnVS,Fantasia,7xAcVHPiirnUqfdqo0USb1,Fantasia,42DybH3gl3WcfXAQySOEiX,68,https://p.scdn.co/mp3-preview/e0a82dc93942c199177c1ccaaae6adba4557d1f4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Extravaganza (feat. Kanye West),1zAKsTWrhvhvor0PyG56k0,Jamie Foxx,7LnaAXbDVIL75IVPnndf7w,Unpredictable,037f2EiD06rsACoW6WsmYP,24,https://p.scdn.co/mp3-preview/cb0f51244cb700e897c3ea591d678b2f0802b860?cid=fa83a2fec7c440b7a2795d600d6b2c7e
54,Rehab,3N4DI1vuTSX1tz7fa2NQZw,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black (Deluxe Edition),0E4xv5gPjykrwBgBZzI8XG,52,not available
55,Snap Yo Fingers - feat. E40 & Sean Paul of Youngbloodz,0ZwOfjlmeA4xWGCTunx9qu,Lil Jon,7sfl4Xt5KmfyDs2T3SVSMK,Hip Hop Mix USA [Continuous Mix by DJ Woogie],37r2a6SEYZwt7zoFCTde5u,24,https://p.scdn.co/mp3-preview/e5160c13c25ef2e87de8812aedf0a4b3a91f4b45?cid=fa83a2fec7c440b7a2795d600d6b2c7e
56,We Fly High - Ballin',6itF8MROxH2MKs5oBuvUTz,Jim Jones,6AMa1VFQ7qCi61tCRtVWXe,M.O.B. Members of Byrdgang,5SZDZ2XBLlzE0e93pm5kee,41,https://p.scdn.co/mp3-preview/d608477fa76f006bd7b192f1cf8769e0f9a068e4?cid=fa83a2fec7c440b7a2795d600d6b2c7e
57,Ice Box,25u7tVNFhpPA450EFQBwML,Omarion,0f5nVCcR06GX8Qikz0COtT,21,2ksJHf3VXQ9GHI6Ng5bafL,42,https://p.scdn.co/mp3-preview/2ca6f6f20c3d5d965cf8dd007b694f9c8c42a49a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
58,"Young, Gifted & Black",7iwFjUdOzkuMqbY9L4kq6g,Baby J,5yjQKQYt12QjWzQK62T8ov,FTP 2 Fight The Power,3G3VJtwvftTYjnspNP29VB,0,not available
59,Irreplaceable,6RX5iL93VZ5fKmyvNXvF1r,Beyoncé,6vWDO969PvNqNYHIOW5v0m,B'Day Deluxe Edition,0Zd10MKN5j9KwUST0TdBBB,74,https://p.scdn.co/mp3-preview/b1cd9ecf3b5108363846f497897b5bcbec44343a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
60,I Just Wanna Know,3FV5uDOqcnVKcbYZUfPl5M,Taio Cruz,6MF9fzBmfXghAz953czmBC,Departure,6u9kCgp0aAi6oLe83exgIa,0,not available
61,Crazy,1vxw6aYJls2oq3gW0DujAo,Gnarls Barkley,5SbkVQYYzlw1kte75QIabH,St. Elsewhere,5I0Wf7lRLZArM1K2uQ1AEA,76,https://p.scdn.co/mp3-preview/b05681b8d3d07a6e0eed3a69d7e6bc221064d8e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
62,Umbrella,5i66xrvSh1MjjyDd6zcwgj,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,Good Girl Gone Bad,1YhbfKnjrFgnYyWz6cn9mN,62,not available
63,Flex,4pUagaPtYtZjTYIzANaaZ9,Dizzee Rascal,0gusqTJKxtU1UTmNRMHZcv,Maths + English,34SDKjouvmYN9J0biU7D2J,36,https://p.scdn.co/mp3-preview/0e222e8aefeb9ac995b6857d32e3e688ff6eebee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
64,Like a Boy,358bOvBiZCS9fRzNYosw6c,Ciara,2NdeV5rLm47xAvogXrYhJX,The Evolution,0hfJ35SzCkWesdUpLKXLto,62,https://p.scdn.co/mp3-preview/ba07e7b700d619d5fb9f874affe8633a6e9d03c8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
65,This Is Why I'm Hot - Blackout Remix; Feat. Cham And Junior Reid,0iWTOUzcgkjDTG6AlOWrz5,MIMS Featuring Cham And Junior Reid,7KR6gDrIZ70Xk7jE0u0UGc,Reggae Gold 2007,4SPmILNzFDI8pwcj6VSr9X,26,https://p.scdn.co/mp3-preview/de4cbbfc574b5460f6d8bd7902cff6d57548d842?cid=fa83a2fec7c440b7a2795d600d6b2c7e
66,No Qualms,5puv7YHGKn8D4MIA2ihDI8,Wiley,7k9T7lZlHjRAM1bb0r9Rm3,Playtime Is Over,1Bzb6tlpnxrEwajQDM361B,23,https://p.scdn.co/mp3-preview/2ed1f1603bb0faadf445181007032453c51b0f13?cid=fa83a2fec7c440b7a2795d600d6b2c7e
67,Miss Independent,0BPGGNrTH34lp4nd2pQAC3,Ne-Yo,21E3waRsmPlU7jZsS13rcj,"Def Jam 25, Vol. 7: THE # 1's (Can't Live Without My Radio) Pt. 2 [Explicit Version]",5c3XBglq8bF0aNPRFdx8X0,27,not available
68,Against All Odds,5FUG5TQgda18fl3kxZ7OJI,Chase & Status,3jNkaOXasoc7RsxdchvEVq,More Than A Lot (New Edition),2q0wnAh21oFg9I2sznnPSA,42,not available
69,A Milli,5wHWmhNmpAMBmUniY37xUq,Lil Wayne,55Aa2cqylxrFIXC767Z865,Tha Carter III,03NKHAkbP5oEGarLrVuLPi,24,not available
