Tracks of My Years (BBC Radio 2),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,1577,bbc_playlister
1,(I Left My Heart) In San Francisco,1bYItjcPRtxZs6Ir71O5RB,Tony Bennett,2lolQgalUvZDfp5vvVtTYV,I Left My Heart In San Francisco,64CGgldzMUCxdkvmDb3OU7,61,https://p.scdn.co/mp3-preview/269632a0d9e3b69d3366a7c87f211e51099ffcbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Billie Jean,5ChkMS8OtdzJeqyybCc9R5,Michael Jackson,3fMbdgg4jU18AjLCKBhRSm,Thriller 25 Super Deluxe Edition,1C2h7mLntPSeVYciMRTF4a,82,https://p.scdn.co/mp3-preview/f504e6b8e037771318656394f532dede4f9bcaea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,All by Myself,0W3NVlE2surVP5WkmWHgxV,Bernie Nolan,7qOGdhVvCCkAWwLx6m2YBL,All By Myself,3u3MFcXZHXovaICPwqLim2,5,https://p.scdn.co/mp3-preview/beb812062832ec59450b18a79a683459561eb1a2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,The Lady Is A Tramp - Remastered,4Z4eU8yoBtBGIQPQrhCFr2,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,A Swingin' Affair! (Remastered),5Jxf3eOoGvWDGg957iXEkj,61,not available
5,If I Should Love Again - Digitally Remastered: 1998,5rPB8Yrb0FF8dkcPjZZVlX,Barry Manilow,3alW3LYQS8K29z8C8NSLIX,If I Should Love Again,53qLWhsWV3ICiV2aXp2KB4,30,https://p.scdn.co/mp3-preview/2f1c90fe35d60723bdaa82cacf50fd780b19d388?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Whatever You Want,2kUzt5LsTUR0ggquP7O3eN,Status Quo,4gIdjgLlvgEOz7MexDZzpM,Whatever You Want,08GCJIrpY1IegMp73501Z2,62,not available
7,Me And My Broken Heart,2rJojRundKuKFgbvmCAYva,Rixton,0kkxsdcaWmWU2yWAqclDh4,Me And My Broken Heart,7aC4UlUmofbGlAX7j9X79V,10,not available
8,Puppy Love,26lbB9AJCkDDgnc8gThUIf,Donny Osmond,5ZEAzHE2TzAwUcOj6jMIgf,70's Pop,24VKBqI1pzR94n26Ugpk6V,0,not available
9,Secret Love,7zDOwyxJj7Hg7dWZi9DzR7,Doris Day,3ESG6pj6a0LvUKklENalT6,Secret Love,1Ye6fTCLbUwq5ctTcmE9Ml,13,https://p.scdn.co/mp3-preview/1ef0f5acdc66c13bac3124f41961159f785cc3a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS,Mark Ronson,3hv9jJF3adDNsBSIQDqcjp,Uptown Special,3vLaOYCNCzngDf8QdBg2V1,82,https://p.scdn.co/mp3-preview/88a794d97fcb4475f72a27be7baf71b94d5a9dda?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,"Harder, Better, Faster, Stronger",2cJz1loJp5EZM6shmQpLZN,Daft Punk,4tZwfgrHOc3mvqYlEYSvVi,"Harder, Better, Faster, Stronger",0A88p2r8PWnWGvWjzAnUrV,50,https://p.scdn.co/mp3-preview/764669c4a1799782b44c9e31f814da31f0911a5f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Jive Talkin' - 2009 Remastered Version,5bKeVLylKwjv8KrAejxGOK,Bee Gees,1LZEQNv7sE11VDY3SdxQeN,The Ultimate Bee Gees,3JXTUy5Ccdpe79HUgUiMF9,3,not available
13,Doo Wop (That Thing),2Uu8IiLkLY0UXhCHka4Dlr,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,2Uc0HAF0Cj0LAgyzYZX5e3,19,not available
14,The Scientist,75JFxkI2RXiU7L9VXzMkle,Coldplay,4gzpq5DPGxSnKTe4SA8HAU,A Rush of Blood to the Head,0RHX9XECH8IVI3LNgWDpmQ,85,https://p.scdn.co/mp3-preview/95cb9df1b056d759920b5e85ad7f9aff0a390671?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Three Little Birds,5NaTLfDrTlKj8I7PFyATmo,Bob Marley & The Wailers,2QsynagSdAqZj3U9HgDzjD,Exodus (Remastered),7dcM4P2Qa04KJwotoPfqVl,0,not available
16,Wonderwall,79RUMZfMNMpqZnswovvTqv,Oasis,2DaxqgrOhkeH0fpeiQq2f4,(What's the Story) Morning Glory?,0PTVq4kaAAuROnfvfA7bHG,74,https://p.scdn.co/mp3-preview/48a875fc1117e0c027571813c3c65b7c4fe52cfa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,Lost in the Supermarket - Remastered,72boGlgSwUK01n44O2tOCv,The Clash,3RGLhK1IP9jnYFH4BRFJBS,London Calling (Remastered),6FCzvataOZh68j8OKzOt9a,58,https://p.scdn.co/mp3-preview/20ea840b3e3f321014468d3e1608b2d5b589ea5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Rich Girl,0qRR9d89hIS0MHRkQ0ejxX,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,Bigger Than Both Of Us,5TNzBp7QYsXIHrI5xxVuic,71,https://p.scdn.co/mp3-preview/90fabcf68d0219dd17e5f5b4742bc524d738e5fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Falling,3H3cDfxXnZIK8lcUx7Wl0x,Ben Kweller,7bhMBjjQhgPX0q9S4Ajncn,Sha Sha,7L7TLSFHUUNpnuLzBJRjCE,1,not available
20,Our House,0zcJ8MaIrXrExhV8hTkFDB,Madness,4AYkFtEBnNnGuoo8HaHErd,Utter Madness,1KnBFdsNE4GRx4jafsQgph,8,not available
21,Unforgettable,3eQwtgoiVKbaYuX0ITe2fU,Nat King Cole,7v4imS0moSyGdXyLgVTIV7,The Nat King Cole Story,3NoP1ifIejWkGSDsO9T2xH,48,not available
22,Step Inside Love - 2003 Remaster,6nEDyo8e8O9dDmwlJCcskg,Cilla Black,3bCvHtuIXWXPbCMdSYudmZ,Cilla In The 60's,2tQ8Q0R0EpH3hKcnYfHB4I,24,https://p.scdn.co/mp3-preview/e482c7c55e09e800afce0f2a6cad1d097db44f73?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,She - Tous les visages de l’amour,2OxkfL5jW8bvYTCNDLlRSY,Charles Aznavour,2hgP9Ap2tc10R5jrQaEpMT,Greatest Golden Hits,6u7CZtz83tmwcgEBIIr3GG,60,not available
24,Over The Rainbow,1Rl1PxDQARg0AzTqpyIAlt,Eva Cassidy,6fNmOWQzfOVyHLQ2UqUQew,The Best of Eva Cassidy,0mk6OeoHvUJHoHAvkzhtej,5,not available
25,Killers for the Cure,0wPfN1DFWekMRUpy1ckxHr,Once Human,1VhMNOBmLqZr7E7jsVrZLQ,Evolution,7JReIbcMcTkdCFZewdKTbB,4,https://p.scdn.co/mp3-preview/f59a7df242d4beaaca6fa2c0d21a9f80198be318?cid=fa83a2fec7c440b7a2795d600d6b2c7e
26,What Do You Want,4sW4FIhpIioaIS6jse4d3R,Adam Faith,284fAcjDaBYlPBLZnQkZU0,Dreamboats And Petticoats,5X76bfwHrnIcl0tJicbjTK,0,not available
27,MacArthur Park,3sP9qw7dbFJZ9K6YHaVhUb,Richard Harris,30Qh39o424P9qgdHNVouvo,MacArthur Park,0SvBGZCu5nxlxq8c3QXtV8,33,not available
28,South Of The Border - Remastered,7CcbRvjwz2f2a8p48rXf4X,Frank Sinatra,1Mxqyy3pSjf8kZZL4QVxS0,Come Fly With Me (Remastered),66v9QmjAj0Wwhh2OpbU4BE,35,not available
29,(Get Your Kicks On) Route 66,2hVZQ8LDiTbq57sgv93xil,The Rolling Stones,22bE4uQ6baNwSHPVcDxLCe,The Rolling Stones,7Kln3VdaLUYVIFpqe7AuNA,1,not available
30,"Doin' The Do - 7"" version",3FqrgZSV9TXYHoMbaE9Kl0,Betty Boo,5hMCIlD2CIuOBcWPHuQXKJ,Doin' the Do: The Best Of,0u3xFrGwlON8FmZjiN37UN,22,https://p.scdn.co/mp3-preview/d9ff5b14abb8bf1dabc439099b1243e5d90220ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
31,Martha,6YaCKTSSA6WuaSzyCSJVCg,Tom Waits,7x83XhcMbOTl1UdYsPTuZM,Closing Time,4ENah6iWByAVrxQS7uiF87,5,not available
32,There She Goes,4c6vZqYHFur11FbWATIJ9P,The La's,47Z8LEl3LnQkcpva0xSthT,The La's,1djwiQ802xeU8Q45jv1b0x,68,not available
33,Buffalo Stance,6BDEB3uf97ZvwFg8ZcJrzx,Neneh Cherry,3JxCEqL9zjKnDJgUhRuRJD,Virgin Records: 40 Years Of Disruptions,1PDvi5uU71NCpZ7TPdcl6B,47,not available
34,Wuthering Heights,5YSI1311X8t31PBjkBG4CZ,Kate Bush,1aSxMhuvixZ8h9dK9jIDwL,The Kick Inside,5NKTuBLCYhN0OwqFiGdXd1,69,https://p.scdn.co/mp3-preview/3aaf3ec1603f1f8c9a8b2c5925bcff0319790a5b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
35,"Kiya Hai Pyar Jise Humne Zindagi (From ""Immortal"")",7pdFpDF3et8P6x2l3frLGU,Jagjit Singh,2ijWbN5KykTYiBoVmhzCTU,Hoshwalon Ko Khabbar Kya,2FIh7QZhvhFz1PpYaHMh7K,0,not available
36,What's Going On,7av4raprzW2bWdjyAaH3hz,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,What's Going On - 40th Anniversary (Super Deluxe),4gp6F03qAJCvKYoAGSrHVk,18,not available
37,Bigmouth Strikes Again - 2011 Remaster,2OErSh4oVVAUll0vHxdr6p,The Smiths,3yY2gUcIsjMr8hjo51PoJ8,The Queen Is Dead,5Y0p2XCgRRIjna91aQE8q7,66,https://p.scdn.co/mp3-preview/6c50f0c8068914d5766546b0b465aad4316fea2e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
38,Golden Brown,2AX5E86cn9n2dgioZEjirI,The Stranglers,0RUEHcBiENFEqxgicqS2ig,La Folie,3bosyDPGOYmLnwMNhU06Rx,69,https://p.scdn.co/mp3-preview/483ee8625f80676748f66982e54982cfbc2032ad?cid=fa83a2fec7c440b7a2795d600d6b2c7e
39,Under the Bridge,5PclxRY6shIQzSKxxbdZso,Red Hot Chili Peppers,0L8ExT028jH3ddEcZwqJJ5,Blood Sugar Sex Magik,1DCI2yWmV4UI7Aga71yx9B,45,https://p.scdn.co/mp3-preview/90e41778392f27b6f7dd82db4c90916b3727aa6a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
40,Will You Love Me Tomorrow?,0WmRcVd15yKmI9drkKJDEB,Carole King,319yZVtYM9MBGqmSQnMyY6,Tapestry (Legacy Edition),7kLLC7CN8oxt0HgP2a051K,0,not available
41,Over The Rainbow,55gDM3X9AroO7gAHMnixeW,Judy Garland,0hItVPjwJLVZrFqOyIsxPf,The Wizard Of Oz,04K2tzkqRmIVZ6xTOxW5CO,0,not available
42,It's Not Unusual,1GqAnfNhm0sCGvgo447IiC,Tom Jones,1T0wRBO0CK0vK8ouUMqEl5,It's Not Unusual,0j5KURgO7zBE66gKpGV9md,5,not available
43,My Favorite Things,4tYv5Dft5TiPWitJfnxLaS,Mary J. Blige,1XkoF8ryArs86LZvFOkbyr,A Mary Christmas,2PzjS06Y5MfY34OlhHpCWd,0,not available
44,Personal Jesus,72a9JWKqJ8SGo0OdyCS12P,Depeche Mode,762310PdDnwsDxAQxzQkfX,"The Best of Depeche Mode, Vol. 1 (Deluxe)",0h1RmJe86n74nWpNWWb2dj,58,https://p.scdn.co/mp3-preview/df030dc16fb311acaa88e319726028906b11ff2b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
45,Crying,2Vq6R4K2LCfV2OYF35oVSi,Roy Orbison,0JDkhL4rjiPNEp92jAgJnS,The Soul of Rock And Roll,3BE6gMVxyq4bTvI37Uzp1R,21,https://p.scdn.co/mp3-preview/d73008123ab53adf16e588d214be4566c499ba05?cid=fa83a2fec7c440b7a2795d600d6b2c7e
46,Only Love Can Hurt Like This,62ke5zFUJN6RvtXZgVH0F8,Paloma Faith,4fwuXg6XQHfdlOdmw36OHa,A Perfect Contradiction Outsiders' Edition (Deluxe),3jRG3qOfsSSW3SBdeBiIfC,69,https://p.scdn.co/mp3-preview/f805f78116a914d8af3d173128ba908c8a5a1a14?cid=fa83a2fec7c440b7a2795d600d6b2c7e
47,Green Onions,4fQMGlCawbTkH9yPPZ49kP,Booker T. & the M.G.'s,2vDV0T8sxx2ENnKXds75e5,Green Onions,2aGFVLz0oQPa3uxCfq9lcU,66,https://p.scdn.co/mp3-preview/6afcf8c2efdb3c33264e8aa5836927df8b65b78c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
48,Back To Black,2s4BsyV3KhhrtsdtNfzoqb,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black,6GJCGWfI95aeRsdtVB52vc,22,not available
49,Stand By Me - Remastered,3ntrdR24dLkKrzSGRv1FlH,John Lennon,4x1nvY2FN8jxqAFA0DA02H,Rock 'N' Roll,4D5tTcz72CXGPtzTabLTDY,66,not available
50,Laser Love,3wvp2ZZG8B9Ywfgs2075g5,Marc Bolan,4M2gGLzKCo0rPyn224PsoN,The T.Rex Wax Co. Singles A's & B's 1972-77,5IFCwm6lSDxzlLZ0vIIg1H,6,https://p.scdn.co/mp3-preview/99c89f0444a42564b07c13f007087066719cf37c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
51,Hit the Road Jack,0En3slZ6QLHoJlBvRbIEOz,Ray Charles,1eYhYunlNJlDoQhtYBvPsi,Jazz Masters Deluxe Collection: Ray Charles,3g0Wxa0dpv1CjXp8bUM3bD,5,not available
52,I'll See You In My Dreams,1G8ZMh5wPdVyVWcX5cVKBd,Joe Brown,7kahNN1zgjhLViJkX7retp,The Ukulele Album (Deluxe Edition),0xtyU22Tmbdn7pRuJbWTPo,26,https://p.scdn.co/mp3-preview/26e3e202775298a5c3e2429edb63c4cd4f3653ee?cid=fa83a2fec7c440b7a2795d600d6b2c7e
53,Groovy People,5Vrd5m2jFd96rNZqW3BEbw,Lou Rawls,1zJBFCev9UwOMcrZsLi2od,The Essential Lou Rawls,6vhHreCbPvwLXDreRFHcdG,27,https://p.scdn.co/mp3-preview/bd08e2ed0126d6841c01733f3c069068309c1af2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
