Nile Rodgers: The Hitmaker (BBC Four),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,3919,bbc_playlister
1,I Want Your Love,6HZKlK1mDDBsILMoNNncxL,CHIC,0Xf8oDAJYd2D0k3NLI19OV,C'est Chic,2KSmpFuIe2nOYYVgA7oa9o,17,not available
2,Le Freak,28NBmftocOzTPEb6OYA9fW,CHIC,0Xf8oDAJYd2D0k3NLI19OV,C'est Chic,2KSmpFuIe2nOYYVgA7oa9o,21,not available
3,Good Times,0G3fbPbE1vGeABDEZF0jeG,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Risqué,1UFBJkKiBe3Lzjr307UhuU,65,https://p.scdn.co/mp3-preview/6e13f6305e059e7cd762d5cfa8b83787a059d813?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,We Are Family - 2006 Remaster,2DYtBXueUkZyUZAHKJAAIs,Sister Sledge,6gkWznnJkdkwRPVcmnrays,Definitive Groove: Sister Sledge,6Wx25BBKR9mTNnndloRRWs,45,https://p.scdn.co/mp3-preview/45aaea5d2d0b61de6e9ee74aecae131af969424f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Let's Dance - 1999 Remaster,0F0MA0ns8oXwGw66B2BSXm,David Bowie,0oSGxfWSnnOXhD2fKuz2Gy,Let's Dance (1999 Remaster),37KYBt1Lzn4eJ4KoCFZcnR,64,not available
6,I Don't Mean a Thing If Ain't Got That Swing,4FE3uwmG8SxodyLa6CrmwL,Thelonious Monk,4PDpGtF16XpqvXxsrFwQnN,Jazz After Midnight,1Ku3aRFgsGkueEfWqnjzUC,0,not available
7,Blue Train,73m0Y0jRkLmCIRTVznaOQS,John Coltrane,2hGh5VOeeqimQFxqXvfCUf,Blue Train,28aGifKErlfBHvO7K5yhaI,0,not available
8,Don't Play That Song,7mnEMySSKNnOuXAV4ucD9b,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,Aretha Franklin,0p74TgZ4KjI5YpJnypxezR,0,not available
9,Cissy Strut,0WSlOSMLJWoWUpWci9nnRb,The Meters,2JRvXPGWiINrnJljNJhG5s,The Meters,1Nt14TE6bKZGzJrROip36y,58,https://p.scdn.co/mp3-preview/481afeac183272b4d5e515f785049c10af694f34?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,I'm Doing Fine Now,05StqIdLge9jj9fYKdkLvY,New York City,349LPiGLpKGaxeqIuLZTQp,70's One Hit Wonders,1DqBJ8N8z7kmrfgyqDszNb,0,not available
11,TSOP (The Sound of Philadelphia) - Extended Version,5llRGph3CoqL5zu6L3HyAp,MFSB,2mknvtcck8i82nKxDPDibv,Disco 100,3WRLDCKSLD9eDajX6m3xUU,19,https://p.scdn.co/mp3-preview/9fa8f9cb8d97f82706dd75fe73f2b1006e079433?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,A Fifth of Beethoven (Beethoven's Fifth Symphony,4E6U2JBGJLOY2T9K0yqniI,Walter Murphy,73JBR5s2PVvUjGu6tIqjqx,A Fifth of Beethoven,36zi6juMlP6KpVZDn89cvv,0,not available
13,Do The Strand,0shPL30nWzEkJzPZ2Anb2m,Roxy Music,3fhOTtm0LBJ3Ojn4hIljLo,For Your Pleasure (Remastered),6gKMWnGptVs6yT2MgCxw29,41,not available
14,Everybody Dance - 2006 Remaster,6sh2gkdFAxmDEIwtLRrJyR,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Definitive Groove: Chic,4dyIG2Jqkzqeb2VcY8bkTO,36,https://p.scdn.co/mp3-preview/52c0360fb6309579b70f601ef2697f399eb0d5ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,"I Feel Love - 12"" Version",5hEPuoUVOqgGPFOYYqnyKf,Donna Summer,2eogQKWWoohI3BSnoG7E2U,The Journey: The Very Best Of Donna Summer,6Y1CJVtu74mCdinEepsUwC,4,not available
16,Strike up the Band,021bPddj7K5CjYNTsNRJrW,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Chic,6zWdRwYjPlYhBJO7l26Nn6,0,not available
17,Everybody Dance - 2006 Remaster,6sh2gkdFAxmDEIwtLRrJyR,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Definitive Groove: Chic,4dyIG2Jqkzqeb2VcY8bkTO,36,https://p.scdn.co/mp3-preview/52c0360fb6309579b70f601ef2697f399eb0d5ed?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Dance Dance Dance,3ryTv2YkH1NT0cUBnlOZyL,CHIC,0Xf8oDAJYd2D0k3NLI19OV,Good Times,0l4smZHjrd7cei7oqlDijR,0,not available
19,Rock And Roll All Nite,0wpnNSCDkdQWmVLAye6xId,KISS,07XSN3sPlIlB2L2XNcTwJw,Greatest Kiss,69VIN1YAlKMb5JaOesGUKJ,1,not available
20,"Disco Inferno - LP / 12"" Version",5jUA1njy3h6ynHLvPdEVHt,The Trammps,1zgNpeHQe8GulzfVkYP2VK,Disco Inferno,4MgYPs5CBEwzmekSVNOiL3,52,https://p.scdn.co/mp3-preview/82a8f22489eada98cb34523cfe886b30c2a0f406?cid=fa83a2fec7c440b7a2795d600d6b2c7e
