Turning The Tables,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,4189,npr_music
1,All I Want,7jeSFewaQLq8t2x8OZFQxZ,Joni Mitchell,5hW4L92KnC6dX9t7tYM4Ve,Blue,1vz94WpXDVYIEGja8cjFNa,55,https://p.scdn.co/mp3-preview/cab518a632915e03922641843a073d9570569915?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Ex-Factor,2XCTU3DJ9W6glWSkM2uQTS,Ms. Lauryn Hill,2Mu5NfyYm8n5iTomuKAEHl,The Miseducation of Lauryn Hill,2Uc0HAF0Cj0LAgyzYZX5e3,13,not available
3,Feeling Good,1VKsbTJ78G5bnfyoPz46LA,Nina Simone,7G1GBhoKtEPnP86X2PvEYO,I Put A Spell On You,0NJwp4usn5T5PPURpwLDDD,19,not available
4,I Never Loved a Man (The Way I Love You),1hES47PrbU8GPTI5A9lsr0,Aretha Franklin,7nwUJBm0HE4ZxD3f5cy5ok,I Never Loved a Man the Way I Love You,5WndWfzGwCkHzAbQXVkg2V,53,https://p.scdn.co/mp3-preview/a779699342b7202971dc00f8fb0f24fe7aab78ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Beep Me 911,75rHwPWN95Aklvn2xNul9q,Missy Elliott,2wIVse2owClT7go1WT98tk,Supa Dupa Fly,6UkdyvPElK6JDkyeRClbI2,45,https://p.scdn.co/mp3-preview/3acbebcbf5fcff1e1463c5dbbc7176f09af71539?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Land: Horses / Land of a Thousand Dances / La Mer(de),0KkXMzaRaXL8AyChkWbYCx,Patti Smith,0vYkHhJ48Bs3jWcvZXvOrP,Horses (Legacy Edition),7xg7u99lilTCPbaRfnYuy6,43,https://p.scdn.co/mp3-preview/4dbf1120c7261119d40bbd5cf6ab6e33961dea8c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Move Over,2bD9x9kN4wYyVoyckeqlLk,Janis Joplin,4NgfOZCL9Ml67xzM0xzIvC,Pearl (Legacy Edition),3j7nicLAWXM0Fb08q9XGyf,52,https://p.scdn.co/mp3-preview/6798717b6f134a21f226ababa7f4d4262a62c186?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Tears Dry On Their Own,6yLX8QnxlnEqZfs3YKCfjF,Amy Winehouse,6Q192DXotxtaysaqNPy5yR,Back To Black,097eYvf9NKjFnv4xA9s2oV,72,not available
9,It's Too Late,12q3V8ShACq2PSWINMc2rC,Carole King,319yZVtYM9MBGqmSQnMyY6,Tapestry,12n11cgnpjXKLeqrnIERoS,69,https://p.scdn.co/mp3-preview/7181f9b383a6c89b1cb057dfc7fd23b901605411?cid=fa83a2fec7c440b7a2795d600d6b2c7e
