SPOTLIGHT: Ryskinder,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Halev Hashaor Hshaor Shelach,3ONWK2BMoNPCbzK2FceLTG,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,10,https://p.scdn.co/mp3-preview/ca0d0506f1dc73f81889c551ac96750bb9dfaedb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Gam Ani Baketa,3Pw8r3aPZKhTZ0izXQdkw9,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,10,https://p.scdn.co/mp3-preview/2116ba6b97beaf6fb3f9853e2b0f1cd93019847a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Mashu Aher Kara,0YAvFewdk0q3UVPveoy39q,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,8,https://p.scdn.co/mp3-preview/1d2b8b6da72f2a3b1168cc757bda46182d3bf84c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Ballade for Car Electrician,3PTOkFL5NAQKfJEp33t5sd,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,8,https://p.scdn.co/mp3-preview/385cda652724a1b3ed34e4445e34e1e41833a74b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Hine Hapahad,0CwpT2rhxWuJ1VeY74FauV,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,9,https://p.scdn.co/mp3-preview/5525113c3287aecb2c3b73796a1666d39796a209?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Leamerica,1hr374TM8YprUa794fAInp,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,7,https://p.scdn.co/mp3-preview/cce5817c3cc22985cf3754cc66530fcf3ac173c7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,No Love at the Basketball Team,7a50Inig36sJ86SRdnkORQ,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,8,https://p.scdn.co/mp3-preview/30131013cdecfe1829ef9ab1bc5b201631c30259?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,One Hand in Heaven,6Q3hi3nH3TkCEe328fiRBJ,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,7,https://p.scdn.co/mp3-preview/e1e250ec58cd4b3bd28e68eb9d305e844ed0251a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Surfing Palestine,4ontsaCuQhYOcQqwYyHQ2f,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,6,https://p.scdn.co/mp3-preview/7cab55138af7649e540d69be9ddcecd43a319b95?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,A Ha,4ksmLsTu3rwkrruzOgAA2R,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,7,https://p.scdn.co/mp3-preview/b8a7f5e599b37a378d841d8cee64084d6348d281?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Adam and Eve,7bK5iBbogeUqCqWh2tI2GS,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,5,https://p.scdn.co/mp3-preview/4a8925eac5c9e2c4353b4578cdfacc12c5be8cfc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Oi,3bsAQg9EOct9TOim82Riqs,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,6,https://p.scdn.co/mp3-preview/99e114132d3c6057b5faad314ad1d9eecaeb826b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Sug Shel,20kiMqVDnllqw1FYBaqSjR,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,8,https://p.scdn.co/mp3-preview/52a4142248d202eeb12f5eec5599f4ceecc2847b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
