SEAN'S MUSICAL DISCOVERIES (STAY IN!!!),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,LIFE'S TOO SHORT,3xOK3xPRmoqbGij6m9VSlA,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/58a0575aecedbe5ab10d873056afc3b0324fedd7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,I WANT TO SAVE YOU,5Kipka5oIPtRy3shhqzJhF,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/db808c39ac99f633d79050cdf84526e7f37598cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,GOTTA FIND YOU,67vYCET7bQNRDvWlV7bbE3,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/f39f623a577939bd7f2096a6ce40951907dec350?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,NO MANS LAND,3hQ4HIj6jEmEioojZ2ff3m,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/185d751f99ba6ef68c7cde09e2d524be15150c44?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,I STAND ALONE,02C9PFHSLI7Cw8JqlPyhn9,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/3c4f21af51db2bb665f52c8aeffa1e6d028baacd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,YOU SHOULDN'T HAVE BEEN SO NICE,3qL3iw2yVWgKJ3EiOxoSBQ,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/a88947faa8cad4d5b278e4e0498476faa042d2ac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,IT'S ONLY WORDS,4B0Y1bNsOEpKPBHWVdJlc7,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/20f1d7763d2e8b2794a54a6b52050ec1f7e84341?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,ESMERELDA,5Ayw1W0anjYbKmnMZFkwIY,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/f4db114c225b6267d8db0fcbf390f4841e24b9fc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,THE RACE,4hFuJVgzFtLqKF3bdgnqQ4,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/7235272b2a4278f6ccfd7489231935886c85ce9f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,NOTHING BUT THE BEST,43N4dcQ6aO8butLnJmXqZG,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/1fc1f940ae584f6b90defa44c8875d6b3e552b7d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,LOOK OUT,76Ca6M9LQEWP6Ktn7HtkVX,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/e8e8a70df84f1952c0c718a56c55064fcc98c350?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,COME ON BACK WHERE YOU BELONG,42iSqgPHIjzIH0tjYKPp3Q,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/5a5a4a5a7f2e2e8ad75b612087ded70862b80975?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,ROLL A BOWL A WOMAN,6KjanQSo2izVwgqlJgYkBV,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/e1684da5ce49e03d8a992d5accddd1f24ff19b1f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,THEN I THINK ABOUT YOU,1l5Hr0eEzq2SthULbWOsyU,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/11c77d2cd253850ef78e7d3d9d31427b17247da0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,MRS MANN,6RsTDjoRpA644Mj8JUBRAN,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/11c0c6a6b713b3ebcc86df2cec9dabc91fc5966d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,OFFICE GIRL,2sspqkcCdESAulZhWe21dQ,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/79c804a1ea492bcfeb4b91fdd9c6adc87e6462a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,AS LONG AS YOU WANT ME TO,4IQZ69zK07pRrARkZOqjHS,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/f98f3c535f4f8153904b9edef42664b46db242ec?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,AMANDA,07j7oL85SEEx2wi2Ufpz2G,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/4b25e104e51e5bc353ccd80bb69a6883afa795dd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,I WANT TO BE SOMEONE,5K2V8Ur0JYmFqi2mB2gbz3,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/c641e0a8fca7cfb2e04449f353c4fdd81ef13fc7?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,NO MAN'S LAND,0QcglbUsl5c2ch3oIxeLVk,Rescue Co. No. 1,0f1wjkDagjhj2DsSxT2trD,Life's Too Short - The Singles Anthology 1971-1975,3gR9EZpp0RNfu387fB5l07,0,https://p.scdn.co/mp3-preview/d414c8b0d54d6739709de42a9dba185b12ae5db6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
