THE EVERYTHING BURGER,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
70,Want You To Be My Baby,226nLY1QQulBqEzrY6LSsq,Garbo's Daughter,4sg0nCZM6Vk34YH8otZJa0,West Coast Summer,1lEJb6kcAUcKxEKqAnAL3c,0,https://p.scdn.co/mp3-preview/85886679db49ea1354ad5adff7c014cec25c0476?cid=fa83a2fec7c440b7a2795d600d6b2c7e
71,Where Did I Go Wrong?,1BgAeijKKcAp163RndptpR,Bad Antics,0fqmVvKimqtoNd5MCO5JmS,Where Did I Go Wrong?,0rYUxyuoTCegxfGhHiBUXZ,2,https://p.scdn.co/mp3-preview/85f44e765f051feb4778da3069799dd0e6cb3339?cid=fa83a2fec7c440b7a2795d600d6b2c7e
72,Crystals,00ELXGDRwX6t3bfkYqquYn,Forever Baby,3OcX78yFWS7AAqZ4vHEhsH,White People,3Nk5VS76wE9T8ghCU8EePP,0,https://p.scdn.co/mp3-preview/8fd645fa569413e7d3ddcb375b1f2b2d928e3b24?cid=fa83a2fec7c440b7a2795d600d6b2c7e
73,Vape Victim,2xejkGeJzi2bVYasww1Oif,Audacity,3JVDhFfcd5xPsFYJ1am9lM,Winter Tour Tape,7LffpcEiSEvfOd4TSb2k84,1,https://p.scdn.co/mp3-preview/a8e5f711998aa5f569d0554de8ad47e0274ed43c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
74,A Good Day To Rock!,0hJLqCaIdvlXen7b6ohbkd,Matt McCluer,0wnQifDOXmf6L6KT4DhFkv,Wishful Thinking,3sEHThD96hvVOfActGfase,1,https://p.scdn.co/mp3-preview/03da4dc950eeadc821da709f1ecaa0a59414194e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
75,Open House,4JgY9jd4Pqvt1vxRTcMUHs,Gestapo Khazi,3UmcbFTtReE6RiH7rZhaPj,Written in the Will,1IIxMiPQ6fjCoLZB6MkIV7,0,not available
76,Hologram Dropouts,5kpGuyuCbrrPTsTuSnxCri,Burnt Ones,7sqdc4Jd2KZXOjpt19pwo2,You'll Never Walk Alone,2MfIu7q2qikXLONw5BTRQu,0,not available
77,Into the Sun,7yfuD6395n0Hl0Oa7HuWPX,Extra Classic,1VoUCOVvnHl6BlYkov1QXy,Showcase,5PpmEr1hlF5TvqcLj7tqO9,1,https://p.scdn.co/mp3-preview/65d4ccb40d41769ed72bf8168cf3fa6d30842ac1?cid=fa83a2fec7c440b7a2795d600d6b2c7e
78,Pray For Surf,0wtb4cuS0IaFmNotzr9c8u,Dry Feet,5ODxK41QK781bd2o6NcTKu,10 Songs by the Band Dry Feet,73funqBerR3AcXX9Zkhkn6,6,https://p.scdn.co/mp3-preview/99216de0382ac16078d65fbf84991bdc5eee795c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
79,Chill Spot,6HB7o3vJl4064PlWlLV8F3,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Chill Spot - Single,2cdY6ojTu1L4VFMb0h7GFB,3,https://p.scdn.co/mp3-preview/256e0fa90a267b2487573df09781901e2e8c94ea?cid=fa83a2fec7c440b7a2795d600d6b2c7e
80,Wear Your Hair Like a Weapon,5lP5X1ugAcd8tuJRiTppRv,Cosmonauts,5fdHAaz0jnb4l2VEoHh5rb,Wear Your Hair Like a Weapon / Sweet Talk,7wbK496Z07svxp36hvZJPW,2,https://p.scdn.co/mp3-preview/efd2cec607ef131d2d0d8f4a2b7ca38af12af71d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
81,Sun Medallion,4bcSzMhbu4FumEKy0L35dF,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Was Dead,1z3fvPNY0OJE7ENsZ40nla,51,https://p.scdn.co/mp3-preview/f93f155a575dd01e944f62eb6398175ae8eabdae?cid=fa83a2fec7c440b7a2795d600d6b2c7e
82,I Got The Moves,7xDsu5F9hLL8HlfEJOdhrd,Habibi,600GgDUq9kzGJgNIrVsWfz,Habibi,5iqgIxsuoG0MGrw8nqKhps,26,not available
83,New Day Tomorrow,2Z8Gayb0I1yWOyPU56Klmp,Pop Zeus,5aEfUZWBjLVTfO8ExxrGOP,Pop Zeus,4ku4SL5uYs9wgEABZzIgT8,3,https://p.scdn.co/mp3-preview/6a083910d0a05f8191350f4becc773e75405034e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
84,Fantastic Sam,7FVk7kOdpxmJmXyUlgAVlt,Gap Dream,1yZc7JDNtiB3ztNtCupSKq,Shine Your Light,1xNdJUTSuC6ZuSyeuTll9q,30,https://p.scdn.co/mp3-preview/480ba005dc8c871dcd9b3d4e50c274f1ee0900c0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
85,Don't Waste Her Time,36tSMHcyAAKEwGKu6mOwa1,The Explorers Club,1CR8qMZVkRSoIioetcA8u3,Don't Waste Her Time - Single,08mjx6FYTY32OA207LV4oE,3,https://p.scdn.co/mp3-preview/9c67b58b277d5ff932467e2ba1dcacd14078b185?cid=fa83a2fec7c440b7a2795d600d6b2c7e
86,No Pressure,2P4XE7UEpI1J3ctBpeiwnf,Night Sun,0DORYKUp1P6ezkJmO5izn9,No Pressure,4tWrvRoQzD0xdce5LL0fKt,11,https://p.scdn.co/mp3-preview/c107df99002947c275b4235add36066df06feae8?cid=fa83a2fec7c440b7a2795d600d6b2c7e
87,Out in the Country,1FVqtK72qeidpxMNQJA5hr,Natural Child,7epIIT85VR8OEggqKO3RSt,Dancin' with Wolves,4tAa6l64mYu7EuESPFfxkH,47,https://p.scdn.co/mp3-preview/bcc18191a9cae08054a377ded3b2d8f2198fa333?cid=fa83a2fec7c440b7a2795d600d6b2c7e
88,Keep On Shining,6zoWIvt35h0O7RKuLtgHkP,Curtis Harding,0CUpzKPDfIVzYqMn47jiV3,Soul Power,2ohzE05KfJEKXXFx5ZKUAU,30,https://p.scdn.co/mp3-preview/a3cd88727afada76be6241f9a3329621eaad8b47?cid=fa83a2fec7c440b7a2795d600d6b2c7e
89,Tropicana,3Ugi3glKBnWYjTBsWEvRxR,Yacht Club,6cpHE7YSuXObn65nUedt5V,Tropicana,746iut7zRwmxEvSem37Bqq,4,https://p.scdn.co/mp3-preview/e9325175a0edb669b80c600a3ff3c1167a35a295?cid=fa83a2fec7c440b7a2795d600d6b2c7e
90,Forget Me,0LRJo7iEbwJzpeVLE2BRdd,Summer Twins,2Tfo5n4B74gg8c3n8hjDf1,Forget Me,25O1OgG1pF95KRcr1Stj4K,13,not available
91,Darlin',1RyBwMr1gGgDn3Mxpp24XF,Denney and The Jets,6JmZaCTWhmJcjIqt4Sh0XC,Mexican Coke,3wrJ9gqVOVaZGNxPYaHmpN,4,https://p.scdn.co/mp3-preview/4cdfd6164ea831e52e21845c69788193a3c040cc?cid=fa83a2fec7c440b7a2795d600d6b2c7e
92,Weird Boy Next Door,6j9aogcoT1V5IMEFLDilzt,The Muffs,4FYk4moRCGHdXIK3AMcelO,Whoop Dee Doo,1E2SpOy5JpLYwO7G8MZtmD,24,https://p.scdn.co/mp3-preview/0eb77a47e9ef9458e3fcdf529c115fc10a754a19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
93,It's Nothing To Me,0bGCuY2n972hgAXkz0BOPZ,The Abigails,6LVJCmVIjAkNaVWahYlOli,Tundra,1alME4s9xqBzVtUQY2N3r8,21,https://p.scdn.co/mp3-preview/da8e27872d7b432050e916cb0659807d43c4c75a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
94,I Wish the Night to Be a Lot Longer,1KPAczL4bDZhp8Fka5rnts,John Wesley Coleman III,0ZUDVcbyhpH7xEeysjDr6J,The Love That You Own,0O6BHzanwvUmQwqhrQYGH7,2,https://p.scdn.co/mp3-preview/a09719aae9c4b0a9d0b4ef2bdc4f1802f31ee745?cid=fa83a2fec7c440b7a2795d600d6b2c7e
95,Our Love Will Always Remain,4IDc7l0lXExSNq955XQCE9,The Aquadolls,75dqW38mCNfvNv9G3nqIE5,Stoked On You,6ngT6rQOH0p9otYIA35Yjq,35,https://p.scdn.co/mp3-preview/977ad762b67bbae27319a454e1c08ca4e5bc3d53?cid=fa83a2fec7c440b7a2795d600d6b2c7e
96,Poser,6ZweTSHw2OsyL9YxJnw9Hb,Wax Witches,7nS8YQBOr6A6k4wijbmrLv,Center of Your Universe,3xsSlwovUBbeQ1YwsiRZFK,0,not available
97,Sometimes,4xXkcoZxUlFth1ZWgYXzkN,Cheryll,0fhMkR4LtLxVIINRyR7qvF,Cheryll,6sTHrqPs9lw9sob2o9EVJn,2,not available
98,No Reason,3LmCdprhqBiwA2sCAayg4I,Death Valley Girls,0EvAIYxDOmvxkCv35jfmS9,Street Venom,5RggS3wkJAH0uaZgPlvANv,13,https://p.scdn.co/mp3-preview/b89c835488566fbfdc603befa66999d628792ce2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
99,I Think She's Alright,71Ifeh7giu0rq7UjbDRRY5,Outrageous Cherry,3qkqPMTDQWqyZTz7a9ldnT,Digital Age,0ifUxYneaBgY6IaPP3neze,0,not available
100,More Than a Dream (feat. David Loca),6Zvyk090lN28kDsQOAlznb,Part Time,5M0HAqHXyOh3q7WQnvce8o,Late Night (feat. David Loca),5oNe67ovohcZKdsWhxHMZJ,23,https://p.scdn.co/mp3-preview/45620435f555121f94223c5e462659357dfde3a0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
