OCTOBER 2019 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Exotic Adrian,16HuGDDa5erAOIGU3rdiOx,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,0,https://p.scdn.co/mp3-preview/534e00873370fee94fcb570ccfbb7f9ab4ea6707?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Bonsai,2Js2COGl7htc00CjZ2L2CO,Winter,4Eun8YBC7P0psGdIf0GRtl,Infinite Summer,2UgS0gIHCafJEhhKVEDH4p,32,https://p.scdn.co/mp3-preview/c27204132dcfb9c957ea9ed43370c056fdb717ca?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Case,3jTiqDFVJWuyyneCfOorsO,Bleeding Knees Club,3EMKuFv3kcl9wyKHepeWoF,Fade the Hammer,3D593XM1Fbh3oCG9C3OCFK,17,https://p.scdn.co/mp3-preview/d7e22c962197cafc768202aad7cfdedc360a065b?cid=fa83a2fec7c440b7a2795d600d6b2c7e
