SEAN'S POP PLAYLIST (STAY OUT!!!),Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
11,Still Fly,563vSy3HB5NHxel1VGQCW6,Big Tymers,4jWGfUCFeTu5e0wprRhHXR,Hood Rich,3qcWuKB3pGWcB07FWksnWr,62,not available
12,Nothin' on You (feat. Bruno Mars),59dLtGBS26x7kc0rHbaPrq,B.o.B,5ndkK3dpZLKtBklKjxNQwT,B.o.B Presents: The Adventures of Bobby Ray,7apLPYT8szV1IqTxyVSy5P,71,https://p.scdn.co/mp3-preview/cb93cd5770a3ff6824d8cfcb7e743c9be99c0246?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,We Still in the Bitch (feat. T.I. and Juicy J),3aHkbJXFYpPrup2K8wvDOV,B.o.B,5ndkK3dpZLKtBklKjxNQwT,Underground Luxury,177byugYOk12NcfRtWvghY,53,https://p.scdn.co/mp3-preview/9a0c7317b51e47aac57998f3fac4bbac5da358f2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,143,4DdaOUTsCqz4cLK3z92oso,Bobby Brackins,72rsQfzxNVLPpbzQzXVJSc,143,2EWOYzUP55FiWjDtndRQUN,43,not available
15,The Weed Song,271Mzpm6ZnEcmxlUvOkGLz,Bone Thugs-N-Harmony,5spEJXLwD1sKUdC2bnOHPg,For Smokers Only,2fajNPB0wHhqqYBd5ARECj,0,not available
16,American Girl,0vvG0VEN6l2fbIEUtq3mQD,Bonnie McKee,7dtJROxWQe3fxxF5t7o67N,American Girl,4PwSDqUwhh4sZUHyi7UzXb,49,https://p.scdn.co/mp3-preview/f9f6aa20300292c31c281d3f5c35538c0f222b5d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,I Wanna Go,5cCAZS9VhLGEDV4NCfieeg,Britney Spears,26dSoYclwsYLMAKD3tpOr4,Femme Fatale (Deluxe Version),0oFBaXLFsUVa2gEmJf4FcJ,64,https://p.scdn.co/mp3-preview/233d59542b9e00f70bd15b60d1a23fd27b4e9a57?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Up N' Down,30pIRfkIrvI88LaXReJ6HJ,Britney Spears,26dSoYclwsYLMAKD3tpOr4,Femme Fatale (Deluxe Version),0oFBaXLFsUVa2gEmJf4FcJ,43,https://p.scdn.co/mp3-preview/3ec11f2c22440c60d234025b73205abf0af6f7c2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Toxic,6I9VzXrHxO9rA9A5euc8Ak,Britney Spears,26dSoYclwsYLMAKD3tpOr4,In The Zone,0z7pVBGOD7HCIB7S8eLkLI,79,https://p.scdn.co/mp3-preview/8465386fd6ce10f7ae3bd9c907825d7cb955ade0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Work B**ch,2vTPWWm2Lgc6kI6a3Z3uXY,Britney Spears,26dSoYclwsYLMAKD3tpOr4,Work B**ch,06AlYcg5fmk7sfjTpLStnc,4,not available
