SEAN'S GEORGE JONES LIST,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
18,Boat Of Life,7h4XfMkvuBoklV0jYQKBrS,George Jones,2OpqcUtj10HHvGG6h9VYC5,Will The Circle Be Unbroken,0XDuo05XFOJ5G7JJHCEBdR,9,https://p.scdn.co/mp3-preview/bb9398dee59fb42e5a25088f3595d1457615dd3f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Wandering Soul,4twt5ZuaqrIPfaEc5E1d0M,George Jones,2OpqcUtj10HHvGG6h9VYC5,Will The Circle Be Unbroken,0XDuo05XFOJ5G7JJHCEBdR,7,https://p.scdn.co/mp3-preview/b7b4e05044cf5c893471f37fe795430b6ca69938?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,We'll Understand It Better By And By,24L1koLgbnuIn7vftOVjz4,George Jones,2OpqcUtj10HHvGG6h9VYC5,Will The Circle Be Unbroken,0XDuo05XFOJ5G7JJHCEBdR,9,https://p.scdn.co/mp3-preview/4ffc3dab5756287b4eac7a6136f58969e05b83a3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,Will The Circle Be Unbroken,099AitVlGKw31gMit8wUbz,George Jones,2OpqcUtj10HHvGG6h9VYC5,Will The Circle Be Unbroken,0XDuo05XFOJ5G7JJHCEBdR,19,https://p.scdn.co/mp3-preview/f7e3551027fd26f9fa17aef4c89dd44db41b3453?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Three's A Crowd,3WCuG4E4YMq4ypNrkUBKvv,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,9,not available
23,Poor Little Rich Boy,14cVkRQIdpnA6Qgq0jd5QF,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,7,not available
24,Root Beer,5q2siHu5p6gqYqyPTZTlCB,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,12,not available
25,What Am I Worth,1cmEK62km406VcXO88x4Gy,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,8,not available
26,She Once Lived Here,2f3s76FbNAZD1MjmYD6qub,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,7,not available
27,Imitation Of Love,28GiaJvhtu5xMfes5xVhfq,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,8,not available
28,Open Pit Mine,5sLKsqYG7XhBi2R7IHrIQi,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,21,not available
29,Beggar To A King,4vnylaqLCgJ7RJAlypR0FM,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,6,not available
30,She Thinks I Still Care,42mWEvGlwKGhVQs8XkvQKP,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,48,not available
31,Running Bear,0bTNBti7RxLO00CEaGNNP7,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,8,not available
32,Best Guitar Picker,2woDdLEJbQFI9722ml442F,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,8,not available
33,Sometimes You Just Can't Win,6z6yJ3wS1mKIaACeJzKBpo,George Jones,2OpqcUtj10HHvGG6h9VYC5,The New Favorites Of George Jones,73xcCIpGvz7aqMjuFfPqsR,9,not available
34,Beggar To A King,1kt3d03mxvMgXAPUJsmff4,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,8,not available
35,Peace In The Valley,49IFXSJLj4Lo2zl2PXcwXH,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,2,not available
36,I Could Never Be Ashamed Of You,09kv28fG0pwEFbhDRzzGtc,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,2,not available
37,Silver Dew On The Blue Grass Tonight,0bhHUlQCROZTY1ePgIKk8G,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,2,not available
38,The Precious Jewel,7dviCtsyZ7OgocHpzsWbTR,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,2,not available
39,It's A Sin,3thhBYQf3RWfzm6tkv65tc,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,2,not available
40,Don't Let The Stars Get In Your Eyes,70DlMYTGZbIvIL4tqoM1QW,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,7,not available
41,Give My Love To Rose,7fvZMJAHQlDOegOZGv2wjl,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,2,not available
42,The Same Sweet Girl,2oUBZCAFrO85cy8kUhCYWm,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,2,not available
43,"Yes, I Know Why",6zLn6W7NBOfXB9HAIETEHa,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,2,not available
44,Wings Of A Dove,21fZOEM2eUInywZsmBEfuJ,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,4,not available
45,A Little Bitty Tear,34bUmT7n9mTmjZi3Lxz5YO,George Jones,2OpqcUtj10HHvGG6h9VYC5,Sings The Hits Of His Country Cousins,1j301SzpkA7cj4RpFmpD9I,2,not available
46,Wedding Bells,6usiVvhsgwLdEgYPffbJsa,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,6,not available
47,I Heard You Crying In Your Sleep,6i4oPb2Xgo0drEJ2ZXDd3M,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,5,not available
48,I Just Don't Like This Kind Of Livin',5ZRpYzcnK6a9MT8PYwhiqy,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,5,not available
49,You Win Again,3JbRC4bjBztEWhH4NaV6mZ,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,11,not available
50,I Could Never Be Ashamed Of You,5pzVJW7ean0T3Gg3a0MreV,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,5,not available
51,You're Gonna Change,4qw4e7tsO0KWaVrpUuyxhN,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,5,not available
52,Lonesome Whistle,1G8xioHOO89DWtEn7rAoTP,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,6,not available
53,A House Without Love,4WXNawopADYDqDfHHcAiUP,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,5,not available
54,Your Cheatin' Heart,4W3m0089OkY4wREPyQpNy9,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,13,not available
55,They'll Never Take Her Love From Me,1hSMlzCWeXBTuSWTycDJIH,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,4,not available
56,Mansion On The Hill,2wjWn9HN1uS9gF7yYwYVNL,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,9,not available
57,Take These Chains From My Heart,623KNdyYtxk7tBEUhewLC1,George Jones,2OpqcUtj10HHvGG6h9VYC5,My Favorites Of Hank Williams,60C9mQ6ODcdY5cTl9capjj,5,not available
58,Someone's Watching Over You,3xzAdYRmiliepNxq9xcnWs,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,2,not available
59,He Made Me Free,6grYxddHMB1FOvCNIoZeDU,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,2,not available
60,Beacon In The Night,1d2vBMmxq4bpuQIphBdog4,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,2,not available
61,Matthew Twenty-Four,0xPM1Xto45atWmgSr1KVkP,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,1,not available
62,Peace In The Valley,3pwg1KJamqdCFfVhN3X4e9,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,1,not available
63,Wings Of A Dove,26ohqCSnRFZqRatGEcCcYi,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,1,not available
64,Wandering Soul,5FgvoKzit6QILW8lgzXRGo,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,2,not available
65,He's So Good To Me,07WcVAtP5IwIoyRLHjwGzH,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,1,not available
66,Magic Valley,5LnuFRQWsPbrzd5MbIs22z,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,1,not available
67,Kneel At The Feet Of Jesus,3p0FAvdWGdibD43nUTyhMk,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,1,not available
68,Homecoming In Heaven,1WZV04LmNLZM7eW8N4CXWQ,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,3,not available
69,My Cup Runneth Over,08Sja4zdpFIy965bzWZSxa,George Jones,2OpqcUtj10HHvGG6h9VYC5,Homecoming In Heaven,4L17Wv2bD9k2zt5VU2Mdro,1,not available
70,Let's Invite Them Over,1KaT8L0FMJUYTR6QdRqCAY,George Jones,2OpqcUtj10HHvGG6h9VYC5,Singing What's In Our Hearts,6Fd0KCcZD3cIzSHdUUccgx,22,not available
71,We Must Have Been Out Of Our Minds,2uNVZAWWyguxJ2jHkIt6je,George Jones,2OpqcUtj10HHvGG6h9VYC5,Singing What's In Our Hearts,6Fd0KCcZD3cIzSHdUUccgx,26,not available
