🇵🇪 PERUVIAN BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Demolición,3dTcwy3L3fOP0vm4Lz0zdD,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,41,https://p.scdn.co/mp3-preview/ff054ec2d44883423e55bda4471d22144a3cac3c?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Come On (Ven aquí),0yatkm9lc2I8PjUNpwKa0U,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,34,https://p.scdn.co/mp3-preview/2a1a4d87cfbc0c705f4c96e623c06d368a54d05d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Ana,7HQ9Uz2ZFOwGFfizIrtCxX,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,36,https://p.scdn.co/mp3-preview/ae9eecc7f5dafc72108ef3895cc48d1d035f13e6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Lonely Star (Estrella solitaria),53jxbBI8FLO7S3QzXtLOdd,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,27,https://p.scdn.co/mp3-preview/95eb7ee69a43655abc5f11dc7971e2a95d09594e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Camisa de fuerza,1wCfDz9idUTPBEAnhOa6h5,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,26,https://p.scdn.co/mp3-preview/5cc369eedd90b00332927a734b5cff30b4b0f5b0?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Cementerio,6iN0qVljchxXFx7VedwGZi,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,26,https://p.scdn.co/mp3-preview/86e55da13046b70e465bc6a9349611c0f5ca0a2a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Te amo,1nb9g71yoB78bwNfTTgneX,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,23,https://p.scdn.co/mp3-preview/e0cc3288c5085ee0359d175bcd4c86ab278f3af6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Fugitivo de Alcatraz,518MeQ1aMAIsDCqjJoyvYp,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,24,https://p.scdn.co/mp3-preview/7118f2f1d7aea16a8cd65ba70dd717381bb59dbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Salvaje,4uurmgdJqCWGHbNLIXklmI,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,24,https://p.scdn.co/mp3-preview/a46b62956ab441bf7deca4baa1e7ec1802981df3?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,El entierro de los gatos,40sm7YdfUwAHpRTjcRz6yd,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,26,https://p.scdn.co/mp3-preview/c4ef71d5085dbabe2e7c8d7494b4862957c6b5ff?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Besando a otra,4RvOGqvSFz9g70SwpyguL6,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,22,https://p.scdn.co/mp3-preview/c1cf96325b9fc825da418f3118617fd3d0807093?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Intensamente,7uP1TrKqq9gOHKf0Epz8AZ,Los Saicos,4HYB35YLMCRIzQobpWs5yv,¡Demolición! The Complete Recordings,3Ai7SkBLKNZusgIRiP1R1M,21,https://p.scdn.co/mp3-preview/d5dd0e6eff9f5f20840070bfaf4f9ec308948dba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
