SPOTLIGHT: Exotic Adrian Street and the Pile Drivers,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,0,burgerrecords4life
1,Exotic Adrian,16HuGDDa5erAOIGU3rdiOx,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,3,https://p.scdn.co/mp3-preview/534e00873370fee94fcb570ccfbb7f9ab4ea6707?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Dirty Work,41ahPZloVV5KSKWKINWpbH,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,1,https://p.scdn.co/mp3-preview/394483c067fb09b16b399ec9a353fd9a1b63b5fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Mutilation Mambo,0C26nRtrjsHBjSu9cWW58X,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,0,https://p.scdn.co/mp3-preview/4d253ce51510e27a58e9c5adef337efa02193d87?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Naughty But Nice,7mMi2Tgr91gyETNSJExMiI,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,1,https://p.scdn.co/mp3-preview/8407dc73e53fdd07dd3acb4c8ce8e4b23e8e6a79?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,King & Queen of the U.S.A.,0DV9e8kVRF8eGYZMuM8fGt,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,0,https://p.scdn.co/mp3-preview/dc80ee322ac4aaf444710adda3c3b99dc885b085?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Exercise with Adrian,70XUqVzrEQkbiNi6hW5b1A,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,1,https://p.scdn.co/mp3-preview/093af53d407705d42328ee4c6e5c828bef7c7d94?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,The Macho Trucker Song,1BrJw4HetUgYJY1PJ7w4bk,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,0,https://p.scdn.co/mp3-preview/290c17a7d71d212c532b38a0e9348d83bfd17e50?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Service With a Smile,2DPd0lgthK6FM3eHUjkPO5,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,0,https://p.scdn.co/mp3-preview/a243d4877780c06e1e13124347f70901597f3038?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,The Grid Iron Boys,1GNLOnpQVNZci4BOeZ5U8e,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,1,https://p.scdn.co/mp3-preview/a2a340adadba7fe96842d235ec8f991a82c43325?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,On Behalf of the Lads,1cZaQFHoteL06lsZfxixsc,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,0,https://p.scdn.co/mp3-preview/73d719599a81a67892c2759504ea6d3a1973f47e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Prehistoric Puffter,5ZOM0nxPqaCOYdKN80YIlN,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,1,https://p.scdn.co/mp3-preview/6243892c07a6da758a79034fa1c48e226cb45511?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,Some Party,2pnQomNBK3vAGRPqPMdzor,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,Naughty But Nice,4X88aguvOyvlzBt3ycIMel,1,https://p.scdn.co/mp3-preview/e4e82105ac0e88cc6638764fa9e5d6db8a290359?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Breakin' Bones,1h0TOlxKhPTDqoq8lHcEHc,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,6,https://p.scdn.co/mp3-preview/660b5217979fb2a265fb8c75f80f3bfdb6c2b9f6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,A Sweet Transvestite With A Broken Nose,6QnrWpSjh1VD5jkJ8YNn8R,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,6,https://p.scdn.co/mp3-preview/a585011e17fffdc89205969b0435b5bbfaa4cf03?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Imagine What I Could Do To You,3AXlMTJgeQ84gXAqoGeJRb,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,9,https://p.scdn.co/mp3-preview/b8e41f1d5bab5fe1b8b9ae469efeedbc201a8fac?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,I'm In Love With Me,17nyGgrZcnUixGGPtwxhYx,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,6,https://p.scdn.co/mp3-preview/0c3218cfe0cf65cd29b13a8f7a2a431ff3d130cb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
17,The Krippler,4Y49Z3Q3tPduhKZBDVRFLu,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,4,https://p.scdn.co/mp3-preview/61e0c9a1edfad062e44d736ff6230a66e8b02a19?cid=fa83a2fec7c440b7a2795d600d6b2c7e
18,Mighty Big Girl,3OYeXm7Vg8mqMWG0VpG8VA,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,3,https://p.scdn.co/mp3-preview/085c7f119d679dcb03278d6e59a487ff7c8ea8c9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
19,Something Very Strange About A Cowboy,3bd0HXDLFrchMeP9r8jjr6,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,4,https://p.scdn.co/mp3-preview/adbdaef51690ab1d57e26f198044e69fee681516?cid=fa83a2fec7c440b7a2795d600d6b2c7e
20,Sadist In Sequins,2F2xjx2ZVltT7gPV5fwPEa,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,4,https://p.scdn.co/mp3-preview/ad84f1c50a4ccdada59a5d77c1cf5e50a09240de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
21,"Shake, Wrestle 'N' Roll",64fgLEbLBBRPy8gNvr8Nai,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,2,https://p.scdn.co/mp3-preview/a468c735e4b26b39a0c0062abc7c2a7fcfa25239?cid=fa83a2fec7c440b7a2795d600d6b2c7e
22,Violence Is Golden,58HwfVgS93rL7f4DrAuNBF,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,4,https://p.scdn.co/mp3-preview/be01bb5e67c0264681cc2beca63a22e72759a574?cid=fa83a2fec7c440b7a2795d600d6b2c7e
23,Street Rap,1t5CPvCipYeDisCamTeMWE,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,2,https://p.scdn.co/mp3-preview/638d54bb243fffb449def2661a514abb9dccd6df?cid=fa83a2fec7c440b7a2795d600d6b2c7e
24,Merchant Of Menace,3ooaZoUJDKEIcm1ENYVZyu,Exotic Adrian Street and the Pile Drivers,2c3Oz3dmvpksPWNNPIW1Dl,"Shake, Wrestle 'n' Roll",6y4dwzoVyOEZdbdsGfrmWX,3,https://p.scdn.co/mp3-preview/6841d09a3a70186fa3e2b6cb0157566658e6dcaa?cid=fa83a2fec7c440b7a2795d600d6b2c7e
