SEPTEMBER 2019 BURGER RELEASES,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,2,burgerrecords4life
1,Picturesque,5RFyioSvemEXSSSnrY1xPX,Reminders,315C7unNzONsbQY5sQ8qR2,Picturesque,1rPNNl2oDc8uQrnsSfW0nv,9,https://p.scdn.co/mp3-preview/5d72d18b08155a9d07ce24d68c5e31d58d7c3f8f?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Pillow Fright,5tRpmMLpXRBJZ8aDcOIpSE,Stripes,21fsMEEzvRorOmTuR1zso4,520,3W0y1kVwPd6LrVCZuWnsIH,5,https://p.scdn.co/mp3-preview/7224cd53dcb81f2d60ed3e4494cd6ad4fe349e0d?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,Exfoliater,5O2ACc2clCr1o5TgR2FUme,Blivet,4dkaUfd2EPLOpP3BOp9VuJ,Feeder,70PLiJwN0gpj3rTMYQ4JWd,12,https://p.scdn.co/mp3-preview/5419b778fd9d3e821710b0718c37179fb9c95347?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Enough,02ShB2tcw9g2C52593iUi8,Blivet,4dkaUfd2EPLOpP3BOp9VuJ,The Same / Enough,2tfiaDUM474yLmU8FZacwP,7,https://p.scdn.co/mp3-preview/705c11816cb45ebfcc9766c8d505b254dd4850a5?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,The Same,1kJJkE7IOa6ymHVPISIz6G,Blivet,4dkaUfd2EPLOpP3BOp9VuJ,The Same / Enough,2tfiaDUM474yLmU8FZacwP,10,https://p.scdn.co/mp3-preview/2924c9e67f0a1da0cb1d8b63e528e7cd44ce89cd?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,Gam Ani Baketa,3Pw8r3aPZKhTZ0izXQdkw9,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,10,https://p.scdn.co/mp3-preview/2116ba6b97beaf6fb3f9853e2b0f1cd93019847a?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,The Carousel,6sIPqMWHbLZ2Vw3l8Uqv0N,Those Pretty Wrongs,3azero10EBz68YUn4mWz29,Zed for Zulu,45AS72V87o71C6vUjbaBS4,9,https://p.scdn.co/mp3-preview/14bd9e4f00b918dbb1d23d7624937d7d8b038fdf?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Sitting on a Log,2jjQRWTuvPyy2cK12NO6Md,Will Sprott,2s5RkxF2TelEbqqQsLj9cY,Ten Fingers,1YHGFVnj4dfLPTbwd5zly7,6,https://p.scdn.co/mp3-preview/9bc153703e6a1954d6530c2fdb80d76c622698be?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,June,2k2pEibfUbUKNjAzR3hHs9,The Broken Hearts,5T8NNtcfXHQOL5Zhzb7i0k,June,7b1okwewjSHK1KYIJqL8iH,4,https://p.scdn.co/mp3-preview/7fcb1ae1f1ea8938111ffa5053334cebd76ee8d9?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,(I'm) Looking for a Heart,2bgo2OS5erlQjP3XTLbJNp,Terry & Louie,6j4Be0Jv22580cIIjAxPS6,... a Thousand Guitars,4Yp1vDVcTlSDulpcFDaoPU,14,https://p.scdn.co/mp3-preview/c6cd5f8753145923345edc6026bb4fe6ede9f674?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Creature of the Night,5VHziDa0DcLw6kjdUzyV33,Green Sahara,5PEOA46RT2MrhZgc5BKFvu,Creature of the Night,5RVdV50pDfQj8MQbreWHTc,8,https://p.scdn.co/mp3-preview/ccafd84531dc42e551ed3ae95e059db191bbe7fb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
12,HOLEPUNCH,2Yacb6nbnBUgRRT7NbZjw7,CANDLE,5lq2yMc254p5bfSddi0mZP,HOLEPUNCH,4ouMwsVhY2FsMOsmIR9C0n,4,https://p.scdn.co/mp3-preview/23fe3135caf9c408f75d5a12194a8cb44bd56d99?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,Halev Hashaor Hshaor Shelach,3ONWK2BMoNPCbzK2FceLTG,Ryskinder,1WbEiQdyarzwPjdOlUeOJU,Rak Lhitim,45V4KUnY4dkY3BEshd9NHf,10,https://p.scdn.co/mp3-preview/ca0d0506f1dc73f81889c551ac96750bb9dfaedb?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Here I Go Again,7D7aFRhMVzUjUKnCv6w2dV,Hunt Sales Memorial,1z5eOhkJmmdnt543Qyi0Zs,Get Your Shit Together,3wyoMpMpoIloxVLOgVhBoz,7,https://p.scdn.co/mp3-preview/496afd9126ec1b13b7322d5b2266d1b64bbe53b6?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,The Man Who Dealt With the Devil,0EjheEfCggm8klXVFPvlmC,Psychic Bloom,3gnvv8S9QthwVbtxiuLk0y,Mysterious Temple,3rldriuYZtCky2qohUhpDH,7,https://p.scdn.co/mp3-preview/4a06a4906f3118e99d40a0591447e53e372bca1e?cid=fa83a2fec7c440b7a2795d600d6b2c7e
16,DREAM FINGERS,69Pj7wKR49fxFt4bmK2KG9,CANDLE,5lq2yMc254p5bfSddi0mZP,MASTER OF THE MULTIPLE,6z1UWQ0C0UNYjuYJaeL8h2,7,https://p.scdn.co/mp3-preview/d9154885abfc97ebdf19b8c7826c66ec4685e2de?cid=fa83a2fec7c440b7a2795d600d6b2c7e
