BURGER BEGINNER'S GUIDE,Song1,Song2,Artist1,Artist2,Album1,Album2,Popularity,Preview_URL
Pos.,Name,ID,Name,ID,Name,ID,8,burgerrecords4life
1,Teenage Town,1I1t354y003Y6DuFZYMlS6,Audacity,3JVDhFfcd5xPsFYJ1am9lM,Power Drowning,2Xti3sMoTMfigEppxpdYZz,8,https://p.scdn.co/mp3-preview/78fdeeb6fa0bbddfdf3af1ba74248bc776eefd75?cid=fa83a2fec7c440b7a2795d600d6b2c7e
2,Sister Sally,6FV4igAYPVgabUlRVWesQu,The Resonars,0J7gocP56wqQ8OCRgtkrUN,That Evil Drone,3e6yimWjLAYsFayoMHaHVo,3,https://p.scdn.co/mp3-preview/d755638abc2bf8240b1d49a19ad12ba1896cc7fe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
3,You Go Bangin' On,2LDxg6nLibqXP1voQXO0tN,The Go,2m0xdXsYglZKSzqVkZtFi8,Howl On the Haunted Beat You Ride,0LAkEf3mu9FmbFXfKn7scN,15,https://p.scdn.co/mp3-preview/7ca8cfb350d49fe8d6b36ae5f4c509ac0e026d90?cid=fa83a2fec7c440b7a2795d600d6b2c7e
4,Hippy Witch,3Rcd57h66ZXggbH5a4eLtC,Nobunny,3XZI4PSR0DBWeBiJzquXif,Raw Romance,7C9L4aO6cKGxncrnprsBHA,10,https://p.scdn.co/mp3-preview/fa563aaa7fa4934c8b9912c7c09060abbd3cbb72?cid=fa83a2fec7c440b7a2795d600d6b2c7e
5,Private Party,6Qksc0m7KxP3ZEhdDfab9L,Garbo's Daughter,4sg0nCZM6Vk34YH8otZJa0,Goes Pop!,2oIyiRsJOWZbV543Yxh7E0,3,https://p.scdn.co/mp3-preview/b2106f38686e41fa8f57579a7ed1ddaa3595d189?cid=fa83a2fec7c440b7a2795d600d6b2c7e
6,South of France,0cA4h7SmrgffqH75oIvTa2,Harlem,4PWqvc4ydEyoyBhXPOxDyy,Free Drugs ;-),3kGXz8Udgb9Ygx2m5Rr8ni,20,https://p.scdn.co/mp3-preview/6d0470e89bfdf1905418f566bb162bf40d9b1c51?cid=fa83a2fec7c440b7a2795d600d6b2c7e
7,Dancing On You,4maud0Wu6musCBGgyabr7H,King Tuff,0uI2HyW0eIbTbyH3S2XDHI,Was Dead,1z3fvPNY0OJE7ENsZ40nla,21,https://p.scdn.co/mp3-preview/bb6e4452c851acc358d5e670ba91df3e4c709790?cid=fa83a2fec7c440b7a2795d600d6b2c7e
8,Island Ave,5YUwfpgtcMnvUm6b59adbf,Jacuzzi Boys,6Jy8DN56YeZwPFUjdPa0QB,No Seasons,45wQEeUe8dvASjGWPz1Cbn,31,https://p.scdn.co/mp3-preview/251f9cd940152360de9c6a65a84561bbfe558aa2?cid=fa83a2fec7c440b7a2795d600d6b2c7e
9,Without Reluctance,69r3tEXfjd2BMehxhgnaTF,Danny James Etc.,17uQRpQSQmJnfplrwWTwjU,Pear,1UkUOzzB78xktKJ12757nT,3,https://p.scdn.co/mp3-preview/4dbd734e77ef5ba10bb637f637dfd0da9ba982ba?cid=fa83a2fec7c440b7a2795d600d6b2c7e
10,Beggar Sincere,32ctZQYNDqMbFMqt3T2dby,Jaill,2AubscTHZ6Gqo7hlIyDEaH,There's No Sky (Oh My My),0bPN24EDEhkRsbUCTivujT,5,https://p.scdn.co/mp3-preview/d2a32df3d923acc60c5ce25827bb52938db32770?cid=fa83a2fec7c440b7a2795d600d6b2c7e
11,Only a Shadow,7ywFYGPvsy0dMIfhYeOBu1,The Cleaners From Venus,7ppwXAQNWfPDGu22hCk5Yr,Midnight Cleaners,0pXcoQl03lzinsgDPLsys6,42,not available
12,Club With Me,5rQxEk9gOA2bjvLJ7ws7yR,Seth Bogart,570tN1EYQdffsoMSSPPSsr,Seth Bogart,4jGOX2xM2Bs9v923CP9TVW,7,https://p.scdn.co/mp3-preview/d3454d72a62f2a794c3cd053546a6aab3e516dbe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
13,I Can Reed,1juIOahSoUIbsbxjhNipA2,Personal and The Pizzas,6n3rWrvpxMqigIXacIDB99,Raw Pie,4VhdpaalbFI6NmYEZSLfzM,11,https://p.scdn.co/mp3-preview/95dcc7905602d819dc8bd71ba0002dfd315df994?cid=fa83a2fec7c440b7a2795d600d6b2c7e
14,Heaven Can Wait,3xiqvJJ3OCA8gGZqvNheK5,Apache,6pil7q9v19qZD6K2Hc57Il,Radical Sabbatical,1gNUYP5HsAwGIKgIwSCwZH,2,https://p.scdn.co/mp3-preview/cb1951ad55a0fe4502e752722ce7cb95c5fc6afe?cid=fa83a2fec7c440b7a2795d600d6b2c7e
15,Dolphin Patrol,40wkRfYO3P10uKklJrcWLy,The Pizazz,3eNVXTSKpnYM8SdaYOp7SQ,Get Out Of My House,4IwRmAw2jYaz9hwqLLFYzd,0,not available
